Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	3	3	100
guri1248	Guriaso		Papunesia	24	4	4	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	4	4	100
samo1303	Samo	East Strickland	Papunesia	44	13	13	100
suru1262	Suruí	Tupian	South America	18	5	5	100
tain1254	Taino	Arawakan	North America	4	1	1	100
defa1248	Defaka	Ijoid	Africa	75	21	20	95.24
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	37	35	94.59
poya1241	Poyanáwa	Pano-Tacanan	South America	50	18	17	94.44
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	9	8	88.89
ndam1251	Ndam	Afro-Asiatic	Africa	41	9	8	88.89
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	18	16	88.89
kima1246	Kimaama	Kolopom	Papunesia	92	35	31	88.57
dizi1235	Dizin	Dizoid	Africa	57	17	15	88.24
nina1238	Ninam	Yanomamic	South America	61	17	15	88.24
dand1238	Dandami Maria	Dravidian	Eurasia	161	41	36	87.8
nyun1247	Nyunga	Pama-Nyungan	Australia	26	8	7	87.5
moun1252	Mountain Koiali	Koiarian	Papunesia	168	47	41	87.23
yale1246	Yale		Papunesia	173	46	40	86.96
lule1238	Lule		South America	146	38	33	86.84
duru1236	Duruwa	Dravidian	Eurasia	121	30	26	86.67
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	45	39	86.67
kada1242	Kadar	Dravidian	Eurasia	156	37	32	86.49
siaw1243	Siawi	Amto-Musan	Papunesia	123	37	32	86.49
nara1262	Nara		Africa	132	44	38	86.36
anfi1235	Anfillo	Ta-Ne-Omotic	Africa	108	29	25	86.21
gbay1278	Gbayi	Atlantic-Congo	Africa	58	29	25	86.21
koro1313	Koromira	South Bougainville	Papunesia	127	36	31	86.11
elmo1238	El Molo	Afro-Asiatic	Africa	171	49	42	85.71
