Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
apol1242	Apolista	Arawakan	South America	14	13	13	100
geme1244	Geme	Atlantic-Congo	Africa	6	4	4	100
tain1254	Taino	Arawakan	North America	4	4	4	100
curr1243	Curripaco	Arawakan	South America	101	96	82	85.42
asha1243	Asháninka	Arawakan	South America	91	89	76	85.39
igna1246	Ignaciano	Arawakan	South America	91	87	74	85.06
cham1318	Chamicuro	Arawakan	South America	54	53	45	84.91
yane1238	Yanesha'	Arawakan	South America	114	83	70	84.34
mach1267	Machiguenga	Arawakan	South America	96	91	75	82.42
sara1331	Saraveca	Arawakan	South America	19	17	14	82.35
bani1255	Baniwa do Icana	Arawakan	South America	85	84	68	80.95
pich1237	Pichis Ashéninka	Arawakan	South America	148	73	59	80.82
waur1244	Waurá	Arawakan	South America	86	83	67	80.72
baur1253	Baure	Arawakan	South America	168	91	73	80.22
yine1238	Yine	Arawakan	South America	91	88	70	79.55
guar1293	Baniva de Maroa	Arawakan	South America	101	96	75	78.12
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	9	7	77.78
acha1250	Achagua	Arawakan	South America	124	93	72	77.42
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	13	10	76.92
resi1247	Resígaro	Arawakan	South America	83	81	62	76.54
boli1256	Bolinao	Austronesian	Papunesia	60	34	26	76.47
iton1250	Itonama		South America	170	85	65	76.47
maka1311	Makasar	Austronesian	Papunesia	86	80	61	76.25
isla1278	Island Carib	Arawakan	North America	85	84	64	76.19
wayu1243	Wayuu	Arawakan	South America	117	88	67	76.14
ruka1240	Rukai	Austronesian	Papunesia	191	96	73	76.04
wapi1253	Wapishana	Arawakan	South America	86	83	63	75.9
paun1241	Paunaka	Arawakan	South America	99	94	71	75.53
bare1276	Baré	Arawakan	South America	117	88	66	75
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	68	51	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
puin1248	Puinave		South America	44	24	18	75
bura1267	Burarra	Maningrida	Australia	87	84	62	73.81
yavi1244	Yavitero-Pareni	Arawakan	South America	117	90	66	73.33
otta1242	Ottawa	Algic	North America	190	93	68	73.12
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	48	35	72.92
araw1276	Lokono	Arawakan	South America	136	81	59	72.84
omii1238	Omi	Central Sudanic	Africa	18	11	8	72.73
ashe1272	Ashéninka Perené	Arawakan	South America	193	95	69	72.63
chey1247	Cheyenne	Algic	North America	139	73	53	72.6
nort2864	Wemale	Austronesian	Papunesia	76	40	29	72.5
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	76	55	72.37
tenn1246	Tennet	Surmic	Africa	158	83	60	72.29
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	18	13	72.22
plai1258	Plains Cree	Algic	North America	174	86	62	72.09
pila1245	Pilagá	Guaicuruan	South America	183	93	67	72.04
shaw1249	Shawnee	Algic	North America	168	89	64	71.91
rita1239	Ritarungo	Pama-Nyungan	Australia	93	85	61	71.76
abip1241	Abipon	Guaicuruan	South America	129	67	48	71.64
ajyi1238	Ajyíninka Apurucayali	Arawakan	South America	69	42	30	71.43
djam1256	Djambarrpuyngu	Pama-Nyungan	Australia	91	84	60	71.43
sene1264	Seneca	Iroquoian	North America	174	91	65	71.43
loup1243	Loup A	Algic	North America	132	73	52	71.23
high1276	Highland Popoluca	Mixe-Zoque	North America	186	90	64	71.11
bata1289	Batak Toba	Austronesian	Papunesia	168	83	59	71.08
alba1269	Inland-Buhi-Daraga Bikol	Austronesian	Papunesia	128	69	49	71.01
ines1240	Ineseño	Chumashan	North America	173	93	66	70.97
para1316	Paraujano	Arawakan	South America	53	31	22	70.97
gari1256	Garifuna	Arawakan	North America	80	79	56	70.89
wood1236	Woods Cree	Algic	North America	162	79	56	70.89
wuvu1239	Wuvulu-Aua	Austronesian	Papunesia	151	79	56	70.89
toba1268	Toba-Maskoy	Lengua-Mascoy	South America	190	96	68	70.83
mose1249	Mosetén-Chimané		South America	179	89	63	70.79
siks1238	Siksika	Algic	North America	162	89	63	70.79
yagu1244	Yagua	Peba-Yagua	South America	170	89	63	70.79
mbya1239	Mbyá Guaraní	Tupian	South America	161	82	58	70.73
gwen1239	Gweno	Atlantic-Congo	Africa	135	75	53	70.67
sout2985	Southern Sierra Miwok	Miwok-Costanoan	North America	166	88	62	70.45
tote1238	Totela	Atlantic-Congo	Africa	161	81	57	70.37
anin1240	Anindilyakwa	Gunwinyguan	Australia	102	91	64	70.33
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	57	40	70.18
umaa1242	Uma	Austronesian	Papunesia	123	67	47	70.15
urni1239	Urningangg	Giimbiyu	Australia	157	77	54	70.13
pali1279	Palikúr	Arawakan	South America	111	87	61	70.11
ngur1261	Wilson River (Grey Range)	Pama-Nyungan	Australia	29	20	14	70
tagb1258	Tagbanwa	Austronesian	Papunesia	42	30	21	70
tobe1252	Tobelo	North Halmahera	Papunesia	173	93	65	69.89
achu1247	Achumawi	Palaihnihan	North America	106	53	37	69.81
moni1237	Mangue	Otomanguean	North America	84	43	30	69.77
paiw1248	Paiwan	Austronesian	Papunesia	92	86	60	69.77
apur1254	Apurinã	Arawakan	South America	155	89	62	69.66
cent2140	Central Sierra Miwok	Miwok-Costanoan	North America	167	89	62	69.66
cayu1262	Cayubaba		South America	131	79	55	69.62
ayiw1239	Äiwoo	Austronesian	Papunesia	172	92	64	69.57
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	92	64	69.57
kuan1247	Kuanyama	Atlantic-Congo	Africa	173	92	64	69.57
onon1246	Onondaga	Iroquoian	North America	190	92	64	69.57
puyu1239	Puyuma	Austronesian	Papunesia	99	92	64	69.57
tami1290	Tami	Austronesian	Papunesia	120	69	48	69.57
cacu1241	Kakua	Kakua-Nukak	South America	168	82	57	69.51
chip1241	Chippewa	Algic	North America	171	82	57	69.51
pare1272	Parecís	Arawakan	South America	144	82	57	69.51
sout2989	Southern Lengua	Lengua-Mascoy	South America	193	95	66	69.47
kala1388	Kalagan	Austronesian	Papunesia	150	72	50	69.44
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	78	54	69.23
bine1240	Bine	Eastern Trans-Fly	Papunesia	88	81	56	69.14
aram1253	Arammba	Yam	Papunesia	92	84	58	69.05
motu1246	Motu	Austronesian	Papunesia	160	84	58	69.05
gbay1278	Gbayi	Atlantic-Congo	Africa	58	29	20	68.97
lard1243	Lardil	Tangkic	Australia	94	87	60	68.97
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	90	62	68.89
sons1242	Sonsorol	Austronesian	Papunesia	181	90	62	68.89
arap1274	Arapaho	Algic	North America	188	93	64	68.82
nyal1254	Belep	Austronesian	Papunesia	180	93	64	68.82
reye1240	Reyesano	Pano-Tacanan	South America	139	80	55	68.75
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	48	33	68.75
baik1238	Baikeno	Austronesian	Papunesia	103	51	35	68.63
sand1273	Sandawe		Africa	76	51	35	68.63
yany1243	Yanyuwa	Pama-Nyungan	Australia	90	86	59	68.6
daak1235	Da'a Kaili	Austronesian	Papunesia	123	70	48	68.57
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	70	48	68.57
moha1258	Mohawk	Iroquoian	North America	127	70	48	68.57
kron1241	Krongo	Kadugli-Krongo	Africa	75	54	37	68.52
papa1238	Papantla Totonac	Totonacan	North America	128	73	50	68.49
gunw1252	Bininj Kun-Wok	Gunwinyguan	Australia	191	95	65	68.42
kali1308	Kalispel-Pend d'Oreille	Salishan	North America	160	79	54	68.35
pang1287	Pangwa	Atlantic-Congo	Africa	167	82	56	68.29
yukp1241	Yukpa	Cariban	South America	106	63	43	68.25
tulu1258	Tulu	Dravidian	Eurasia	163	85	58	68.24
heil1246	Heiltsuk-Oowekyala	Wakashan	North America	126	66	45	68.18
kaya1319	Kayardild	Tangkic	Australia	96	88	60	68.18
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	66	45	68.18
ngan1295	Ngandi	Gunwinyguan	Australia	95	88	60	68.18
west2557	Western Subanon	Austronesian	Papunesia	175	88	60	68.18
niva1238	Nivaclé	Matacoan	South America	188	91	62	68.13
nort2961	Northwestern Ojibwa	Algic	North America	189	91	62	68.13
puel1244	Puelche		South America	128	72	49	68.06
orok1266	Oroko	Atlantic-Congo	Africa	139	75	51	68
onaa1245	Selk'nam	Chonan	South America	153	78	53	67.95
bata1285	Batanga	Atlantic-Congo	Africa	113	53	36	67.92
trin1274	Trinitario-Javeriano-Loretano	Arawakan	South America	146	81	55	67.9
kaur1267	Kaurna	Pama-Nyungan	Australia	48	28	19	67.86
lusi1240	Lusi	Austronesian	Papunesia	144	84	57	67.86
atam1240	Ata Manobo	Austronesian	Papunesia	160	87	59	67.82
uppe1275	Upper Necaxa Totonac	Totonacan	North America	176	87	59	67.82
lowl1260	Lowland Oaxaca Chontal	Tequistlatecan	North America	173	90	61	67.78
kara1487	Karao	Austronesian	Papunesia	160	93	63	67.74
karo1304	Karok		North America	164	93	63	67.74
munc1235	Mün Chin	Sino-Tibetan	Eurasia	186	93	63	67.74
take1257	Takelma		North America	173	93	63	67.74
duru1236	Duruwa	Dravidian	Eurasia	121	65	44	67.69
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	65	44	67.69
bann1247	Bannoni	Austronesian	Papunesia	72	68	46	67.65
kaby1243	Kabyle	Afro-Asiatic	Africa	65	34	23	67.65
awtu1239	Awtuw	Sepik	Papunesia	138	71	48	67.61
mbaa1245	Mba	Atlantic-Congo	Africa	137	74	50	67.57
sida1246	Sidamo	Afro-Asiatic	Africa	104	74	50	67.57
aghu1254	Aghu Tharnggalu	Pama-Nyungan	Australia	69	40	27	67.5
pamo1252	Pamona	Austronesian	Papunesia	148	80	54	67.5
remo1247	Hatang Kayi	Austronesian	Papunesia	135	80	54	67.5
moch1259	Mochica		South America	139	83	56	67.47
bard1255	Bardi	Nyulnyulan	Australia	94	86	58	67.44
ilok1237	Iloko	Austronesian	Papunesia	94	86	58	67.44
dhim1246	Dhimal	Sino-Tibetan	Eurasia	185	89	60	67.42
fuln1247	Fulniô		South America	177	92	62	67.39
lowe1412	Tanudan Kalinga	Austronesian	Papunesia	64	46	31	67.39
woli1241	Wolio	Austronesian	Papunesia	182	92	62	67.39
kuma1276	Nêlêmwa-Nixumwak	Austronesian	Papunesia	189	95	64	67.37
maro1244	Marovo	Austronesian	Papunesia	84	52	35	67.31
umii1235	Umiida-Unggarangu	Worrorran	Australia	88	55	37	67.27
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	58	39	67.24
abad1241	Abadi	Austronesian	Papunesia	118	61	41	67.21
natu1246	Natügu	Austronesian	Papunesia	96	61	41	67.21
cent2087	Coastal-Naga Bikol	Austronesian	Papunesia	156	79	53	67.09
akka1240	Akkadian	Afro-Asiatic	Eurasia	167	82	55	67.07
ayac1239	Ayacucho Quechua	Quechuan	South America	166	82	55	67.07
elna1235	El Nayar Cora	Uto-Aztecan	North America	162	82	55	67.07
mori1268	Mori Bawah	Austronesian	Papunesia	88	82	55	67.07
sant1410	Santali	Austroasiatic	Eurasia	155	82	55	67.07
coeu1236	Coeur d'Alene	Salishan	North America	157	85	57	67.06
moco1246	Mocoví	Guaicuruan	South America	169	88	59	67.05
caml1239	Camling	Sino-Tibetan	Eurasia	170	91	61	67.03
drun1238	Drung	Sino-Tibetan	Eurasia	182	91	61	67.03
idun1242	Iduna	Austronesian	Papunesia	179	91	61	67.03
nort2980	North Junín Quechua	Quechuan	South America	175	91	61	67.03
bell1243	Bella Coola	Salishan	North America	191	94	63	67.02
akan1250	Akan	Atlantic-Congo	Africa	57	48	32	66.67
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	75	50	66.67
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	42	28	66.67
bera1262	Berau Malay	Austronesian	Papunesia	11	6	4	66.67
bubi1250	Bubi	Atlantic-Congo	Africa	144	78	52	66.67
cani1243	Canichana		South America	50	24	16	66.67
dobe1238	Dobel	Austronesian	Papunesia	145	72	48	66.67
guma1254	Gumawana	Austronesian	Papunesia	176	93	62	66.67
haaa1252	Ha	Atlantic-Congo	Africa	187	90	60	66.67
high1243	Highland Totonac	Totonacan	North America	120	72	48	66.67
kaba1278	Kabardian	Abkhaz-Adyge	Eurasia	174	84	56	66.67
kach1284	Kachama-Ganjule-Haro	Ta-Ne-Omotic	Africa	188	93	62	66.67
kuii1252	Kui (India)	Dravidian	Eurasia	113	63	42	66.67
macu1259	Macushi	Cariban	South America	66	36	24	66.67
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	30	20	66.67
mama1275	Mamanwa	Austronesian	Papunesia	149	81	54	66.67
mapu1245	Mapudungun	Araucanian	South America	190	93	62	66.67
murr1258	Murriny Patha	Southern Daly	Australia	97	90	60	66.67
obom1235	Obo Manobo	Austronesian	Papunesia	54	39	26	66.67
olut1240	Oluta Popoluca	Mixe-Zoque	North America	180	93	62	66.67
osam1235	Osamayi	Atlantic-Congo	Africa	105	66	44	66.67
paul1238	Paulohi	Austronesian	Papunesia	170	90	60	66.67
telu1262	Telugu	Dravidian	Eurasia	127	63	42	66.67
teun1241	Te'un	Austronesian	Papunesia	53	33	22	66.67
tojo1241	Tojolabal	Mayan	North America	195	96	64	66.67
warr1255	Warrgamay	Pama-Nyungan	Australia	80	42	28	66.67
buru1303	Buru (Indonesia)	Austronesian	Papunesia	102	95	63	66.32
kaik1246	Kaike	Sino-Tibetan	Eurasia	184	95	63	66.32
wamb1258	Wambayan	Mirndi	Australia	103	95	63	66.32
yatz1235	Yatzachi Zapotec	Otomanguean	North America	185	95	63	66.32
bugi1244	Buginese	Austronesian	Papunesia	183	92	61	66.3
chil1280	Chilcotin-Nicola	Athabaskan-Eyak-Tlingit	North America	183	89	59	66.29
eyak1241	Eyak	Athabaskan-Eyak-Tlingit	North America	174	89	59	66.29
nort2845	North Marquesan	Austronesian	Papunesia	178	89	59	66.29
fran1266	Francisco León Zoque	Mixe-Zoque	North America	161	86	57	66.28
nezp1238	Nez Perce	Sahaptian	North America	176	86	57	66.28
pagu1249	Pagu	North Halmahera	Papunesia	153	86	57	66.28
sier1250	Sierra de Juárez Zapotec	Otomanguean	North America	162	86	57	66.28
buki1249	Bukiyip	Nuclear Torricelli	Papunesia	90	83	55	66.27
kelo1247	Klon	Timor-Alor-Pantar	Papunesia	91	83	55	66.27
cota1241	Cotabato Manobo	Austronesian	Papunesia	145	80	53	66.25
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	80	53	66.25
chic1270	Chickasaw	Muskogean	North America	150	77	51	66.23
isth1241	Isthmus-Pajapan Nahuatl	Uto-Aztecan	North America	133	74	49	66.22
sela1260	Selayar	Austronesian	Papunesia	135	74	49	66.22
baga1272	Baga Sitemu	Atlantic-Congo	Africa	140	71	47	66.2
tina1248	Tinà Sambal	Austronesian	Papunesia	141	71	47	66.2
nuku1260	Nukuoro	Austronesian	Papunesia	120	68	45	66.18
cams1241	Camsá		South America	124	65	43	66.15
mori1269	Mori Atas	Austronesian	Papunesia	105	65	43	66.15
agus1235	Agusan Manobo	Austronesian	Papunesia	103	62	41	66.13
natc1249	Natchez		North America	108	59	39	66.1
mota1237	Mota	Austronesian	Papunesia	107	53	35	66.04
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	50	33	66
cher1273	Cherokee	Iroquoian	North America	184	94	62	65.96
kamb1316	Kambaata	Afro-Asiatic	Africa	132	94	62	65.96
tiwi1244	Tiwi		Australia	102	94	62	65.96
chuj1250	Chuj	Mayan	North America	171	91	60	65.93
muna1247	Muna	Austronesian	Papunesia	99	91	60	65.93
taga1270	Tagalog	Austronesian	Papunesia	101	91	60	65.93
agut1237	Agutaynen	Austronesian	Papunesia	161	88	58	65.91
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	88	58	65.91
east2556	Eastern Highland Otomi	Otomanguean	North America	164	85	56	65.88
mala1522	Malayo	Chibchan	South America	157	85	56	65.88
movi1243	Movima		South America	167	85	56	65.88
anta1255	Antankarana Malagasy	Austronesian	Africa	102	41	27	65.85
plat1254	Plateau Malagasy	Austronesian	Africa	89	82	54	65.85
quil1240	Quileute	Chimakuan	North America	165	82	54	65.85
bulu1251	Bulu (Cameroon)	Atlantic-Congo	Africa	164	79	52	65.82
sier1248	Sierra Negra Nahuatl	Uto-Aztecan	North America	145	76	50	65.79
mans1262	Mansaka	Austronesian	Papunesia	127	73	48	65.75
jaru1254	Jaru	Pama-Nyungan	Australia	61	35	23	65.71
pano1254	Panoan Katukína	Pano-Tacanan	South America	132	70	46	65.71
waga1260	Wagaya	Pama-Nyungan	Australia	134	67	44	65.67
mana1295	Manam	Austronesian	Papunesia	175	96	63	65.62
safw1238	Safwa	Atlantic-Congo	Africa	48	32	21	65.62
hida1246	Hidatsa	Siouan	North America	177	93	61	65.59
yima1243	Yimas	Lower Sepik-Ramu	Papunesia	100	93	61	65.59
como1259	Comox	Salishan	North America	177	90	59	65.56
gang1267	Ganggalida	Tangkic	Australia	94	87	57	65.52
mund1320	Mundari	Austroasiatic	Eurasia	156	87	57	65.52
para1311	Paraguayan Guaraní	Tupian	South America	54	29	19	65.52
tupi1273	Tupinambá	Tupian	South America	163	87	57	65.52
moyo1238	Moyon	Sino-Tibetan	Eurasia	167	84	55	65.48
sout2918	Southern Sama	Austronesian	Papunesia	159	84	55	65.48
tswa1253	Tswana	Atlantic-Congo	Africa	178	84	55	65.48
caro1242	Carolinian	Austronesian	Papunesia	154	78	51	65.38
nyul1247	Nyulnyul	Nyulnyulan	Australia	159	78	51	65.38
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	26	17	65.38
yawa1260	Yawanawa	Pano-Tacanan	South America	148	78	51	65.38
kava1241	Kavalan	Austronesian	Papunesia	148	75	49	65.33
kute1249	Kutenai		North America	132	75	49	65.33
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	75	49	65.33
muyu1244	Muyuw	Austronesian	Papunesia	140	75	49	65.33
suku1259	Suku	Atlantic-Congo	Africa	134	75	49	65.33
lamo1244	Lamogai	Austronesian	Papunesia	135	72	47	65.28
yeyi1239	Yeyi	Atlantic-Congo	Africa	102	72	47	65.28
colu1241	Columbia-Wenatchi	Salishan	North America	178	95	62	65.26
kunb1251	Kunbarlang	Gunwinyguan	Australia	190	95	62	65.26
binu1244	Talaandig-Binukid	Austronesian	Papunesia	108	69	45	65.22
bunu1267	Bunun	Austronesian	Papunesia	74	69	45	65.22
kons1243	Konso	Afro-Asiatic	Africa	87	69	45	65.22
mati1250	Matigsalug Manobo	Austronesian	Papunesia	177	92	60	65.22
qanj1241	Q'anjob'al	Mayan	North America	176	92	60	65.22
saki1247	Sakizaya	Austronesian	Papunesia	135	69	45	65.22
tsou1248	Tsou	Austronesian	Papunesia	99	92	60	65.22
west2635	Akateko	Mayan	North America	178	92	60	65.22
wotu1240	Wotu	Austronesian	Papunesia	180	92	60	65.22
gusi1247	Gusii	Atlantic-Congo	Africa	173	89	58	65.17
kari1254	Kariri		South America	177	89	58	65.17
maja1242	Majang	Surmic	Africa	163	89	58	65.17
midd1357	Middle Clarence Bandjalang	Pama-Nyungan	Australia	96	89	58	65.17
west2560	West Coast Bajau	Austronesian	Papunesia	179	89	58	65.17
iwal1237	Iwal	Austronesian	Papunesia	134	66	43	65.15
makw1236	Makwe	Atlantic-Congo	Africa	86	66	43	65.15
kaga1256	Kagayanen	Austronesian	Papunesia	167	86	56	65.12
masb1238	Masbatenyo	Austronesian	Papunesia	172	86	56	65.12
miam1252	Miami	Algic	North America	120	63	41	65.08
puqu1242	Puquina		South America	118	63	41	65.08
amah1246	Amahuaca	Pano-Tacanan	South America	153	83	54	65.06
cent2090	Central Tagbanwa	Austronesian	Papunesia	166	83	54	65.06
dime1235	Dime	South Omotic	Africa	52	40	26	65
mamv1243	Mamvu	Central Sudanic	Africa	136	80	52	65
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	80	52	65
timu1262	Timugon Murut	Austronesian	Papunesia	153	80	52	65
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	77	50	64.94
sanm1301	San Marcos Tlalcoyalco Popoloca	Otomanguean	North America	141	77	50	64.94
sout2895	South Nuaulu	Austronesian	Papunesia	158	77	50	64.94
ticu1245	Ticuna	Ticuna-Yuri	South America	154	77	50	64.94
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	57	37	64.91
cemu1238	Cemuhî	Austronesian	Papunesia	180	94	61	64.89
cree1270	Creek	Muskogean	North America	185	94	61	64.89
hual1241	Huallaga Huánuco Quechua	Quechuan	South America	191	94	61	64.89
kili1267	Kilivila	Austronesian	Papunesia	187	94	61	64.89
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	74	48	64.86
saga1262	Sagalla	Atlantic-Congo	Africa	152	74	48	64.86
sanj1284	Western Tlacolula Valley Zapotec	Otomanguean	North America	152	74	48	64.86
ying1247	Yinggarda	Pama-Nyungan	Australia	65	37	24	64.86
chol1284	Cholón	Hibito-Cholon	South America	181	91	59	64.84
coos1249	Hanis	Coosan	North America	176	91	59	64.84
ivat1242	Itbayat	Austronesian	Papunesia	176	91	59	64.84
leng1259	Lengo	Austronesian	Papunesia	172	91	59	64.84
mats1244	Matsés	Pano-Tacanan	South America	174	91	59	64.84
ngar1284	Ngarinyin	Worrorran	Australia	181	91	59	64.84
nort2954	Northern Paiute	Uto-Aztecan	North America	184	91	59	64.84
nyan1307	Nyankole	Atlantic-Congo	Africa	185	91	59	64.84
pang1290	Pangasinan	Austronesian	Papunesia	169	91	59	64.84
saur1249	Sauria Paharia	Dravidian	Eurasia	179	91	59	64.84
buol1237	Buol	Austronesian	Papunesia	117	71	46	64.79
mara1404	Maranao	Austronesian	Papunesia	128	71	46	64.79
cusc1236	Cusco Quechua	Quechuan	South America	167	88	57	64.77
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	88	57	64.77
moch1257	Mocho	Mayan	North America	163	88	57	64.77
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	68	44	64.71
capa1241	Capanahua	Pano-Tacanan	South America	171	85	55	64.71
muss1246	Mussau-Emira	Austronesian	Papunesia	90	85	55	64.71
oroc1248	Oroch	Tungusic	Eurasia	162	85	55	64.71
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	85	55	64.71
band1340	Bandial	Atlantic-Congo	Africa	87	82	53	64.63
bili1260	Bilin	Afro-Asiatic	Africa	157	82	53	64.63
hixk1239	Hixkaryána	Cariban	South America	162	82	53	64.63
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	82	53	64.63
kwin1241	Kwini	Worrorran	Australia	160	82	53	64.63
seve1240	Severn Ojibwa	Algic	North America	176	82	53	64.63
yapu1240	Yeri	Nuclear Torricelli	Papunesia	163	82	53	64.63
dhar1247	Dhargari	Pama-Nyungan	Australia	77	48	31	64.58
meke1243	Mekeo	Austronesian	Papunesia	192	96	62	64.58
waru1264	Warrongo	Pama-Nyungan	Australia	72	48	31	64.58
holo1240	Holoholo	Atlantic-Congo	Africa	144	79	51	64.56
misi1243	Misima-Paneati	Austronesian	Papunesia	144	79	51	64.56
nyak1260	Nyakyusa-Ngonde	Atlantic-Congo	Africa	153	79	51	64.56
mamm1241	Mam	Mayan	North America	179	93	60	64.52
seng1281	Sengseng	Austronesian	Papunesia	100	62	40	64.52
bara1361	Barambu	Atlantic-Congo	Africa	128	76	49	64.47
thur1254	Thurawal	Pama-Nyungan	Australia	86	45	29	64.44
kara1500	Karajá	Nuclear-Macro-Je	South America	176	87	56	64.37
maan1238	Ma'anyan	Austronesian	Papunesia	163	87	56	64.37
urar1246	Urarina		South America	174	87	56	64.37
bank1256	Bankon	Atlantic-Congo	Africa	78	42	27	64.29
