Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
tswa1255	Tswa	Atlantic-Congo	Africa	162	149	130	87.25
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	108	94	87.04
land1256	Landoma	Atlantic-Congo	Africa	137	130	113	86.92
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	14	12	85.71
ndob1238	Ndobo	Atlantic-Congo	Africa	85	80	68	85
osam1235	Osamayi	Atlantic-Congo	Africa	105	100	85	85
baga1272	Baga Sitemu	Atlantic-Congo	Africa	140	132	112	84.85
yasa1242	Yasa	Atlantic-Congo	Africa	101	91	77	84.62
liki1240	Balobo	Atlantic-Congo	Africa	99	97	82	84.54
tivv1240	Tiv	Atlantic-Congo	Africa	110	102	86	84.31
ncan1245	Ncane-Mungong	Atlantic-Congo	Africa	131	121	102	84.3
konz1239	Konzo	Atlantic-Congo	Africa	133	127	107	84.25
molo1266	Moloko	Afro-Asiatic	Africa	109	101	85	84.16
nyor1246	Nyoro	Atlantic-Congo	Africa	180	162	136	83.95
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	155	130	83.87
bush1247	Bushoong	Atlantic-Congo	Africa	184	165	138	83.64
mong1338	Mongo	Atlantic-Congo	Africa	124	110	92	83.64
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	127	106	83.46
moba1244	Moba	Atlantic-Congo	Africa	185	163	136	83.44
soga1242	Soga	Atlantic-Congo	Africa	181	162	135	83.33
soli1239	Soli	Atlantic-Congo	Africa	101	90	75	83.33
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	149	124	83.22
cori1240	Cori	Atlantic-Congo	Africa	139	131	109	83.21
belu1239	Belueli	Atlantic-Congo	Africa	73	71	59	83.1
akoo1248	Akoose	Atlantic-Congo	Africa	185	165	137	83.03
lito1235	Litoka	Atlantic-Congo	Africa	97	93	77	82.8
kaon1241	Kaonde	Atlantic-Congo	Africa	120	110	91	82.73
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	153	126	82.35
komc1235	Kom (Cameroon)	Atlantic-Congo	Africa	158	147	121	82.31
nkor1239	Nkoroo	Ijoid	Africa	54	45	37	82.22
ndam1251	Ndam	Afro-Asiatic	Africa	41	39	32	82.05
zamb1245	Zamba	Atlantic-Congo	Africa	152	139	114	82.01
orok1266	Oroko	Atlantic-Congo	Africa	139	127	104	81.89
lele1267	Lelepa	Austronesian	Papunesia	149	138	113	81.88
bolo1262	Boloki	Atlantic-Congo	Africa	144	132	108	81.82
gusi1247	Gusii	Atlantic-Congo	Africa	173	154	126	81.82
nyan1307	Nyankole	Atlantic-Congo	Africa	185	165	135	81.82
temb1272	Motembo-Kunda	Atlantic-Congo	Africa	105	99	81	81.82
gyel1242	Gyele	Atlantic-Congo	Africa	190	170	139	81.76
pagi1243	Pagibete	Atlantic-Congo	Africa	170	159	130	81.76
bafi1243	Bafia	Atlantic-Congo	Africa	173	153	125	81.7
kimm1246	Kim	Atlantic-Congo	Africa	129	125	102	81.6
koti1238	Koti	Atlantic-Congo	Africa	182	163	133	81.6
beem1239	Beembe	Atlantic-Congo	Africa	144	130	106	81.54
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	108	88	81.48
