Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
homa1239	Homa	Atlantic-Congo	Africa	14	14	13	92.86
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
samb1311	Samba Daka	Atlantic-Congo	Africa	158	147	127	86.39
kaba1281	Kaba	Central Sudanic	Africa	166	152	131	86.18
zulg1242	Zulgo-Gemzek	Afro-Asiatic	Africa	133	128	110	85.94
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	135	116	85.93
kimm1246	Kim	Atlantic-Congo	Africa	129	119	102	85.71
ngam1268	Ngambay	Central Sudanic	Africa	156	146	125	85.62
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	83	71	85.54
lewo1244	Lewotobi	Austronesian	Papunesia	189	170	145	85.29
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	149	127	85.23
buwa1243	Buwal	Afro-Asiatic	Africa	191	172	146	84.88
tane1237	Tanema	Austronesian	Papunesia	154	145	123	84.83
lave1249	Brao	Austroasiatic	Eurasia	122	118	100	84.75
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	144	122	84.72
mbay1241	Mbay	Central Sudanic	Africa	173	156	132	84.62
rade1240	Rade	Austronesian	Eurasia	167	155	131	84.52
monn1252	Mon	Austroasiatic	Eurasia	91	89	75	84.27
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	127	107	84.25
tera1251	Tera	Afro-Asiatic	Africa	152	146	123	84.25
mans1260	Mansim	Hatam-Mansim	Papunesia	71	69	58	84.06
uuuu1243	U	Austroasiatic	Eurasia	139	131	110	83.97
gade1242	Gade	Atlantic-Congo	Africa	178	166	139	83.73
tean1237	Teanu	Austronesian	Papunesia	147	141	118	83.69
west2650	Western Cham	Austronesian	Eurasia	151	146	122	83.56
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	176	147	83.52
adon1237	Adonara	Austronesian	Papunesia	165	151	126	83.44
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	175	146	83.43
jurm1239	Jur Modo	Central Sudanic	Africa	159	144	120	83.33
mort1237	Mortlockese	Austronesian	Papunesia	141	132	110	83.33
sapu1248	Sapuan	Austroasiatic	Eurasia	152	144	120	83.33
abee1242	Abé	Atlantic-Congo	Africa	142	131	109	83.21
mund1326	Mündü	Atlantic-Congo	Africa	120	113	94	83.19
ngas1240	Ngas	Afro-Asiatic	Africa	176	160	133	83.12
oldm1242	Old Mon	Austroasiatic	Eurasia	171	160	133	83.12
nucl1240	Mumuye	Atlantic-Congo	Africa	170	159	132	83.02
sout2782	South Fali	Atlantic-Congo	Africa	177	159	132	83.02
huuu1240	Hu	Austroasiatic	Eurasia	175	158	131	82.91
phai1238	Prai	Austroasiatic	Eurasia	186	169	140	82.84
buga1247	Bugan	Austroasiatic	Eurasia	190	174	144	82.76
vano1237	Lovono	Austronesian	Papunesia	146	137	113	82.48
kute1248	Kutep	Atlantic-Congo	Africa	163	148	122	82.43
fonn1241	Fon	Atlantic-Congo	Africa	189	170	140	82.35
