Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
tain1254	Taino	Arawakan	North America	4	4	4	100
nkor1239	Nkoroo	Ijoid	Africa	54	37	35	94.59
goro1270	Gorowa	Afro-Asiatic	Africa	13	12	11	91.67
gbay1278	Gbayi	Atlantic-Congo	Africa	58	46	41	89.13
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	9	8	88.89
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	44	39	88.64
juho1239	South-Eastern Ju	Kxa	Africa	57	26	23	88.46
bian1252	Biangai	Goilalan	Papunesia	155	88	77	87.5
kara1476	Karadjeri	Pama-Nyungan	Australia	67	38	33	86.84
poya1241	Poyanáwa	Pano-Tacanan	South America	50	37	32	86.49
mann1248	Mann	Mande	Africa	124	72	62	86.11
waja1257	Wajarri	Pama-Nyungan	Australia	65	36	31	86.11
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	7	6	85.71
kimm1246	Kim	Atlantic-Congo	Africa	129	77	66	85.71
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	7	6	85.71
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	62	53	85.48
kuna1268	Kunama		Africa	165	94	80	85.11
mamv1243	Mamvu	Central Sudanic	Africa	136	87	74	85.06
kima1246	Kimaama	Kolopom	Papunesia	92	60	51	85
bawm1236	Bawm Chin	Sino-Tibetan	Eurasia	160	93	79	84.95
tami1290	Tami	Austronesian	Papunesia	120	66	56	84.85
tega1236	Tegali	Rashad	Africa	82	58	49	84.48
obok1239	Obokuitai	Lakes Plain	Papunesia	157	96	81	84.38
coch1272	Cochimi	Cochimi-Yuman	North America	89	51	43	84.31
aeky1238	Aekyom	Kamula-Elevala	Papunesia	120	76	64	84.21
thad1238	Thado Chin	Sino-Tibetan	Eurasia	184	101	85	84.16
gale1259	Galela	North Halmahera	Papunesia	143	94	79	84.04
lipo1242	Lipo	Sino-Tibetan	Eurasia	192	105	88	83.81
munc1235	Mün Chin	Sino-Tibetan	Eurasia	186	104	87	83.65
kamu1260	Kamula	Kamula-Elevala	Papunesia	185	103	86	83.5
bong1285	Bongo	Central Sudanic	Africa	146	90	75	83.33
east2379	Eastern Arrernte	Pama-Nyungan	Australia	93	48	40	83.33
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	42	35	83.33
yale1246	Yale		Papunesia	173	102	85	83.33
wash1253	Washo		North America	152	89	74	83.15
taba1263	Tabaru	North Halmahera	Papunesia	176	94	78	82.98
miju1243	Kman	Sino-Tibetan	Eurasia	192	105	87	82.86
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	99	82	82.83
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	93	77	82.8
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	98	81	82.65
