Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	140	118	84.29
goro1270	Gorowa	Afro-Asiatic	Africa	13	12	10	83.33
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	90	74	82.22
poya1241	Poyanáwa	Pano-Tacanan	South America	50	43	35	81.4
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	99	80	80.81
baim1244	Baima	Sino-Tibetan	Eurasia	193	170	137	80.59
cupe1243	Cupeño	Uto-Aztecan	North America	48	41	33	80.49
miju1243	Kman	Sino-Tibetan	Eurasia	192	169	136	80.47
para1311	Paraguayan Guaraní	Tupian	South America	54	46	37	80.43
sout2728	Southern Qiang	Sino-Tibetan	Eurasia	192	168	135	80.36
bang1369	Bangru	Sino-Tibetan	Eurasia	151	142	114	80.28
chas1234	Chashan	Sino-Tibetan	Eurasia	169	146	117	80.14
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
lahu1253	Lahu	Sino-Tibetan	Eurasia	175	154	123	79.87
ndom1245	Ndom	Kolopom	Papunesia	74	68	54	79.41
lash1243	Lashi	Sino-Tibetan	Eurasia	188	165	131	79.39
awab1243	Awabakal	Pama-Nyungan	Australia	67	63	50	79.37
limb1266	Limbu	Sino-Tibetan	Eurasia	140	126	100	79.37
sani1269	Sani	Sino-Tibetan	Eurasia	168	150	119	79.33
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	101	80	79.21
cata1286	Catawba	Siouan	North America	125	120	95	79.17
tang1334	Tangut	Sino-Tibetan	Eurasia	151	134	106	79.1
miam1252	Miami	Algic	North America	120	105	83	79.05
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	167	132	79.04
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	76	60	78.95
gale1259	Galela	North Halmahera	Papunesia	143	133	105	78.95
pela1242	Pela	Sino-Tibetan	Eurasia	194	169	133	78.7
apol1242	Apolista	Arawakan	South America	14	14	11	78.57
gbay1278	Gbayi	Atlantic-Congo	Africa	58	56	44	78.57
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	168	132	78.57
nkor1239	Nkoroo	Ijoid	Africa	54	51	40	78.43
kado1242	Kado	Sino-Tibetan	Eurasia	184	162	127	78.4
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	106	83	78.3
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	160	125	78.12
bori1243	Bori-Karko	Sino-Tibetan	Eurasia	152	141	110	78.01
buga1247	Bugan	Austroasiatic	Eurasia	190	168	131	77.98
lipo1242	Lipo	Sino-Tibetan	Eurasia	192	168	131	77.98
coah1252	Coahuilteco		North America	129	118	92	77.97
shas1239	Shasta	Shastan	North America	144	127	99	77.95
namu1246	Namuyi	Sino-Tibetan	Eurasia	173	154	120	77.92
guma1254	Gumawana	Austronesian	Papunesia	176	153	119	77.78
suru1262	Suruí	Tupian	South America	18	18	14	77.78
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	72	56	77.78
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	139	108	77.7
kats1235	Katso	Sino-Tibetan	Eurasia	186	161	125	77.64
zhab1238	Zhaba	Sino-Tibetan	Eurasia	146	134	104	77.61
lule1238	Lule		South America	146	129	100	77.52
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	120	93	77.5
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	102	79	77.45
nort2722	Northern Qiang	Sino-Tibetan	Eurasia	187	164	127	77.44
chak1270	Chak	Sino-Tibetan	Eurasia	188	168	130	77.38
qawa1238	Qawasqar	Kawesqar	South America	164	145	112	77.24
azha1235	Azha	Sino-Tibetan	Eurasia	151	136	105	77.21
acha1249	Longchuan Achang	Sino-Tibetan	Eurasia	191	166	128	77.11
nucl1632	Sentani	Sentanic	Papunesia	143	131	101	77.1
piap1246	Piapoco	Arawakan	South America	59	48	37	77.08
wash1253	Washo		North America	152	135	104	77.04
japh1234	Japhug	Sino-Tibetan	Eurasia	185	161	124	77.02
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	78	60	76.92
enuu1235	Enu	Sino-Tibetan	Eurasia	193	169	130	76.92
gura1251	Gurani	Indo-European	Eurasia	128	117	90	76.92
hani1248	Hani	Sino-Tibetan	Eurasia	186	164	126	76.83
tugu1245	Tugun	Austronesian	Papunesia	168	151	116	76.82
yuqu1240	Yuqui	Tupian	South America	153	138	106	76.81
fefe1239	Fe'fe'	Atlantic-Congo	Africa	142	125	96	76.8
maru1249	Maru	Sino-Tibetan	Eurasia	191	168	129	76.79
gaaa1244	Ga	Atlantic-Congo	Africa	133	116	89	76.72
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	166	146	112	76.71
kach1280	Southern Jinghpaw	Sino-Tibetan	Eurasia	172	150	115	76.67
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	167	128	76.65
west2417	Western Muya	Sino-Tibetan	Eurasia	112	107	82	76.64
huuu1240	Hu	Austroasiatic	Eurasia	175	158	121	76.58
lolo1259	Lolopo	Sino-Tibetan	Eurasia	186	162	124	76.54
yukp1241	Yukpa	Cariban	South America	106	98	75	76.53
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	166	127	76.51
sunw1242	Sunwar	Sino-Tibetan	Eurasia	174	149	114	76.51
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	149	114	76.51
lotu1250	Lotud	Austronesian	Papunesia	132	119	91	76.47
tibe1274	Tibea	Atlantic-Congo	Africa	95	85	65	76.47
guiq1238	Guiqiong	Sino-Tibetan	Eurasia	177	157	120	76.43
tonk1249	Tonkawa		North America	156	140	107	76.43
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	161	123	76.4
sout2994	Southern Nambikuára	Nambiquaran	South America	186	161	123	76.4
tami1290	Tami	Austronesian	Papunesia	120	110	84	76.36
misi1243	Misima-Paneati	Austronesian	Papunesia	144	131	100	76.34
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	169	129	76.33
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	169	129	76.33
idum1241	Idu	Sino-Tibetan	Eurasia	151	135	103	76.3
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	156	119	76.28
anga1288	Angami Naga	Sino-Tibetan	Eurasia	180	160	122	76.25
gung1248	Gungabula	Pama-Nyungan	Australia	44	42	32	76.19
iliu1237	Ili'uun	Austronesian	Papunesia	168	147	112	76.19
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	126	96	76.19
luan1263	Luang	Austronesian	Papunesia	173	151	115	76.16
boru1252	Boruca	Chibchan	North America	117	109	83	76.15
susu1250	Susu	Mande	Africa	96	88	67	76.14
sooo1254	Sô	Austroasiatic	Eurasia	176	155	118	76.13
chhi1245	Chintang	Sino-Tibetan	Eurasia	150	134	102	76.12
chol1284	Cholón	Hibito-Cholon	South America	181	159	121	76.1
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	71	54	76.06
tobe1252	Tobelo	North Halmahera	Papunesia	173	150	114	76
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	150	114	76
puqu1242	Puquina		South America	118	104	79	75.96
huba1236	Huba	Afro-Asiatic	Africa	151	133	101	75.94
tsat1238	Tsat	Austronesian	Eurasia	183	162	123	75.93
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	137	104	75.91
male1297	Maléku Jaíka	Chibchan	North America	188	166	126	75.9
buna1276	Bunama	Austronesian	Papunesia	125	112	85	75.89
gant1244	Gants	Nuclear Trans New Guinea	Papunesia	164	141	107	75.89
sout2895	South Nuaulu	Austronesian	Papunesia	158	141	107	75.89
baik1238	Baikeno	Austronesian	Papunesia	103	95	72	75.79
abee1242	Abé	Atlantic-Congo	Africa	142	128	97	75.78
adan1251	Adang	Timor-Alor-Pantar	Papunesia	184	161	122	75.78
baba1268	Babatana	Austronesian	Papunesia	138	128	97	75.78
situ1238	Situ	Sino-Tibetan	Eurasia	185	161	122	75.78
kunz1244	Kunza		South America	72	70	53	75.71
naxi1245	Naxi	Sino-Tibetan	Eurasia	132	115	87	75.65
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	78	59	75.64
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	119	90	75.63
gily1242	Amur Nivkh	Nivkh	Eurasia	183	160	121	75.62
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	164	124	75.61
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	168	127	75.6
brib1243	Bribri	Chibchan	North America	163	143	108	75.52
bawm1236	Bawm Chin	Sino-Tibetan	Eurasia	160	147	111	75.51
sout2782	South Fali	Atlantic-Congo	Africa	177	159	120	75.47
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	163	123	75.46
jiba1237	Jiba	Atlantic-Congo	Africa	120	110	83	75.45
kara1476	Karadjeri	Pama-Nyungan	Australia	67	57	43	75.44
bugl1243	Buglere	Chibchan	North America	157	138	104	75.36
yong1270	Narua	Sino-Tibetan	Eurasia	160	142	107	75.35
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	146	110	75.34
sanb1242	San Blas Kuna	Chibchan	South America	165	146	110	75.34
taba1263	Tabaru	North Halmahera	Papunesia	176	154	116	75.32
guan1266	Khroskyabs	Sino-Tibetan	Eurasia	191	166	125	75.3
loma1260	Loma (Liberia)	Mande	Africa	90	85	64	75.29
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	113	85	75.22
rama1270	Rama	Chibchan	North America	145	129	97	75.19
dyul1238	Dyula	Mande	Africa	157	141	106	75.18
mono1275	Mono (USA)	Uto-Aztecan	North America	161	141	106	75.18
apat1240	Apatani	Sino-Tibetan	Eurasia	170	149	112	75.17
nort2952	Northeast Maidu	Maiduan	North America	161	145	109	75.17
ulwa1239	Ulwa	Misumalpan	North America	165	145	109	75.17
bata1289	Batak Toba	Austronesian	Papunesia	168	153	115	75.16
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	153	115	75.16
aona1235	Ao Naga	Sino-Tibetan	Eurasia	185	160	120	75
atak1252	Atakapa		North America	149	140	105	75
buhu1237	Buhutu	Austronesian	Papunesia	134	128	96	75
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	6	75
mamv1243	Mamvu	Central Sudanic	Africa	136	124	93	75
maya1285	Mayangna	Misumalpan	North America	153	136	102	75
nyun1247	Nyunga	Pama-Nyungan	Australia	26	24	18	75
sanb1241	San Baltazar Loxicha Zapotec	Otomanguean	North America	147	128	96	75
sgaw1245	S'gaw Karen	Sino-Tibetan	Eurasia	161	144	108	75
shee1238	She	Hmong-Mien	Eurasia	162	148	111	75
tain1254	Taino	Arawakan	North America	4	4	3	75
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	167	125	74.85
munc1235	Mün Chin	Sino-Tibetan	Eurasia	186	163	122	74.85
nucl1417	Igbo	Atlantic-Congo	Africa	188	163	122	74.85
tuwu1238	Tuwuli	Atlantic-Congo	Africa	191	167	125	74.85
idun1242	Iduna	Austronesian	Papunesia	179	155	116	74.84
keap1239	Keapara	Austronesian	Papunesia	174	155	116	74.84
nort3047	North Giziga	Afro-Asiatic	Africa	176	155	116	74.84
take1257	Takelma		North America	173	155	116	74.84
dumi1241	Dumi	Sino-Tibetan	Eurasia	166	151	113	74.83
maan1238	Ma'anyan	Austronesian	Papunesia	163	143	107	74.83
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	147	110	74.83
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	135	101	74.81
ango1257	Angosturas Tunebo	Chibchan	South America	136	123	92	74.8
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	123	92	74.8
pawa1255	Pawaia		Papunesia	110	103	77	74.76
iama1237	Iamalele	Austronesian	Papunesia	107	99	74	74.75
manu1258	Manusela	Austronesian	Papunesia	101	95	71	74.74
hrus1242	Hruso		Eurasia	89	87	65	74.71
nort2994	Northern Roglai	Austronesian	Eurasia	90	87	65	74.71
lepc1244	Lepcha	Sino-Tibetan	Eurasia	176	158	118	74.68
lush1249	Mizo	Sino-Tibetan	Eurasia	182	158	118	74.68
humb1243	Humburi Senni Songhay	Songhay	Africa	167	150	112	74.67
monn1252	Mon	Austroasiatic	Eurasia	91	75	56	74.67
akha1245	Akha	Sino-Tibetan	Eurasia	159	142	106	74.65
araw1273	Araweté	Tupian	South America	148	134	100	74.63
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	122	91	74.59
nara1262	Nara		Africa	132	122	91	74.59
kaya1315	Kayan Lahwi	Sino-Tibetan	Eurasia	194	169	126	74.56
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	169	126	74.56
wuch1236	Wu Chinese	Sino-Tibetan	Eurasia	192	169	126	74.56
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	161	120	74.53
gang1266	Gangte	Sino-Tibetan	Eurasia	184	161	120	74.53
shix1238	Shixing	Sino-Tibetan	Eurasia	182	161	120	74.53
djin1253	Djinang	Pama-Nyungan	Australia	59	51	38	74.51
high1243	Highland Totonac	Totonacan	North America	120	102	76	74.51
nucl1240	Mumuye	Atlantic-Congo	Africa	170	153	114	74.51
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	51	38	74.51
blan1242	Blang	Austroasiatic	Eurasia	159	145	108	74.48
west2548	West Damar	Austronesian	Papunesia	163	145	108	74.48
buru1303	Buru (Indonesia)	Austronesian	Papunesia	102	90	67	74.44
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	160	119	74.38
guat1253	Guató		South America	127	117	87	74.36
jjuu1238	Jju	Atlantic-Congo	Africa	85	74	55	74.32
asur1254	Asuri	Austroasiatic	Eurasia	149	136	101	74.26
sina1266	Sinaugoro	Austronesian	Papunesia	192	167	124	74.25
chic1270	Chickasaw	Muskogean	North America	150	132	98	74.24
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	132	98	74.24
bamb1269	Bambara	Mande	Africa	104	97	72	74.23
zaiw1241	Zaiwa	Sino-Tibetan	Eurasia	174	159	118	74.21
nort2723	Northern Pumi	Sino-Tibetan	Eurasia	177	155	115	74.19
waro1242	Waropen	Austronesian	Papunesia	137	124	92	74.19
nucl1633	Nimboran	Nimboranic	Papunesia	171	151	112	74.17
siri1273	Sirionó	Tupian	South America	169	151	112	74.17
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	147	109	74.15
kaur1271	Kaure-Narau	Kaure-Kosare	Papunesia	60	58	43	74.14
nkon1248	Nkonya	Atlantic-Congo	Africa	128	116	86	74.14
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	85	63	74.12
avac1239	Avá-Canoeiro	Tupian	South America	153	139	103	74.1
dobu1241	Dobu	Austronesian	Papunesia	174	158	117	74.05
jamb1236	Jambi Malay	Austronesian	Papunesia	181	158	117	74.05
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	158	117	74.05
ahom1240	Ahom	Tai-Kadai	Eurasia	178	154	114	74.03
cani1243	Canichana		South America	50	50	37	74
toll1241	Tol	Jicaquean	North America	141	123	91	73.98
adon1237	Adonara	Austronesian	Papunesia	165	146	108	73.97
mban1263	Mbandja	Atlantic-Congo	Africa	162	142	105	73.94
koho1244	Koho	Austroasiatic	Eurasia	182	161	119	73.91
