Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cent1972	Central Kurdish	Indo-European	Eurasia	15	8	7	87.5
yako1252	Yakoma	Atlantic-Congo	Africa	143	117	102	87.18
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	130	112	86.15
geru1240	Geruma	Afro-Asiatic	Africa	66	56	48	85.71
mund1326	Mündü	Atlantic-Congo	Africa	120	102	87	85.29
gala1264	Galambu	Afro-Asiatic	Africa	79	70	59	84.29
anuf1239	Anufo	Atlantic-Congo	Africa	162	140	117	83.57
bolg1251	Bolgo	Atlantic-Congo	Africa	78	78	65	83.33
bamb1269	Bambara	Mande	Africa	104	101	84	83.17
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	35	29	82.86
kimm1246	Kim	Atlantic-Congo	Africa	129	125	103	82.4
aoua1234	A'ou	Tai-Kadai	Eurasia	187	159	130	81.76
mban1263	Mbandja	Atlantic-Congo	Africa	162	137	112	81.75
berb1259	Berbice Creole Dutch	Indo-European	South America	170	153	125	81.7
adze1240	Adzera	Austronesian	Papunesia	158	131	107	81.68
mans1260	Mansim	Hatam-Mansim	Papunesia	71	60	49	81.67
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	135	110	81.48
cori1240	Cori	Atlantic-Congo	Africa	139	118	96	81.36
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	90	73	81.11
jurm1239	Jur Modo	Central Sudanic	Africa	159	146	118	80.82
sout2782	South Fali	Atlantic-Congo	Africa	177	146	118	80.82
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	125	101	80.8
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	52	42	80.77
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	129	104	80.62
ahom1240	Ahom	Tai-Kadai	Eurasia	178	148	119	80.41
juku1254	Jukun Takum	Atlantic-Congo	Africa	187	153	123	80.39
guru1271	Guruntum-Mbaaru	Afro-Asiatic	Africa	181	152	122	80.26
aito1238	Aiton	Tai-Kadai	Eurasia	102	96	77	80.21
phak1238	Phake	Tai-Kadai	Eurasia	101	96	77	80.21
furu1242	Furu	Central Sudanic	Africa	127	111	89	80.18
cakf1236	Cakfem-Mushere-Jibyal	Afro-Asiatic	Africa	173	146	117	80.14
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	146	117	80.14
kamm1249	Kam	Atlantic-Congo	Africa	191	156	125	80.13
