Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	5	5	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
tain1254	Taino	Arawakan	North America	4	4	4	100
ngal1296	Ngala-Santandrea	Atlantic-Congo	Africa	67	63	60	95.24
zand1248	Zande	Atlantic-Congo	Africa	118	94	83	88.3
pamb1243	Pambia	Atlantic-Congo	Africa	131	118	104	88.14
gbay1278	Gbayi	Atlantic-Congo	Africa	58	47	40	85.11
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	20	17	85
bara1361	Barambu	Atlantic-Congo	Africa	128	112	95	84.82
golo1234	Golo	Atlantic-Congo	Africa	82	65	55	84.62
umot1240	Umotína	Bororoan	South America	73	58	49	84.48
gaaa1245	Gaa	Atlantic-Congo	Africa	79	57	48	84.21
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	98	81	82.65
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	23	19	82.61
ngam1268	Ngambay	Central Sudanic	Africa	156	119	98	82.35
monz1249	Monzombo	Atlantic-Congo	Africa	119	96	79	82.29
nort2864	Wemale	Austronesian	Papunesia	76	61	50	81.97
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	11	9	81.82
bela1256	Belanda Bor	Nilotic	Africa	76	65	53	81.54
mans1260	Mansim	Hatam-Mansim	Papunesia	71	54	44	81.48
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	124	101	81.45
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	59	48	81.36
ajas1235	Aja (South Sudan)	Kresh-Aja	Africa	130	110	89	80.91
gobu1238	Gobu	Atlantic-Congo	Africa	141	115	93	80.87
hone1235	Hõne	Atlantic-Congo	Africa	177	125	101	80.8
embe1262	Emberá-Chamí	Chocoan	South America	159	124	100	80.65
mban1263	Mbandja	Atlantic-Congo	Africa	162	124	100	80.65
lend1245	Lendu	Central Sudanic	Africa	159	113	91	80.53
molo1266	Moloko	Afro-Asiatic	Africa	109	71	57	80.28
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	121	97	80.17
gbay1288	Kresh-Woro	Kresh-Aja	Africa	134	114	91	79.82
bolg1251	Bolgo	Atlantic-Congo	Africa	78	74	59	79.73
avok1242	Avokaya	Central Sudanic	Africa	122	93	74	79.57
lusi1240	Lusi	Austronesian	Papunesia	144	107	85	79.44
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	58	46	79.31
jurm1239	Jur Modo	Central Sudanic	Africa	159	120	95	79.17
