Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	7	7	100
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	14	13	92.86
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	13	12	92.31
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	21	19	90.48
maro1244	Marovo	Austronesian	Papunesia	84	38	34	89.47
boli1256	Bolinao	Austronesian	Papunesia	60	18	16	88.89
isin1239	Isinai	Austronesian	Papunesia	152	45	40	88.89
bana1288	Banao Itneg	Austronesian	Papunesia	24	16	14	87.5
bala1311	Balangingi	Austronesian	Papunesia	153	50	43	86
lotu1250	Lotud	Austronesian	Papunesia	132	41	35	85.37
tagb1258	Tagbanwa	Austronesian	Papunesia	42	19	16	84.21
cebu1242	Cebuano	Austronesian	Papunesia	84	37	31	83.78
iran1262	Iranun	Austronesian	Papunesia	138	43	36	83.72
anta1255	Antankarana Malagasy	Austronesian	Africa	102	30	25	83.33
moni1237	Mangue	Otomanguean	North America	84	30	25	83.33
poko1263	Pökoot	Nilotic	Africa	153	42	35	83.33
taus1251	Tausug	Austronesian	Papunesia	179	54	45	83.33
iban1267	Ibanag	Austronesian	Papunesia	177	51	42	82.35
binu1244	Talaandig-Binukid	Austronesian	Papunesia	108	49	40	81.63
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	43	35	81.4
alya1239	Alyawarr	Pama-Nyungan	Australia	68	16	13	81.25
kina1250	Kinaray-a	Austronesian	Papunesia	143	48	39	81.25
cowl1242	Cowlitz	Salishan	North America	175	53	43	81.13
rovi1238	Roviana	Austronesian	Papunesia	161	53	43	81.13
natu1246	Natügu	Austronesian	Papunesia	96	37	30	81.08
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	37	30	81.08
casi1235	Casiguran-Nagtipunan Agta	Austronesian	Papunesia	133	47	38	80.85
kana1286	Kanakanavu	Austronesian	Papunesia	147	47	38	80.85
neng1238	Nengone	Austronesian	Papunesia	169	52	42	80.77
west2644	Western Highland Chatino	Otomanguean	North America	188	52	42	80.77
simb1256	Simbo	Austronesian	Papunesia	95	41	33	80.49
atay1247	Atayal	Austronesian	Papunesia	129	46	37	80.43
cayu1262	Cayubaba		South America	131	46	37	80.43
ibal1244	Ibaloi	Austronesian	Papunesia	169	51	41	80.39
kaga1256	Kagayanen	Austronesian	Papunesia	167	51	41	80.39
kele1259	Keley-i Kallahan	Austronesian	Papunesia	170	51	41	80.39
geme1244	Geme	Atlantic-Congo	Africa	6	5	4	80
kawi1241	Kawi	Austronesian	Papunesia	128	45	36	80
masb1238	Masbatenyo	Austronesian	Papunesia	172	50	40	80
para1316	Paraujano	Arawakan	South America	53	15	12	80
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	35	28	80
saar1237	Saaroa	Austronesian	Papunesia	192	54	43	79.63
tahi1242	Tahitian	Austronesian	Papunesia	188	54	43	79.63
taya1257	Tayart Tamajeq	Afro-Asiatic	Africa	161	44	35	79.55
tomb1244	Tombonuo	Austronesian	Papunesia	136	39	31	79.49
nort2877	Northern Kankanay	Austronesian	Papunesia	149	53	42	79.25
pang1290	Pangasinan	Austronesian	Papunesia	169	53	42	79.25
caac1237	Caac	Austronesian	Papunesia	151	48	38	79.17
umaa1242	Uma	Austronesian	Papunesia	123	43	34	79.07
kamb1299	Kambera	Austronesian	Papunesia	175	52	41	78.85
lill1248	Lillooet	Salishan	North America	190	52	41	78.85
fina1242	Finallig	Austronesian	Papunesia	164	42	33	78.57
lauu1247	Lau	Austronesian	Papunesia	141	42	33	78.57
mono1273	Mono-Alu	Austronesian	Papunesia	111	42	33	78.57
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	42	33	78.57
puyu1239	Puyuma	Austronesian	Papunesia	99	37	29	78.38
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	46	36	78.26
coeu1236	Coeur d'Alene	Salishan	North America	157	50	39	78
isna1241	Isnag	Austronesian	Papunesia	163	50	39	78
mali1285	Malinaltepec Me'phaa	Otomanguean	North America	160	50	39	78
moch1257	Mocho	Mayan	North America	163	50	39	78
gada1258	Ga'dang	Austronesian	Papunesia	70	27	21	77.78
guer1243	Guerrero Amuzgo	Otomanguean	North America	179	54	42	77.78
ibat1238	Ibatan	Austronesian	Papunesia	176	54	42	77.78
taga1272	Tagabawa	Austronesian	Papunesia	161	54	42	77.78
tutu1241	Tutuba	Austronesian	Papunesia	184	54	42	77.78
yuca1254	Yucatec Maya	Mayan	North America	189	54	42	77.78
ilon1239	Ilongot	Austronesian	Papunesia	145	49	38	77.55
atam1240	Ata Manobo	Austronesian	Papunesia	160	53	41	77.36
cham1312	Chamorro	Austronesian	Papunesia	188	53	41	77.36
hawa1245	Hawaiian	Austronesian	Papunesia	181	53	41	77.36
ines1240	Ineseño	Chumashan	North America	173	53	41	77.36
