Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
port1283	Portuguese	Indo-European	Eurasia	192	185	174	94.05
gali1258	Galician	Indo-European	Eurasia	192	186	173	93.01
lomb1257	Lombard	Indo-European	Eurasia	190	184	171	92.93
cors1241	Corsican	Indo-European	Eurasia	179	176	163	92.61
roma1326	Romansh	Indo-European	Eurasia	178	175	162	92.57
ital1282	Italian	Indo-European	Eurasia	193	187	173	92.51
sici1248	Sicilian	Indo-European	Eurasia	179	177	163	92.09
arom1237	Aromanian	Indo-European	Eurasia	165	164	150	91.46
stan1289	Catalan	Indo-European	Eurasia	193	186	169	90.86
camp1261	Campidanese Sardinian	Indo-European	Eurasia	181	177	159	89.83
tosk1239	Northern Tosk Albanian	Indo-European	Eurasia	180	175	151	86.29
mace1250	Macedonian	Indo-European	Eurasia	187	181	153	84.53
dani1285	Danish	Indo-European	Eurasia	182	177	149	84.18
ukra1253	Ukrainian	Indo-European	Eurasia	171	164	138	84.15
sout1528	Serbian-Croatian-Bosnian	Indo-European	Eurasia	187	181	151	83.43
stan1290	French	Indo-European	Eurasia	195	187	155	82.89
plau1238	Plautdietsch	Indo-European	North America	178	173	142	82.08
lith1251	Lithuanian	Indo-European	Eurasia	191	184	150	81.52
latv1249	Latvian	Indo-European	Eurasia	184	180	145	80.56
mode1248	Modern Greek	Indo-European	Eurasia	195	187	150	80.21
swed1254	Swedish	Indo-European	Eurasia	182	176	141	80.11
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
west2354	Western Frisian	Indo-European	Eurasia	187	181	144	79.56
bela1254	Belarusian	Indo-European	Eurasia	190	184	146	79.35
czec1258	Czech	Indo-European	Eurasia	191	185	146	78.92
slov1268	Slovenian	Indo-European	Eurasia	192	185	146	78.92
gheg1238	Gheg Albanian	Indo-European	Eurasia	188	180	141	78.33
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	46	36	78.26
daha1245	Dahalo	Afro-Asiatic	Africa	46	45	35	77.78
bret1244	Breton	Indo-European	Eurasia	189	183	142	77.6
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	10	76.92
wels1247	Welsh	Indo-European	Eurasia	173	169	130	76.92
dutc1256	Dutch	Indo-European	Eurasia	187	180	138	76.67
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	60	46	76.67
malt1254	Maltese	Afro-Asiatic	Eurasia	173	166	127	76.51
faro1244	Faroese	Indo-European	Eurasia	194	186	142	76.34
xhos1239	Xhosa	Atlantic-Congo	Africa	141	135	103	76.3
olde1238	Old English (ca. 450-1100)	Indo-European	Eurasia	191	185	141	76.22
huas1242	Huastec	Mayan	North America	176	168	128	76.19
mlah1239	Mlahsô	Afro-Asiatic	Eurasia	117	113	86	76.11
nepa1254	Nepali	Indo-European	Eurasia	162	158	120	75.95
aghw1237	Aghwan	Nakh-Daghestanian	Eurasia	147	141	107	75.89
lamb1269	Lambadi	Indo-European	Eurasia	155	155	117	75.48
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	129	97	75.19
cypr1248	Cypriot Arabic	Afro-Asiatic	Eurasia	142	137	103	75.18
baha1260	Bahamas Creole English	Indo-European	North America	103	100	75	75
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	32	24	75
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	6	75
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	36	27	75
icel1247	Icelandic	Indo-European	Eurasia	184	176	132	75
ndam1251	Ndam	Afro-Asiatic	Africa	41	40	30	75
stan1293	English	Indo-European	Eurasia	195	187	140	74.87
chad1249	Chadian Arabic	Afro-Asiatic	Africa	146	141	105	74.47
clas1249	Classical-Middle Armenian	Indo-European	Eurasia	183	180	134	74.44
sout2649	Southern Pashto	Indo-European	Eurasia	176	172	128	74.42
hebr1245	Modern Hebrew	Afro-Asiatic	Eurasia	167	160	119	74.38
west2763	Western Neo-Aramaic	Afro-Asiatic	Eurasia	149	144	107	74.31
limo1249	Limonese Creole	Indo-European	North America	143	138	102	73.91
bamu1253	Bamun	Atlantic-Congo	Africa	159	152	112	73.68
pume1238	Pumé		South America	137	133	98	73.68
mund1326	Mündü	Atlantic-Congo	Africa	120	117	86	73.5
chal1275	Chaldean Neo-Aramaic	Afro-Asiatic	Eurasia	181	173	127	73.41
miga1249	Migaama	Afro-Asiatic	Africa	104	101	74	73.27
hind1269	Hindi	Indo-European	Eurasia	187	183	134	73.22
baga1273	Baga Koga	Atlantic-Congo	Africa	104	100	73	73
zaca1241	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl	Uto-Aztecan	North America	164	159	116	72.96
iron1242	Iron Ossetian	Indo-European	Eurasia	172	170	124	72.94
west2386	Western Panjabi	Indo-European	Eurasia	150	144	105	72.92
yasa1242	Yasa	Atlantic-Congo	Africa	101	96	70	72.92
bund1253	Bundeli	Indo-European	Eurasia	173	169	123	72.78
embe1262	Emberá-Chamí	Chocoan	South America	159	154	112	72.73
esim1238	Esimbi	Atlantic-Congo	Africa	154	150	109	72.67
zapa1253	Záparo	Zaparoan	South America	144	139	101	72.66
tete1251	Tetelcingo Nahuatl	Uto-Aztecan	North America	173	168	122	72.62
anci1242	Ancient Greek	Indo-European	Eurasia	194	186	135	72.58
bata1285	Batanga	Atlantic-Congo	Africa	113	109	79	72.48
iris1253	Irish	Indo-European	Eurasia	189	181	131	72.38
dard1243	Dar Daju Daju	Dajuic	Africa	93	90	65	72.22
voti1245	Votic	Uralic	Eurasia	169	162	117	72.22
nica1252	Nicaragua Creole English	Indo-European	North America	157	151	109	72.19
mari1414	Maria (India)	Dravidian	Eurasia	119	115	83	72.17
bafa1247	Bafaw-Balong	Atlantic-Congo	Africa	130	125	90	72
jama1262	Jamaican Creole English	Indo-European	North America	157	150	108	72
yawa1261	Yawalapití	Arawakan	South America	58	57	41	71.93
bekw1242	Bekwil	Atlantic-Congo	Africa	100	96	69	71.88
boht1238	Gardabani Bohtan Neo-Aramaic	Afro-Asiatic	Eurasia	166	160	115	71.88
nara1262	Nara		Africa	132	128	92	71.88
anci1244	Ancient Hebrew	Afro-Asiatic	Eurasia	182	174	125	71.84
nucl1235	Eastern Armenian	Indo-European	Eurasia	188	181	130	71.82
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	110	79	71.82
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	145	104	71.72
iqui1243	Iquito	Zaparoan	South America	116	113	81	71.68
paaa1242	Pa'a	Afro-Asiatic	Africa	183	176	126	71.59
awad1243	Awadhi	Indo-European	Eurasia	173	165	118	71.52
sana1295	Sanaani Arabic	Afro-Asiatic	Eurasia	163	157	112	71.34
berb1259	Berbice Creole Dutch	Indo-European	South America	170	163	116	71.17
quio1240	Quiotepec Chinantec	Otomanguean	North America	182	176	125	71.02
koys1242	Koy Sanjaq Jewish Neo-Aramaic	Afro-Asiatic	Eurasia	169	162	115	70.99
nzak1246	Nzakambay	Atlantic-Congo	Africa	135	131	93	70.99
sana1297	San Andres Creole English	Indo-European	North America	168	162	115	70.99
siwi1239	Siwi	Afro-Asiatic	Africa	168	162	115	70.99
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	172	122	70.93
waor1240	Waorani		South America	150	144	102	70.83
chiq1248	Lomeriano-Ignaciano Chiquitano	Chiquitano	South America	166	161	114	70.81
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	82	58	70.73
xamt1239	Xamtanga	Afro-Asiatic	Africa	189	181	128	70.72
hili1240	Hiligaynon	Austronesian	Papunesia	77	75	53	70.67
akoo1248	Akoose	Atlantic-Congo	Africa	185	177	125	70.62
ronn1241	Ron	Afro-Asiatic	Africa	169	163	115	70.55
gulf1241	Gulf Arabic	Afro-Asiatic	Eurasia	154	149	105	70.47
vunj1238	Vunjo	Atlantic-Congo	Africa	165	159	112	70.44
beli1260	Belize Kriol English	Indo-European	North America	130	125	88	70.4
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	91	64	70.33
agut1237	Agutaynen	Austronesian	Papunesia	161	155	109	70.32
koon1245	Koonzime	Atlantic-Congo	Africa	133	128	90	70.31
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	165	116	70.3
nort3139	North Levantine Arabic	Afro-Asiatic	Eurasia	163	158	111	70.25
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	84	59	70.24
boro1277	Boro (Ethiopia)	Ta-Ne-Omotic	Africa	176	171	120	70.18
loba1239	Lobala	Atlantic-Congo	Africa	98	97	68	70.1
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	7	70
nzad1234	Nzadi	Atlantic-Congo	Africa	101	100	70	70
abua1245	Abu' Arapesh	Nuclear Torricelli	Papunesia	170	163	114	69.94
arbo1245	Arbore	Afro-Asiatic	Africa	170	163	114	69.94
jjuu1238	Jju	Atlantic-Congo	Africa	85	83	58	69.88
defa1248	Defaka	Ijoid	Africa	75	73	51	69.86
beng1282	Benga	Atlantic-Congo	Africa	132	126	88	69.84
budz1238	Budza	Atlantic-Congo	Africa	166	159	111	69.81
mido1240	Midob	Nubian	Africa	55	53	37	69.81
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	96	67	69.79
hass1238	Hassaniyya	Afro-Asiatic	Africa	142	139	97	69.78
teke1275	Latege	Atlantic-Congo	Africa	180	172	120	69.77
bela1256	Belanda Bor	Nilotic	Africa	76	76	53	69.74
misk1235	Mískito	Misumalpan	North America	162	155	108	69.68
cori1240	Cori	Atlantic-Congo	Africa	139	135	94	69.63
lish1245	Lishanid Noshan	Afro-Asiatic	Eurasia	177	171	119	69.59
