Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	31	26	83.87
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	98	82	83.67
ndom1245	Ndom	Kolopom	Papunesia	74	74	61	82.43
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	73	60	82.19
bimi1240	Bimin	Nuclear Trans New Guinea	Papunesia	172	170	139	81.76
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	64	52	81.25
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	162	131	80.86
poya1241	Poyanáwa	Pano-Tacanan	South America	50	50	40	80
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	143	114	79.72
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	103	82	79.61
limb1266	Limbu	Sino-Tibetan	Eurasia	140	134	106	79.1
foii1241	Foi	East Kutubu	Papunesia	118	110	87	79.09
sout2994	Southern Nambikuára	Nambiquaran	South America	186	176	139	78.98
tulu1258	Tulu	Dravidian	Eurasia	163	157	124	78.98
chic1270	Chickasaw	Muskogean	North America	150	150	118	78.67
gant1244	Gants	Nuclear Trans New Guinea	Papunesia	164	164	129	78.66
tuvi1240	Tuvinian	Turkic	Eurasia	154	144	113	78.47
hrus1242	Hruso		Eurasia	89	83	65	78.31
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	161	126	78.26
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	69	54	78.26
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	87	68	78.16
pano1255	Panobo	Pano-Tacanan	South America	163	159	124	77.99
shol1240	Sholaga	Dravidian	Eurasia	172	168	131	77.98
tang1377	Tangam	Sino-Tibetan	Eurasia	179	168	131	77.98
auye1238	Auye	Nuclear Trans New Guinea	Papunesia	179	177	138	77.97
boru1252	Boruca	Chibchan	North America	117	117	91	77.78
nucl1632	Sentani	Sentanic	Papunesia	143	135	105	77.78
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	152	118	77.63
fait1240	Kulsab	Nuclear Trans New Guinea	Papunesia	126	125	97	77.6
bori1243	Bori-Karko	Sino-Tibetan	Eurasia	152	142	110	77.46
wikm1247	Wik-Mungkan	Pama-Nyungan	Australia	134	133	103	77.44
basa1287	Basay	Austronesian	Papunesia	106	106	82	77.36
daas1238	Daasanach	Afro-Asiatic	Africa	191	181	140	77.35
defa1248	Defaka	Ijoid	Africa	75	75	58	77.33
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	79	61	77.22
muth1236	Muthuvan	Dravidian	Eurasia	143	136	105	77.21
brah1256	Brahui	Dravidian	Eurasia	151	143	110	76.92
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	117	90	76.92
chuv1255	Chuvash	Turkic	Eurasia	193	182	140	76.92
omie1241	Ömie	Koiarian	Papunesia	156	156	120	76.92
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	13	10	76.92
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	155	119	76.77
west2599	West Kewa	Nuclear Trans New Guinea	Papunesia	102	99	76	76.77
mala1463	Malavedan	Dravidian	Eurasia	163	159	122	76.73
uruu1244	Uru	Uru-Chipaya	South America	170	159	122	76.73
moun1252	Mountain Koiali	Koiarian	Papunesia	168	158	121	76.58
ekar1243	Ekari	Nuclear Trans New Guinea	Papunesia	151	145	111	76.55
pura1257	Purari		Papunesia	158	149	114	76.51
oroc1248	Oroch	Tungusic	Eurasia	162	153	117	76.47
aona1235	Ao Naga	Sino-Tibetan	Eurasia	185	174	133	76.44
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	140	107	76.43
siaw1243	Siawi	Amto-Musan	Papunesia	123	123	94	76.42
pawa1255	Pawaia		Papunesia	110	110	84	76.36
meny1245	Menya	Angan	Papunesia	96	93	71	76.34
mill1237	Millcayac	Huarpean	South America	122	122	93	76.23
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	143	109	76.22
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	151	115	76.16
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	130	99	76.15
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	113	86	76.11
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	142	108	76.06
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	121	92	76.03
orok1267	Orokolo	Eleman	Papunesia	181	171	130	76.02
toar1246	Toaripi	Eleman	Papunesia	186	175	133	76
mudu1239	Muduga	Dravidian	Eurasia	161	158	120	75.95
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	137	104	75.91
kama1370	Kamano	Nuclear Trans New Guinea	Papunesia	116	112	85	75.89
kyer1238	Kyerung	Sino-Tibetan	Eurasia	184	174	132	75.86
puri1258	Purik-Sham-Nubra	Sino-Tibetan	Eurasia	189	178	135	75.84
korr1238	Korra Koraga	Dravidian	Eurasia	133	128	97	75.78
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	103	78	75.73
asur1254	Asuri	Austroasiatic	Eurasia	149	140	106	75.71
idum1241	Idu	Sino-Tibetan	Eurasia	151	144	109	75.69
opat1246	Teguima	Uto-Aztecan	North America	120	111	84	75.68
aeky1238	Aekyom	Kamula-Elevala	Papunesia	120	119	90	75.63
cata1286	Catawba	Siouan	North America	125	123	93	75.61
chhi1245	Chintang	Sino-Tibetan	Eurasia	150	143	108	75.52
orok1265	Orok	Tungusic	Eurasia	151	143	108	75.52
kani1286	Kanite	Nuclear Trans New Guinea	Papunesia	149	147	111	75.51
amah1246	Amahuaca	Pano-Tacanan	South America	153	151	114	75.5
khal1275	Khaling	Sino-Tibetan	Eurasia	168	159	120	75.47
galo1242	Galo	Sino-Tibetan	Eurasia	179	171	129	75.44
udih1248	Udihe	Tungusic	Eurasia	194	183	138	75.41
kara1476	Karadjeri	Pama-Nyungan	Australia	67	65	49	75.38
nukn1238	Nukna	Nuclear Trans New Guinea	Papunesia	183	174	131	75.29
naru1238	Narungga	Pama-Nyungan	Australia	106	105	79	75.24
puqu1242	Puquina		South America	118	117	88	75.21
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	129	97	75.19
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	161	121	75.16
sile1255	Sirva	Nuclear Trans New Guinea	Papunesia	157	157	118	75.16
eipo1242	Eipomek	Nuclear Trans New Guinea	Papunesia	184	177	133	75.14
mala1464	Malayalam	Dravidian	Eurasia	192	181	136	75.14
bada1257	Badaga	Dravidian	Eurasia	127	124	93	75
capa1241	Capanahua	Pano-Tacanan	South America	171	164	123	75
gura1251	Gurani	Indo-European	Eurasia	128	128	96	75
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	132	99	75
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	124	93	75
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	80	60	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
nyig1240	Nyigina	Nyulnyulan	Australia	128	120	90	75
tomm1242	Tommo So Dogon	Dogon	Africa	167	156	117	75
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	56	42	75
zays1235	Zayse-Zergulla	Ta-Ne-Omotic	Africa	171	168	126	75
east2516	East Kewa	Nuclear Trans New Guinea	Papunesia	179	175	131	74.86
chan1313	Chang Naga	Sino-Tibetan	Eurasia	170	163	122	74.85
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	159	119	74.84
alse1251	Alsea-Yaquina		North America	149	139	104	74.82
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	131	98	74.81
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	182	136	74.73
haru1245	Haruai	Piawi	Papunesia	178	170	127	74.71
leco1242	Leco		South America	162	154	115	74.68
bond1245	Bondo	Austroasiatic	Eurasia	152	142	106	74.65
rumu1243	Rumu	Turama-Kikori	Papunesia	73	71	53	74.65
chug1252	Duhumbi	Sino-Tibetan	Eurasia	184	173	129	74.57
gamo1243	Gamo	Ta-Ne-Omotic	Africa	183	173	129	74.57
koit1244	Koitabu	Koiarian	Papunesia	168	165	123	74.55
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	55	41	74.55
mehe1243	Mehek	Sepik	Papunesia	165	157	117	74.52
achu1247	Achumawi	Palaihnihan	North America	106	98	73	74.49
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	141	105	74.47
nkor1239	Nkoroo	Ijoid	Africa	54	47	35	74.47
wutu1241	Wutunhua	Sino-Tibetan	Eurasia	195	184	137	74.46
gung1248	Gungabula	Pama-Nyungan	Australia	44	43	32	74.42
kusu1250	Kusunda		Eurasia	173	168	125	74.4
waru1265	Warumungu	Pama-Nyungan	Australia	173	164	122	74.39
agob1244	Agob-Ende-Kawam	Pahoturi	Papunesia	194	183	136	74.32
phom1236	Phom Naga	Sino-Tibetan	Eurasia	158	148	110	74.32
mari1428	Marik	Austronesian	Papunesia	153	144	107	74.31
mono1275	Mono (USA)	Uto-Aztecan	North America	161	159	118	74.21
bash1264	Bashkir	Turkic	Eurasia	161	151	112	74.17
toto1302	Toto	Sino-Tibetan	Eurasia	155	151	112	74.17
gbay1278	Gbayi	Atlantic-Congo	Africa	58	58	43	74.14
turk1304	Turkmen	Turkic	Eurasia	181	170	126	74.12
gale1259	Galela	North Halmahera	Papunesia	143	139	103	74.1
shor1247	Shor	Turkic	Eurasia	175	166	123	74.1
awap1236	Awa (Papua New Guinea)	Nuclear Trans New Guinea	Papunesia	136	135	100	74.07
umbu1258	Umbu-Ungu	Nuclear Trans New Guinea	Papunesia	165	162	120	74.07
agut1237	Agutaynen	Austronesian	Papunesia	161	158	117	74.05
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	158	117	74.05
doro1266	Doromu-Koki	Manubaran	Papunesia	167	158	117	74.05
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	158	117	74.05
amar1274	Amarakaeri	Harakmbut	South America	154	154	114	74.03
nucl1305	Kannada	Dravidian	Eurasia	191	181	134	74.03
tonk1249	Tonkawa		North America	156	154	114	74.03
achu1248	Achuar-Shiwiar	Chicham	South America	183	177	131	74.01
cald1236	Calderón Highland Quichua	Quechuan	South America	155	150	111	74
even1259	Evenki	Tungusic	Eurasia	158	150	111	74
lemb1266	Lembena	Nuclear Trans New Guinea	Papunesia	175	173	128	73.99
west2392	Western Mari	Uralic	Eurasia	153	146	108	73.97
nort2723	Northern Pumi	Sino-Tibetan	Eurasia	177	169	125	73.96
jiba1237	Jiba	Atlantic-Congo	Africa	120	119	88	73.95
dard1243	Dar Daju Daju	Dajuic	Africa	93	92	68	73.91
yaku1245	Sakha	Turkic	Eurasia	190	180	133	73.89
saya1246	Saya	Afro-Asiatic	Africa	121	111	82	73.87
negi1245	Negidal	Tungusic	Eurasia	160	153	113	73.86
rawa1267	Rawa	Nuclear Trans New Guinea	Papunesia	89	88	65	73.86
sauk1252	Ma Manda	Nuclear Trans New Guinea	Papunesia	181	176	130	73.86
yems1235	Yemsa	Ta-Ne-Omotic	Africa	182	172	127	73.84
wash1253	Washo		North America	152	149	110	73.83
alab1237	Alabama	Muskogean	North America	177	168	124	73.81
caml1239	Camling	Sino-Tibetan	Eurasia	170	168	124	73.81
maru1252	Marúbo	Pano-Tacanan	South America	126	126	93	73.81
samo1303	Samo	East Strickland	Papunesia	44	42	31	73.81
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	126	93	73.81
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	145	107	73.79
kana1286	Kanakanavu	Austronesian	Papunesia	147	141	104	73.76
kara1499	Kalamang	West Bomberai	Papunesia	99	99	73	73.74
kesa1244	Kesawai	Nuclear Trans New Guinea	Papunesia	188	179	132	73.74
duru1236	Duruwa	Dravidian	Eurasia	121	118	87	73.73
garo1247	Garo	Sino-Tibetan	Eurasia	164	156	115	73.72
dhim1246	Dhimal	Sino-Tibetan	Eurasia	185	175	129	73.71
chen1255	Chenchu	Dravidian	Eurasia	180	171	126	73.68
koor1239	Koorete	Ta-Ne-Omotic	Africa	175	171	126	73.68
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	114	84	73.68
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	148	109	73.65
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	167	123	73.65
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	148	109	73.65
west2415	Western Tamang	Sino-Tibetan	Eurasia	170	167	123	73.65
east2773	Eastern Newari	Sino-Tibetan	Eurasia	190	182	134	73.63
mila1245	Milang	Sino-Tibetan	Eurasia	193	182	134	73.63
bobo1255	Bobongko	Austronesian	Papunesia	73	72	53	73.61
kwin1241	Kwini	Worrorran	Australia	160	159	117	73.58
ulch1241	Ulch	Tungusic	Eurasia	164	155	114	73.55
cent2131	Central Tarahumara	Uto-Aztecan	North America	178	170	125	73.53
