Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mehi1240	Mehináku	Arawakan	South America	4	3	3	100
tain1254	Taino	Arawakan	North America	4	4	4	100
tusc1257	Tuscarora	Iroquoian	North America	158	155	136	87.74
sene1264	Seneca	Iroquoian	North America	174	171	139	81.29
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	89	70	78.65
cher1273	Cherokee	Iroquoian	North America	184	180	140	77.78
ando1256	Andoque		South America	38	35	27	77.14
wyan1247	Huron-Wyandot	Iroquoian	North America	111	108	83	76.85
suru1262	Suruí	Tupian	South America	18	17	13	76.47
boli1256	Bolinao	Austronesian	Papunesia	60	59	45	76.27
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	165	125	75.76
miam1252	Miami	Algic	North America	120	119	90	75.63
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	131	99	75.57
chil1280	Chilcotin-Nicola	Athabaskan-Eyak-Tlingit	North America	183	180	136	75.56
loup1243	Loup A	Algic	North America	132	129	97	75.19
kala1400	Central Kalapuya	Kalapuyan	North America	139	137	103	75.18
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	36	27	75
maca1259	Macaguán	Guahiboan	South America	49	48	36	75
moha1258	Mohawk	Iroquoian	North America	127	124	93	75
omii1238	Omi	Central Sudanic	Africa	18	16	12	75
sars1236	Sarsi	Athabaskan-Eyak-Tlingit	North America	176	172	129	75
otta1242	Ottawa	Algic	North America	190	186	139	74.73
chey1247	Cheyenne	Algic	North America	139	138	103	74.64
nort2961	Northwestern Ojibwa	Algic	North America	189	184	137	74.46
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	74	55	74.32
mont1268	Montagnais	Algic	North America	134	131	97	74.05
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	50	37	74
chip1241	Chippewa	Algic	North America	171	169	125	73.96
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	188	139	73.94
high1243	Highland Totonac	Totonacan	North America	120	118	87	73.73
nant1250	Nanti	Arawakan	South America	80	76	56	73.68
araw1273	Araweté	Tupian	South America	148	144	106	73.61
tepe1278	Tepecano	Uto-Aztecan	North America	121	120	88	73.33
ines1240	Ineseño	Chumashan	North America	173	168	123	73.21
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	134	98	73.13
plai1258	Plains Cree	Algic	North America	174	171	125	73.1
chim1301	Chimariko		North America	141	137	100	72.99
