Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	75	64	85.33
dara1250	Darai	Indo-European	Eurasia	178	177	150	84.75
cent2126	Central Okinawan	Japonic	Eurasia	153	152	128	84.21
tuvi1240	Tuvinian	Turkic	Eurasia	154	153	128	83.66
mido1240	Midob	Nubian	Africa	55	55	46	83.64
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	171	141	82.46
nara1262	Nara		Africa	132	131	108	82.44
ulch1241	Ulch	Tungusic	Eurasia	164	163	134	82.21
etru1241	Etruscan		Eurasia	130	129	106	82.17
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	56	46	82.14
even1260	Even	Tungusic	Eurasia	141	139	114	82.01
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	175	143	81.71
maga1260	Magahi	Indo-European	Eurasia	136	136	111	81.62
even1259	Evenki	Tungusic	Eurasia	158	157	128	81.53
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	156	127	81.41
nepa1254	Nepali	Indo-European	Eurasia	162	161	131	81.37
kaur1267	Kaurna	Pama-Nyungan	Australia	48	48	39	81.25
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	101	82	81.19
moch1259	Mochica		South America	139	138	112	81.16
bada1257	Badaga	Dravidian	Eurasia	127	126	102	80.95
nyun1247	Nyunga	Pama-Nyungan	Australia	26	26	21	80.77
melo1242	Melo	Ta-Ne-Omotic	Africa	163	161	130	80.75
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	114	92	80.7
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	160	129	80.62
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	144	116	80.56
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	159	128	80.5
konk1267	Konkan Marathi	Indo-European	Eurasia	180	179	144	80.45
turk1304	Turkmen	Turkic	Eurasia	181	179	144	80.45
cald1236	Calderón Highland Quichua	Quechuan	South America	155	153	123	80.39
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	147	118	80.27
raji1240	Raji	Sino-Tibetan	Eurasia	153	152	122	80.26
