Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	6	6	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
tobe1252	Tobelo	North Halmahera	Papunesia	173	139	123	88.49
omii1238	Omi	Central Sudanic	Africa	18	15	13	86.67
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	75	64	85.33
gale1259	Galela	North Halmahera	Papunesia	143	122	100	81.97
taba1263	Tabaru	North Halmahera	Papunesia	176	142	116	81.69
avac1239	Avá-Canoeiro	Tupian	South America	153	131	107	81.68
amar1272	Amara	Austronesian	Papunesia	148	131	106	80.92
elmo1238	El Molo	Afro-Asiatic	Africa	171	144	116	80.56
ndam1251	Ndam	Afro-Asiatic	Africa	41	36	29	80.56
wyan1247	Huron-Wyandot	Iroquoian	North America	111	96	77	80.21
gang1266	Gangte	Sino-Tibetan	Eurasia	184	146	117	80.14
tern1247	Ternate	North Halmahera	Papunesia	190	151	121	80.13
bera1262	Berau Malay	Austronesian	Papunesia	11	10	8	80
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	10	8	80
guri1248	Guriaso		Papunesia	24	20	16	80
tuni1252	Tunica		North America	162	132	105	79.55
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	73	58	79.45
nalo1235	Nalögo	Austronesian	Papunesia	33	29	23	79.31
nort2864	Wemale	Austronesian	Papunesia	76	67	53	79.1
vinm1237	Neve'ei	Austronesian	Papunesia	143	124	98	79.03
gese1240	Geser-Gorom	Austronesian	Papunesia	69	57	45	78.95
kwam1249	Gwama	Koman	Africa	171	141	111	78.72
saka1289	Wanohe	Austronesian	Papunesia	187	150	118	78.67
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	140	110	78.57
chic1270	Chickasaw	Muskogean	North America	150	135	106	78.52
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	148	116	78.38
urni1239	Urningangg	Giimbiyu	Australia	157	133	104	78.2
kren1239	Krenak	Nuclear-Macro-Je	South America	111	96	75	78.12
gaaa1245	Gaa	Atlantic-Congo	Africa	79	73	57	78.08
karb1241	Hills Karbi	Sino-Tibetan	Eurasia	157	123	96	78.05
mele1250	Mele-Fila	Austronesian	Papunesia	115	100	78	78
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	50	39	78
misi1243	Misima-Paneati	Austronesian	Papunesia	144	127	99	77.95
daak1235	Da'a Kaili	Austronesian	Papunesia	123	108	84	77.78
mota1237	Mota	Austronesian	Papunesia	107	90	70	77.78
suru1262	Suruí	Tupian	South America	18	18	14	77.78
wara1292	Samue	Atlantic-Congo	Africa	65	58	45	77.59
damp1237	Dampelas	Austronesian	Papunesia	159	138	107	77.54
asoa1238	Asoa	Central Sudanic	Africa	94	80	62	77.5
gung1248	Gungabula	Pama-Nyungan	Australia	44	40	31	77.5
adan1251	Adang	Timor-Alor-Pantar	Papunesia	184	151	117	77.48
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	62	48	77.42
akun1241	Akuntsu	Tupian	South America	174	146	113	77.4
chil1280	Chilcotin-Nicola	Athabaskan-Eyak-Tlingit	North America	183	146	113	77.4
sene1264	Seneca	Iroquoian	North America	174	146	113	77.4
gaaa1244	Ga	Atlantic-Congo	Africa	133	115	89	77.39
kala1384	Kalanga	Atlantic-Congo	Africa	164	137	106	77.37
hehe1240	Hehe	Atlantic-Congo	Africa	144	119	92	77.31
nyun1247	Nyunga	Pama-Nyungan	Australia	26	22	17	77.27
osam1235	Osamayi	Atlantic-Congo	Africa	105	101	78	77.23
pawn1254	Pawnee	Caddoan	North America	156	136	105	77.21
kaur1271	Kaure-Narau	Kaure-Kosare	Papunesia	60	57	44	77.19
bawm1236	Bawm Chin	Sino-Tibetan	Eurasia	160	127	98	77.17
teun1241	Te'un	Austronesian	Papunesia	53	48	37	77.08
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	109	84	77.06
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	100	77	77
labo1244	Ninde	Austronesian	Papunesia	122	113	87	76.99
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	113	87	76.99
west2600	West Makian	North Halmahera	Papunesia	151	126	97	76.98
guma1254	Gumawana	Austronesian	Papunesia	176	152	117	76.97
alor1247	Alorese	Austronesian	Papunesia	168	143	110	76.92
madi1260	Ma'di	Central Sudanic	Africa	185	147	113	76.87
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	121	93	76.86
moyo1238	Moyon	Sino-Tibetan	Eurasia	167	138	106	76.81
bafi1243	Bafia	Atlantic-Congo	Africa	173	142	109	76.76
baga1272	Baga Sitemu	Atlantic-Congo	Africa	140	129	99	76.74
lika1243	Liko	Atlantic-Congo	Africa	165	129	99	76.74
boro1282	Bororo	Bororoan	South America	184	150	115	76.67
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	30	23	76.67
lamo1244	Lamogai	Austronesian	Papunesia	135	120	92	76.67
suru1261	Suruí Do Pará	Tupian	South America	68	60	46	76.67
waim1251	Waima	Austronesian	Papunesia	186	150	115	76.67
tara1313	Tarao	Sino-Tibetan	Eurasia	166	141	108	76.6
saya1246	Saya	Afro-Asiatic	Africa	121	98	75	76.53
sout2729	Southern Pumi	Sino-Tibetan	Eurasia	186	149	114	76.51
jita1239	Jita	Atlantic-Congo	Africa	75	68	52	76.47
maee1241	Tirax	Austronesian	Papunesia	188	153	117	76.47
wand1267	Wandamen	Austronesian	Papunesia	157	136	104	76.47
port1285	Port Sandwich	Austronesian	Papunesia	174	140	107	76.43
west2548	West Damar	Austronesian	Papunesia	163	140	107	76.43
elip1238	Elip	Atlantic-Congo	Africa	111	106	81	76.42
nyak1260	Nyakyusa-Ngonde	Atlantic-Congo	Africa	153	123	94	76.42
koir1240	Koireng	Sino-Tibetan	Eurasia	155	127	97	76.38
lusi1240	Lusi	Austronesian	Papunesia	144	127	97	76.38
abkh1244	Abkhaz	Abkhaz-Adyge	Eurasia	188	148	113	76.35
apma1240	Apma	Austronesian	Papunesia	194	152	116	76.32
