Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	5	100
tain1254	Taino	Arawakan	North America	4	3	3	100
suru1262	Suruí	Tupian	South America	18	18	17	94.44
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	8	88.89
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	9	8	88.89
omii1238	Omi	Central Sudanic	Africa	18	17	15	88.24
kunz1244	Kunza		South America	72	65	57	87.69
maqu1238	Ye'kwana	Cariban	South America	56	45	38	84.44
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	96	80	83.33
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	138	115	83.33
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	110	91	82.73
natc1249	Natchez		North America	108	89	73	82.02
thad1238	Thado Chin	Sino-Tibetan	Eurasia	184	149	122	81.88
coch1272	Cochimi	Cochimi-Yuman	North America	89	76	62	81.58
para1311	Paraguayan Guaraní	Tupian	South America	54	43	35	81.4
avac1239	Avá-Canoeiro	Tupian	South America	153	122	99	81.15
limb1266	Limbu	Sino-Tibetan	Eurasia	140	111	90	81.08
yukp1241	Yukpa	Cariban	South America	106	95	77	81.05
suru1261	Suruí Do Pará	Tupian	South America	68	61	49	80.33
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	76	61	80.26
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	106	85	80.19
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
mala1522	Malayo	Chibchan	South America	157	129	103	79.84
waim1253	Waimiri-Atroari	Cariban	South America	127	109	87	79.82
gale1259	Galela	North Halmahera	Papunesia	143	118	94	79.66
maru1252	Marúbo	Pano-Tacanan	South America	126	103	82	79.61
wash1253	Washo		North America	152	127	101	79.53
kren1239	Krenak	Nuclear-Macro-Je	South America	111	97	77	79.38
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	82	65	79.27
dizi1235	Dizin	Dizoid	Africa	57	53	42	79.25
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	91	72	79.12
kari1311	Karitiâna	Tupian	South America	160	136	107	78.68
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	131	103	78.63
tama1331	Tama (Chad)	Tamaic	Africa	139	117	92	78.63
gbay1278	Gbayi	Atlantic-Congo	Africa	58	56	44	78.57
cogu1240	Cogui	Chibchan	South America	141	111	87	78.38
caml1239	Camling	Sino-Tibetan	Eurasia	170	138	108	78.26
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	142	111	78.17
gily1242	Amur Nivkh	Nivkh	Eurasia	183	146	114	78.08
pech1241	Pech	Chibchan	North America	144	114	89	78.07
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	135	105	77.78
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	117	91	77.78
poya1241	Poyanáwa	Pano-Tacanan	South America	50	45	35	77.78
siri1273	Sirionó	Tupian	South America	169	135	105	77.78
chak1270	Chak	Sino-Tibetan	Eurasia	188	148	115	77.7
nort2864	Wemale	Austronesian	Papunesia	76	58	45	77.59
nonu1241	Nonuya	Huitotoan	South America	54	49	38	77.55
nkor1239	Nkoroo	Ijoid	Africa	54	40	31	77.5
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	146	113	77.4
capa1241	Capanahua	Pano-Tacanan	South America	171	137	106	77.37
awab1243	Awabakal	Pama-Nyungan	Australia	67	53	41	77.36
kara1476	Karadjeri	Pama-Nyungan	Australia	67	53	41	77.36
tepe1278	Tepecano	Uto-Aztecan	North America	121	106	82	77.36
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	110	85	77.27
lush1249	Mizo	Sino-Tibetan	Eurasia	182	145	112	77.24
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	101	78	77.23
telu1262	Telugu	Dravidian	Eurasia	127	101	78	77.23
haka1240	Haka Chin	Sino-Tibetan	Eurasia	170	140	108	77.14
awet1244	Awetí	Tupian	South America	161	131	101	77.1
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	144	111	77.08
mido1240	Midob	Nubian	Africa	55	48	37	77.08
mbya1239	Mbyá Guaraní	Tupian	South America	161	135	104	77.04
bant1281	Bantawa	Sino-Tibetan	Eurasia	181	139	107	76.98
kaba1278	Kabardian	Abkhaz-Adyge	Eurasia	174	139	107	76.98
kaur1271	Kaure-Narau	Kaure-Kosare	Papunesia	60	52	40	76.92
bamb1269	Bambara	Mande	Africa	104	86	66	76.74
anga1288	Angami Naga	Sino-Tibetan	Eurasia	180	146	112	76.71
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	73	56	76.71
mana1288	Manange	Sino-Tibetan	Eurasia	191	150	115	76.67
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	107	82	76.64
saba1268	Sabanê	Nambiquaran	South America	169	137	105	76.64
gang1266	Gangte	Sino-Tibetan	Eurasia	184	145	111	76.55
dumi1241	Dumi	Sino-Tibetan	Eurasia	166	132	101	76.52
pano1254	Panoan Katukína	Pano-Tacanan	South America	132	115	88	76.52
brah1256	Brahui	Dravidian	Eurasia	151	119	91	76.47
yong1270	Narua	Sino-Tibetan	Eurasia	160	123	94	76.42
akun1241	Akuntsu	Tupian	South America	174	144	110	76.39
waya1269	Wayana	Cariban	South America	178	144	110	76.39
atak1252	Atakapa		North America	149	127	97	76.38
teda1241	Tedaga	Saharan	Africa	160	131	100	76.34
west2418	Western Magar	Sino-Tibetan	Eurasia	195	152	116	76.32
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	135	103	76.3
xokl1240	Xokleng	Nuclear-Macro-Je	South America	150	126	96	76.19
obok1239	Obokuitai	Lakes Plain	Papunesia	157	130	99	76.15
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	134	102	76.12
kork1243	Korku	Austroasiatic	Eurasia	133	113	86	76.11
kala1400	Central Kalapuya	Kalapuyan	North America	139	117	89	76.07
athp1241	Athpariya	Sino-Tibetan	Eurasia	182	146	111	76.03
even1259	Evenki	Tungusic	Eurasia	158	125	95	76
embe1260	Emberá-Catío	Chocoan	South America	164	129	98	75.97
pana1307	Panará	Nuclear-Macro-Je	South America	156	129	98	75.97
susu1250	Susu	Mande	Africa	96	79	60	75.95
kumz1235	Kumzari	Indo-European	Eurasia	171	133	101	75.94
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	116	88	75.86
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	149	113	75.84
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	120	91	75.83
bash1264	Bashkir	Turkic	Eurasia	161	128	97	75.78
esse1238	Esselen		North America	110	99	75	75.76
puma1239	Puma	Sino-Tibetan	Eurasia	172	136	103	75.74
kony1248	Konyak Naga	Sino-Tibetan	Eurasia	175	140	106	75.71
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	140	106	75.71
chol1284	Cholón	Hibito-Cholon	South America	181	144	109	75.69
cupe1243	Cupeño	Uto-Aztecan	North America	48	41	31	75.61
tuvi1240	Tuvinian	Turkic	Eurasia	154	123	93	75.61
cent2126	Central Okinawan	Japonic	Eurasia	153	127	96	75.59
pemo1248	Pemon	Cariban	South America	161	131	99	75.57
tupi1273	Tupinambá	Tupian	South America	163	131	99	75.57
komi1270	Kom (India)	Sino-Tibetan	Eurasia	168	139	105	75.54
tsha1245	Tshangla	Sino-Tibetan	Eurasia	171	139	105	75.54
mada1285	Madak	Austronesian	Papunesia	176	143	108	75.52
nara1262	Nara		Africa	132	106	80	75.47
alya1239	Alyawarr	Pama-Nyungan	Australia	68	57	43	75.44
cent2150	Central Tunebo	Chibchan	South America	159	126	95	75.4
mund1330	Mundurukú	Tupian	South America	161	130	98	75.38
omah1247	Omaha-Ponca	Siouan	North America	81	65	49	75.38
pagu1249	Pagu	North Halmahera	Papunesia	153	130	98	75.38
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	130	98	75.38
bona1250	Bonan	Mongolic-Khitan	Eurasia	171	138	104	75.36
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	138	104	75.36
nort2930	Northeast Kiwai	Kiwaian	Papunesia	173	142	107	75.35
abad1241	Abadi	Austronesian	Papunesia	118	101	76	75.25
mwan1250	Mwan	Mande	Africa	135	105	79	75.24
even1260	Even	Tungusic	Eurasia	141	113	85	75.22
arhu1242	Arhuaco	Chibchan	South America	156	125	94	75.2
lend1245	Lendu	Central Sudanic	Africa	159	129	97	75.19
akab1249	Akabea	Great Andamanese	Eurasia	192	149	112	75.17
arab1267	Arabana	Pama-Nyungan	Australia	62	48	36	75
bamb1262	Bambassi	Blue Nile Mao	Africa	99	80	60	75
ghod1238	Godoberi	Nakh-Daghestanian	Eurasia	165	128	96	75
goro1270	Gorowa	Afro-Asiatic	Africa	13	8	6	75
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	28	21	75
mala1463	Malavedan	Dravidian	Eurasia	163	136	102	75
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	116	87	75
ndom1245	Ndom	Kolopom	Papunesia	74	68	51	75
nort2972	Northern Emberá	Chocoan	South America	167	132	99	75
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	84	63	75
tega1236	Tegali	Rashad	Africa	82	72	54	75
