Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
nzak1247	Nzakara	Atlantic-Congo	Africa	130	118	104	88.14
bara1361	Barambu	Atlantic-Congo	Africa	128	117	103	88.03
mids1243	Mid-Southern Banda	Atlantic-Congo	Africa	123	110	96	87.27
ngal1296	Ngala-Santandrea	Atlantic-Congo	Africa	67	61	52	85.25
zand1248	Zande	Atlantic-Congo	Africa	118	98	83	84.69
gobu1238	Gobu	Atlantic-Congo	Africa	141	120	100	83.33
avok1242	Avokaya	Central Sudanic	Africa	122	89	74	83.15
birr1240	Birri	Central Sudanic	Africa	120	109	90	82.57
golo1234	Golo	Atlantic-Congo	Africa	82	66	54	81.82
kusu1250	Kusunda		Eurasia	173	112	91	81.25
ngam1268	Ngambay	Central Sudanic	Africa	156	117	95	81.2
molo1266	Moloko	Afro-Asiatic	Africa	109	68	55	80.88
ajas1235	Aja (South Sudan)	Kresh-Aja	Africa	130	113	91	80.53
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	46	37	80.43
kamm1249	Kam	Atlantic-Congo	Africa	191	127	102	80.31
geme1244	Geme	Atlantic-Congo	Africa	6	5	4	80
umot1240	Umotína	Bororoan	South America	73	55	44	80
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	114	91	79.82
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	122	97	79.51
hone1235	Hõne	Atlantic-Congo	Africa	177	126	100	79.37
juku1254	Jukun Takum	Atlantic-Congo	Africa	187	126	100	79.37
cakf1236	Cakfem-Mushere-Jibyal	Afro-Asiatic	Africa	173	120	95	79.17
tuml1238	Tumleo	Austronesian	Papunesia	103	72	57	79.17
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	119	94	78.99
jurm1239	Jur Modo	Central Sudanic	Africa	159	123	97	78.86
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	113	89	78.76
gbay1278	Gbayi	Atlantic-Congo	Africa	58	47	37	78.72
mbay1241	Mbay	Central Sudanic	Africa	173	131	103	78.63
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	98	77	78.57
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	126	99	78.57
gbay1288	Kresh-Woro	Kresh-Aja	Africa	134	116	91	78.45
aika1237	Aikanã		South America	90	74	58	78.38
bekw1241	Bekwarra	Atlantic-Congo	Africa	157	105	82	78.1
adon1237	Adonara	Austronesian	Papunesia	165	114	89	78.07
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	114	89	78.07
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	41	32	78.05
ngul1236	Nguluwan	Austronesian	Papunesia	56	41	32	78.05
yako1252	Yakoma	Atlantic-Congo	Africa	143	100	78	78
sioo1240	Sio	Austronesian	Papunesia	175	118	92	77.97
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	104	81	77.88
chek1238	Cheke Holo	Austronesian	Papunesia	167	108	84	77.78
fonn1241	Fon	Atlantic-Congo	Africa	189	126	98	77.78
monn1252	Mon	Austroasiatic	Eurasia	91	63	49	77.78
tata1258	Tataltepec Chatino	Otomanguean	North America	126	90	70	77.78
lugb1240	Lugbara	Central Sudanic	Africa	165	121	94	77.69
kimm1246	Kim	Atlantic-Congo	Africa	129	107	83	77.57
monz1249	Monzombo	Atlantic-Congo	Africa	119	98	76	77.55
kova1243	Kovai	Nuclear Trans New Guinea	Papunesia	88	71	55	77.46
jiba1237	Jiba	Atlantic-Congo	Africa	120	93	72	77.42
kaba1281	Kaba	Central Sudanic	Africa	166	124	96	77.42
mina1276	Mina (Cameroon)	Afro-Asiatic	Africa	185	124	96	77.42
toll1241	Tol	Jicaquean	North America	141	106	82	77.36
kolb1240	Kolbila	Atlantic-Congo	Africa	178	119	92	77.31
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	119	92	77.31
ewee1241	Ewe	Atlantic-Congo	Africa	162	127	98	77.17
nyam1285	Nyam	Afro-Asiatic	Africa	160	122	94	77.05
teda1241	Tedaga	Saharan	Africa	160	113	87	76.99
chir1283	Chiru	Sino-Tibetan	Eurasia	170	117	90	76.92
dera1248	Dera (Nigeria)	Afro-Asiatic	Africa	178	125	96	76.8
kute1248	Kutep	Atlantic-Congo	Africa	163	125	96	76.8
mang1394	Mangbetu	Central Sudanic	Africa	154	112	86	76.79
lewo1244	Lewotobi	Austronesian	Papunesia	189	129	99	76.74
ngeq1245	Kriang-Khlor	Austroasiatic	Eurasia	134	86	66	76.74
bari1286	Bariai	Austronesian	Papunesia	176	116	89	76.72
nort3047	North Giziga	Afro-Asiatic	Africa	176	116	89	76.72
iama1237	Iamalele	Austronesian	Papunesia	107	73	56	76.71
misi1243	Misima-Paneati	Austronesian	Papunesia	144	107	82	76.64
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	102	78	76.47
elem1253	Eleme	Atlantic-Congo	Africa	140	106	81	76.42
bolg1251	Bolgo	Atlantic-Congo	Africa	78	76	58	76.32
mban1263	Mbandja	Atlantic-Congo	Africa	162	118	90	76.27
beli1260	Belize Kriol English	Indo-European	North America	130	101	77	76.24
cani1243	Canichana		South America	50	42	32	76.19
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	84	64	76.19
samb1311	Samba Daka	Atlantic-Congo	Africa	158	109	83	76.15
akei1237	Akei	Austronesian	Papunesia	122	92	70	76.09
bong1285	Bongo	Central Sudanic	Africa	146	117	89	76.07
lend1245	Lendu	Central Sudanic	Africa	159	121	92	76.03
humb1243	Humburi Senni Songhay	Songhay	Africa	167	129	98	75.97
labo1244	Ninde	Austronesian	Papunesia	122	79	60	75.95
mans1260	Mansim	Hatam-Mansim	Papunesia	71	54	41	75.93
lara1260	Larantuka Malay	Austronesian	Papunesia	169	112	85	75.89
anuf1239	Anufo	Atlantic-Congo	Africa	162	116	88	75.86
saki1247	Sakizaya	Austronesian	Papunesia	135	95	72	75.79
lusi1240	Lusi	Austronesian	Papunesia	144	99	75	75.76
idom1241	Idoma	Atlantic-Congo	Africa	144	103	78	75.73
woun1238	Woun Meu	Chocoan	South America	150	111	84	75.68
ramo1244	Ramoaaina	Austronesian	Papunesia	52	41	31	75.61
furu1242	Furu	Central Sudanic	Africa	127	98	74	75.51
moii1235	Moi (Indonesia)	West Bird's Head	Papunesia	125	98	74	75.51
gaaa1245	Gaa	Atlantic-Congo	Africa	79	53	40	75.47
aulu1238	Aulua	Austronesian	Papunesia	160	110	83	75.45
nucl1240	Mumuye	Atlantic-Congo	Africa	170	118	89	75.42
asoa1238	Asoa	Central Sudanic	Africa	94	85	64	75.29
vinm1237	Neve'ei	Austronesian	Papunesia	143	97	73	75.26
muth1236	Muthuvan	Dravidian	Eurasia	143	101	76	75.25
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	105	79	75.24
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	109	82	75.23
litz1237	Naman	Austronesian	Papunesia	185	121	91	75.21
apol1242	Apolista	Arawakan	South America	14	12	9	75
cane1242	Canela-Krahô	Nuclear-Macro-Je	South America	173	124	93	75
homa1239	Homa	Atlantic-Congo	Africa	14	12	9	75
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	100	75	75
kwam1249	Gwama	Koman	Africa	171	116	87	75
mono1273	Mono-Alu	Austronesian	Papunesia	111	80	60	75
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	104	78	75
muyu1244	Muyuw	Austronesian	Papunesia	140	92	69	75
ndom1245	Ndom	Kolopom	Papunesia	74	56	42	75
nort2864	Wemale	Austronesian	Papunesia	76	64	48	75
nzak1246	Nzakambay	Atlantic-Congo	Africa	135	112	84	75
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	108	81	75
sout2782	South Fali	Atlantic-Congo	Africa	177	124	93	75
sout2857	Nahavaq	Austronesian	Papunesia	180	120	90	75
tain1254	Taino	Arawakan	North America	4	4	3	75
west2392	Western Mari	Uralic	Eurasia	153	120	90	75
lote1237	Lote	Austronesian	Papunesia	178	119	89	74.79
logo1259	Logo	Central Sudanic	Africa	172	115	86	74.78
mang1405	Manggarai	Austronesian	Papunesia	168	115	86	74.78
arop1243	Arop-Lokep	Austronesian	Papunesia	161	107	80	74.77
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	111	83	74.77
kima1246	Kimaama	Kolopom	Papunesia	92	67	50	74.63
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	59	44	74.58
samb1305	Samba Leko	Atlantic-Congo	Africa	172	114	85	74.56
mbar1260	Mbara (Chad)	Afro-Asiatic	Africa	157	106	79	74.53
mund1326	Mündü	Atlantic-Congo	Africa	120	94	70	74.47
maee1241	Tirax	Austronesian	Papunesia	188	125	93	74.4
moun1252	Mountain Koiali	Koiarian	Papunesia	168	117	87	74.36
kada1242	Kadar	Dravidian	Eurasia	156	109	81	74.31
jara1266	Jarai	Austronesian	Eurasia	156	105	78	74.29
ango1257	Angosturas Tunebo	Chibchan	South America	136	97	72	74.23
bier1244	Bierebo	Austronesian	Papunesia	186	128	95	74.22
apma1241	Ap Ma	Keram	Papunesia	126	93	69	74.19
embe1262	Emberá-Chamí	Chocoan	South America	159	120	89	74.17
mayo1261	Mayogo	Atlantic-Congo	Africa	168	120	89	74.17
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	58	43	74.14
lach1248	Lachi	Tai-Kadai	Eurasia	167	116	86	74.14
bira1253	Ongota		Africa	163	112	83	74.11
bamb1269	Bambara	Mande	Africa	104	81	60	74.07
koir1240	Koireng	Sino-Tibetan	Eurasia	155	108	80	74.07
matb1237	Matbat	Austronesian	Papunesia	154	108	80	74.07
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	131	97	74.05
maza1304	Mazagway	Afro-Asiatic	Africa	182	127	94	74.02
mpur1239	Mpur		Papunesia	185	123	91	73.98
koya1251	Koya	Dravidian	Eurasia	137	96	71	73.96
baka1274	Baka (South Sudan)	Central Sudanic	Africa	137	119	88	73.95
furr1244	Fur	Furan	Africa	182	119	88	73.95
gebe1237	Gebe	Austronesian	Papunesia	129	92	68	73.91
mapo1242	Mapos Buang	Austronesian	Papunesia	173	115	85	73.91
keda1252	Kedang	Austronesian	Papunesia	162	111	82	73.87
lamo1244	Lamogai	Austronesian	Papunesia	135	88	65	73.86
gola1255	Gola	Atlantic-Congo	Africa	150	107	79	73.83
mamv1243	Mamvu	Central Sudanic	Africa	136	107	79	73.83
pitt1247	Pitta Pitta	Pama-Nyungan	Australia	160	107	79	73.83
hame1242	Hamer-Banna	South Omotic	Africa	173	122	90	73.77
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	99	73	73.74
biri1256	Biri	Pama-Nyungan	Australia	146	95	70	73.68
kens1248	Kensiu	Austroasiatic	Eurasia	164	114	84	73.68
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	57	42	73.68
hote1245	Hote	Austronesian	Papunesia	162	110	81	73.64
lele1267	Lelepa	Austronesian	Papunesia	149	110	81	73.64
nucl1417	Igbo	Atlantic-Congo	Africa	188	129	95	73.64
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	121	89	73.55
labu1248	Labu	Austronesian	Papunesia	154	102	75	73.53
tetu1245	Tetum	Austronesian	Papunesia	87	68	50	73.53
komi1270	Kom (India)	Sino-Tibetan	Eurasia	168	117	86	73.5
sius1254	Siuslaw		North America	165	117	86	73.5
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	113	83	73.45
lule1238	Lule		South America	146	113	83	73.45
kari1306	Kari	Atlantic-Congo	Africa	76	64	47	73.44
mudu1242	Muduapa	Austronesian	Papunesia	186	128	94	73.44
west2396	Western Lawa	Austroasiatic	Eurasia	190	128	94	73.44
kara1499	Kalamang	West Bomberai	Papunesia	99	79	58	73.42
ndog1248	Ndogo	Atlantic-Congo	Africa	177	124	91	73.39
orok1265	Orok	Tungusic	Eurasia	151	109	80	73.39
shol1240	Sholaga	Dravidian	Eurasia	172	116	85	73.28
zaca1242	Zacatepec Chatino	Otomanguean	North America	170	116	85	73.28
waro1242	Waropen	Austronesian	Papunesia	137	101	74	73.27
cent2058	Central Maewo	Austronesian	Papunesia	110	86	63	73.26
raut1239	Raute	Sino-Tibetan	Eurasia	133	86	63	73.26
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	86	63	73.26
bagi1246	Bagirmi	Central Sudanic	Africa	167	127	93	73.23
tong1308	Maniq	Austroasiatic	Eurasia	163	112	82	73.21
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	97	71	73.2
liji1238	Lijili	Atlantic-Congo	Africa	180	123	90	73.17
yulu1243	Yulu-Binga	Central Sudanic	Africa	149	123	90	73.17
keig1242	Keiga	Kadugli-Krongo	Africa	148	108	79	73.15
musg1254	Musgu	Afro-Asiatic	Africa	118	93	68	73.12
jalk1242	Jalkunan	Mande	Africa	172	119	87	73.11
papu1250	Papuan Malay	Austronesian	Papunesia	191	130	95	73.08
