Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	11	11	100
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	5	5	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	3	3	100
bobo1255	Bobongko	Austronesian	Papunesia	73	63	55	87.3
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	115	97	84.35
cani1243	Canichana		South America	50	44	37	84.09
osam1235	Osamayi	Atlantic-Congo	Africa	105	93	78	83.87
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	124	104	83.87
tomb1244	Tombonuo	Austronesian	Papunesia	136	121	101	83.47
isna1241	Isnag	Austronesian	Papunesia	163	133	111	83.46
east2332	Eastern Bru	Austroasiatic	Eurasia	134	102	85	83.33
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	48	40	83.33
sira1267	Sirayaic	Austronesian	Papunesia	177	132	110	83.33
lund1271	Lundayeh	Austronesian	Papunesia	141	127	105	82.68
maro1244	Marovo	Austronesian	Papunesia	84	75	62	82.67
basa1287	Basay	Austronesian	Papunesia	106	85	70	82.35
rung1259	Rungus	Austronesian	Papunesia	137	124	102	82.26
safw1238	Safwa	Atlantic-Congo	Africa	48	45	37	82.22
surs1246	Sursurunga	Austronesian	Papunesia	159	123	101	82.11
kava1241	Kavalan	Austronesian	Papunesia	148	111	91	81.98
mans1260	Mansim	Hatam-Mansim	Papunesia	71	61	50	81.97
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	83	68	81.93
gada1258	Ga'dang	Austronesian	Papunesia	70	55	45	81.82
chra1242	Chrau	Austroasiatic	Eurasia	166	126	103	81.75
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	125	102	81.6
east2485	Eastern Penan	Austronesian	Papunesia	147	130	106	81.54
lotu1250	Lotud	Austronesian	Papunesia	132	119	97	81.51
reng1252	Rengao	Austroasiatic	Eurasia	172	135	110	81.48
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	70	57	81.43
iran1262	Iranun	Austronesian	Papunesia	138	122	99	81.15
misi1243	Misima-Paneati	Austronesian	Papunesia	144	127	103	81.1
remo1247	Hatang Kayi	Austronesian	Papunesia	135	116	94	81.03
phon1246	Phong-Kniang	Austroasiatic	Eurasia	74	63	51	80.95
kweg1241	Kwegu	Surmic	Africa	162	131	106	80.92
keri1250	Kerinci	Austronesian	Papunesia	127	110	89	80.91
biha1246	Bih	Austronesian	Eurasia	182	136	110	80.88
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	115	93	80.87
ughe1237	Ughele	Austronesian	Papunesia	182	141	114	80.85
baki1244	Baki	Austronesian	Papunesia	152	125	101	80.8
tega1236	Tegali	Rashad	Africa	82	78	63	80.77
kara1499	Kalamang	West Bomberai	Papunesia	99	88	71	80.68
cent2084	Central Cagayan Agta	Austronesian	Papunesia	174	139	112	80.58
mara1404	Maranao	Austronesian	Papunesia	128	108	87	80.56
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	112	90	80.36
yinc1238	Yinchia	Austroasiatic	Eurasia	65	56	45	80.36
timu1262	Timugon Murut	Austronesian	Papunesia	153	122	98	80.33
atam1240	Ata Manobo	Austronesian	Papunesia	160	127	102	80.31
wotu1240	Wotu	Austronesian	Papunesia	180	142	114	80.28
kana1286	Kanakanavu	Austronesian	Papunesia	147	116	93	80.17
waim1252	Waima'a	Austronesian	Papunesia	144	121	97	80.17
iban1264	Iban	Austronesian	Papunesia	188	146	117	80.14
sema1265	Semaq Beri	Austroasiatic	Eurasia	181	141	113	80.14
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	20	16	80
cayu1262	Cayubaba		South America	131	119	95	79.83
lauu1247	Lau	Austronesian	Papunesia	141	114	91	79.82
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	114	91	79.82
lala1268	Lala	Austronesian	Papunesia	187	143	114	79.72
naro1251	Narom	Austronesian	Papunesia	132	118	94	79.66
iwal1237	Iwal	Austronesian	Papunesia	134	103	82	79.61
alya1239	Alyawarr	Pama-Nyungan	Australia	68	49	39	79.59
mota1237	Mota	Austronesian	Papunesia	107	98	78	79.59
kupa1239	Kupang Malay	Austronesian	Papunesia	168	137	109	79.56
bata1289	Batak Toba	Austronesian	Papunesia	168	132	105	79.55
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	83	66	79.52
simb1256	Simbo	Austronesian	Papunesia	95	83	66	79.52
bong1289	Bonggi	Austronesian	Papunesia	150	117	93	79.49
haro1237	Haroi	Austronesian	Eurasia	95	78	62	79.49
huba1236	Huba	Afro-Asiatic	Africa	151	131	104	79.39
bala1311	Balangingi	Austronesian	Papunesia	153	116	92	79.31
woli1241	Wolio	Austronesian	Papunesia	182	145	115	79.31
agut1237	Agutaynen	Austronesian	Papunesia	161	130	103	79.23
nisg1240	Nisga'a	Tsimshian	North America	162	125	99	79.2
sgaw1245	S'gaw Karen	Sino-Tibetan	Eurasia	161	120	95	79.17
mina1268	Minangkabau	Austronesian	Papunesia	164	134	106	79.1
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	110	87	79.09
mera1242	Meramera	Austronesian	Papunesia	54	43	34	79.07
sara1327	Sarangani Manobo	Austronesian	Papunesia	130	100	79	79
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	119	94	78.99
tang1347	Movono	Austronesian	Papunesia	159	133	105	78.95
west2650	Western Cham	Austronesian	Eurasia	151	114	90	78.95
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	147	116	78.91
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	90	71	78.89
east2690	Eastern Egyptian Bedawi Arabic	Afro-Asiatic	Eurasia	147	122	96	78.69
seda1262	Sedang	Austroasiatic	Eurasia	178	136	107	78.68
ghar1239	Ghari	Austronesian	Papunesia	151	131	103	78.63
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	117	92	78.63
tiru1241	Tiruray	Austronesian	Papunesia	145	117	92	78.63
alba1269	Inland-Buhi-Daraga Bikol	Austronesian	Papunesia	128	98	77	78.57
blan1242	Blang	Austroasiatic	Eurasia	159	126	99	78.57
nort2877	Northern Kankanay	Austronesian	Papunesia	149	126	99	78.57
west2560	West Coast Bajau	Austronesian	Papunesia	179	140	110	78.57
boto1242	Botolan Sambal	Austronesian	Papunesia	175	135	106	78.52
bara1370	Baram Kayan	Austronesian	Papunesia	143	121	95	78.51
ling1265	Neverver	Austronesian	Papunesia	157	121	95	78.51
reja1241	Rejang Kayan	Austronesian	Papunesia	140	107	84	78.5
teng1272	Tengger	Austronesian	Papunesia	121	107	84	78.5
hili1240	Hiligaynon	Austronesian	Papunesia	77	65	51	78.46
musg1254	Musgu	Afro-Asiatic	Africa	118	102	80	78.43
sapu1248	Sapuan	Austroasiatic	Eurasia	152	125	98	78.4
