Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
goro1270	Gorowa	Afro-Asiatic	Africa	13	2	2	100
mehi1240	Mehináku	Arawakan	South America	4	1	1	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	3	3	100
para1311	Paraguayan Guaraní	Tupian	South America	54	24	22	91.67
nort2954	Northern Paiute	Uto-Aztecan	North America	184	41	37	90.24
coma1245	Comanche	Uto-Aztecan	North America	182	39	35	89.74
nyaw1247	Nyawaygi	Pama-Nyungan	Australia	93	25	22	88
shos1248	Shoshoni	Uto-Aztecan	North America	192	41	36	87.8
cent1972	Central Kurdish	Indo-European	Eurasia	15	8	7	87.5
gbay1278	Gbayi	Atlantic-Congo	Africa	58	16	14	87.5
wang1291	Ngiyambaa	Pama-Nyungan	Australia	169	36	31	86.11
wath1238	Wathawurrung	Pama-Nyungan	Australia	55	27	23	85.19
chac1249	Cha'palaa	Barbacoan	South America	91	20	17	85
sana1297	San Andres Creole English	Indo-European	North America	168	33	28	84.85
onge1236	Önge	Jarawa-Onge	Eurasia	46	13	11	84.62
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	19	16	84.21
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	31	26	83.87
mans1262	Mansaka	Austronesian	Papunesia	127	31	26	83.87
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	31	26	83.87
wira1265	Wirangu	Pama-Nyungan	Australia	66	31	26	83.87
dizi1235	Dizin	Dizoid	Africa	57	12	10	83.33
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	6	5	83.33
samo1303	Samo	East Strickland	Papunesia	44	12	10	83.33
suru1261	Suruí Do Pará	Tupian	South America	68	12	10	83.33
torr1261	Torres Strait-Lockhart River Creole	Indo-European	Australia	190	41	34	82.93
bula1255	Bularnu	Pama-Nyungan	Australia	114	29	24	82.76
kumb1268	Kumbainggar	Pama-Nyungan	Australia	192	40	33	82.5
inga1252	Colombian Inga	Quechuan	South America	69	34	28	82.35
kapi1249	Kapingamarangi	Austronesian	Papunesia	72	17	14	82.35
toda1252	Toda	Dravidian	Eurasia	139	34	28	82.35
tani1257	Tanimuca-Retuarã	Tucanoan	South America	69	28	23	82.14
mono1275	Mono (USA)	Uto-Aztecan	North America	161	39	32	82.05
cupe1243	Cupeño	Uto-Aztecan	North America	48	33	27	81.82
defa1248	Defaka	Ijoid	Africa	75	22	18	81.82
guri1248	Guriaso		Papunesia	24	11	9	81.82
kaur1267	Kaurna	Pama-Nyungan	Australia	48	22	18	81.82
teiw1235	Teiwa	Timor-Alor-Pantar	Papunesia	32	11	9	81.82
zapa1253	Záparo	Zaparoan	South America	144	33	27	81.82
guru1261	Gurung	Sino-Tibetan	Eurasia	174	38	31	81.58
samb1305	Samba Leko	Atlantic-Congo	Africa	172	38	31	81.58
etru1241	Etruscan		Eurasia	130	32	26	81.25
kara1487	Karao	Austronesian	Papunesia	160	37	30	81.08
kunj1245	Kunjen	Pama-Nyungan	Australia	163	37	30	81.08
anfi1235	Anfillo	Ta-Ne-Omotic	Africa	108	31	25	80.65
bada1257	Badaga	Dravidian	Eurasia	127	31	25	80.65
dyir1250	Dyirbal	Pama-Nyungan	Australia	78	31	25	80.65
peng1244	Pengo	Dravidian	Eurasia	171	36	29	80.56
anuu1241	Anu-Hkongso	Sino-Tibetan	Eurasia	190	41	33	80.49
daww1239	Dâw	Naduhup	South America	89	35	28	80
kada1242	Kadar	Dravidian	Eurasia	156	35	28	80
male1297	Maléku Jaíka	Chibchan	North America	188	40	32	80
nade1244	Nadëb	Naduhup	South America	64	30	24	80
rong1264	Rongpo	Sino-Tibetan	Eurasia	185	40	32	80
suru1262	Suruí	Tupian	South America	18	10	8	80
mait1250	Maithili	Indo-European	Eurasia	180	39	31	79.49
nezp1238	Nez Perce	Sahaptian	North America	176	39	31	79.49
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	34	27	79.41
ying1247	Yinggarda	Pama-Nyungan	Australia	65	34	27	79.41
mari1414	Maria (India)	Dravidian	Eurasia	119	29	23	79.31
bisu1244	Bisu	Sino-Tibetan	Eurasia	187	38	30	78.95
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	19	15	78.95
dadi1250	Dadibi	Teberan	Papunesia	164	38	30	78.95
logo1259	Logo	Central Sudanic	Africa	172	38	30	78.95
mayk1239	Maykulan	Pama-Nyungan	Australia	152	38	30	78.95
guam1248	Guambiano	Barbacoan	South America	127	33	26	78.79
phom1236	Phom Naga	Sino-Tibetan	Eurasia	158	33	26	78.79
soni1259	Soninke	Mande	Africa	127	33	26	78.79
foii1241	Foi	East Kutubu	Papunesia	118	28	22	78.57
nkor1239	Nkoroo	Ijoid	Africa	54	14	11	78.57
walm1241	Walmajarri	Pama-Nyungan	Australia	57	28	22	78.57
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	28	22	78.57
apin1244	Apinayé	Nuclear-Macro-Je	South America	181	37	29	78.38
chan1313	Chang Naga	Sino-Tibetan	Eurasia	170	37	29	78.38
char1269	Chara	Ta-Ne-Omotic	Africa	149	37	29	78.38
piji1239	Pijin	Indo-European	Papunesia	154	37	29	78.38
toto1302	Toto	Sino-Tibetan	Eurasia	155	37	29	78.38
gung1248	Gungabula	Pama-Nyungan	Australia	44	23	18	78.26
kima1244	Kimaragang	Austronesian	Papunesia	90	23	18	78.26
maca1259	Macaguán	Guahiboan	South America	49	23	18	78.26
atay1247	Atayal	Austronesian	Papunesia	129	32	25	78.12
beli1260	Belize Kriol English	Indo-European	North America	130	32	25	78.12
sini1242	Sininkere	Mande	Africa	125	32	25	78.12
daai1236	Daai Chin	Sino-Tibetan	Eurasia	183	41	32	78.05
khal1275	Khaling	Sino-Tibetan	Eurasia	168	36	28	77.78
kima1246	Kimaama	Kolopom	Papunesia	92	27	21	77.78
koka1244	Kokata	Pama-Nyungan	Australia	143	36	28	77.78
marg1253	Margany	Pama-Nyungan	Australia	144	36	28	77.78
opat1246	Teguima	Uto-Aztecan	North America	120	27	21	77.78
sile1255	Sirva	Nuclear Trans New Guinea	Papunesia	157	36	28	77.78
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	27	21	77.78
akha1245	Akha	Sino-Tibetan	Eurasia	159	40	31	77.5
anga1288	Angami Naga	Sino-Tibetan	Eurasia	180	40	31	77.5
khez1235	Khezha Naga	Sino-Tibetan	Eurasia	172	40	31	77.5
kile1243	Kilen	Tungusic	Eurasia	188	40	31	77.5
savo1255	Savosavo		Papunesia	185	40	31	77.5
alya1239	Alyawarr	Pama-Nyungan	Australia	68	31	24	77.42
naxi1245	Naxi	Sino-Tibetan	Eurasia	132	31	24	77.42
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	31	24	77.42
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	31	24	77.42
paez1247	Páez		South America	45	22	17	77.27
eude1234	Eudeve	Uto-Aztecan	North America	153	35	27	77.14
jama1262	Jamaican Creole English	Indo-European	North America	157	35	27	77.14
sanu1240	Sanumá	Yanomamic	South America	150	35	27	77.14
tama1331	Tama (Chad)	Tamaic	Africa	139	35	27	77.14
tond1249	Tondi Songway Kiini	Songhay	Africa	172	35	27	77.14
west2441	Western Arrarnta	Pama-Nyungan	Australia	159	35	27	77.14
dura1244	Dura	Sino-Tibetan	Eurasia	171	39	30	76.92
fuyu1242	Fuyug	Goilalan	Papunesia	180	39	30	76.92
kwar1239	Kwara'ae	Austronesian	Papunesia	186	39	30	76.92
lahu1253	Lahu	Sino-Tibetan	Eurasia	175	39	30	76.92
nalc1240	Nalca	Nuclear Trans New Guinea	Papunesia	108	26	20	76.92
nara1262	Nara		Africa	132	26	20	76.92
poya1241	Poyanáwa	Pano-Tacanan	South America	50	13	10	76.92
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	39	30	76.92
tule1245	Tule-Kaweah Yokuts	Yokutsan	North America	172	39	30	76.92
tung1290	Tungag	Austronesian	Papunesia	178	39	30	76.92
turk1304	Turkmen	Turkic	Eurasia	181	39	30	76.92
wiru1244	Wiru		Papunesia	180	39	30	76.92
yaqu1251	Yaqui	Uto-Aztecan	North America	162	39	30	76.92
yare1248	Yareba	Yareban	Papunesia	159	39	30	76.92
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	30	23	76.67
maga1260	Magahi	Indo-European	Eurasia	136	30	23	76.67
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	30	23	76.67
arig1246	Arigidi	Atlantic-Congo	Africa	142	34	26	76.47
cent2090	Central Tagbanwa	Austronesian	Papunesia	166	34	26	76.47
duru1236	Duruwa	Dravidian	Eurasia	121	34	26	76.47
emae1237	Emae	Austronesian	Papunesia	156	34	26	76.47
gata1239	Gata'	Austroasiatic	Eurasia	156	34	26	76.47
humb1243	Humburi Senni Songhay	Songhay	Africa	167	34	26	76.47
mill1237	Millcayac	Huarpean	South America	122	34	26	76.47
nica1252	Nicaragua Creole English	Indo-European	North America	157	34	26	76.47
pano1254	Panoan Katukína	Pano-Tacanan	South America	132	34	26	76.47
chac1251	Chácobo	Pano-Tacanan	South America	176	38	29	76.32
chen1255	Chenchu	Dravidian	Eurasia	180	38	29	76.32
coos1249	Hanis	Coosan	North America	176	38	29	76.32
garo1247	Garo	Sino-Tibetan	Eurasia	164	38	29	76.32
gogo1265	Gogodala	Suki-Gogodala	Papunesia	166	38	29	76.32
nort2723	Northern Pumi	Sino-Tibetan	Eurasia	177	38	29	76.32
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	21	16	76.19
naru1238	Narungga	Pama-Nyungan	Australia	106	25	19	76
tawa1275	Tawala	Austronesian	Papunesia	96	25	19	76
yind1248	Yindjilandji	Pama-Nyungan	Australia	75	25	19	76
cofa1242	Cofán		South America	137	33	25	75.76
dier1241	Dieri	Pama-Nyungan	Australia	66	33	25	75.76
hier1240	Hieroglyphic Luwian	Indo-European	Eurasia	142	33	25	75.76
limo1249	Limonese Creole	Indo-European	North America	143	33	25	75.76
para1302	Para Naga	Sino-Tibetan	Eurasia	157	33	25	75.76
tuvi1240	Tuvinian	Turkic	Eurasia	154	33	25	75.76
