Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	4	4	100
geme1244	Geme	Atlantic-Congo	Africa	6	5	5	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	3	3	100
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	8	8	100
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	13	12	92.31
mund1326	Mündü	Atlantic-Congo	Africa	120	26	24	92.31
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	22	20	90.91
mala1479	Colloquial Malay	Austronesian	Eurasia	153	45	40	88.89
benc1235	Bench	Ta-Ne-Omotic	Africa	82	26	23	88.46
mama1275	Mamanwa	Austronesian	Papunesia	149	32	28	87.5
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	16	14	87.5
kala1388	Kalagan	Austronesian	Papunesia	150	37	32	86.49
keri1250	Kerinci	Austronesian	Papunesia	127	37	32	86.49
phon1246	Phong-Kniang	Austroasiatic	Eurasia	74	22	19	86.36
kara1499	Kalamang	West Bomberai	Papunesia	99	28	24	85.71
koon1245	Koonzime	Atlantic-Congo	Africa	133	28	24	85.71
sout2826	Southern Grebo	Kru	Africa	85	27	23	85.19
yinc1238	Yinchia	Austroasiatic	Eurasia	65	20	17	85
west2417	Western Muya	Sino-Tibetan	Eurasia	112	33	28	84.85
west2557	Western Subanon	Austronesian	Papunesia	175	46	39	84.78
rend1243	Rendille	Afro-Asiatic	Africa	44	13	11	84.62
yasa1242	Yasa	Atlantic-Congo	Africa	101	26	22	84.62
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	32	27	84.38
cent2090	Central Tagbanwa	Austronesian	Papunesia	166	44	37	84.09
basa1282	Basa (Nigeria)	Atlantic-Congo	Africa	115	24	20	83.33
bekw1242	Bekwil	Atlantic-Congo	Africa	100	24	20	83.33
huas1242	Huastec	Mayan	North America	176	42	35	83.33
noma1260	Nomaande	Atlantic-Congo	Africa	118	42	35	83.33
nort2994	Northern Roglai	Austronesian	Eurasia	90	24	20	83.33
romb1245	Romblomanon	Austronesian	Papunesia	155	36	30	83.33
suru1261	Suruí Do Pará	Tupian	South America	68	12	10	83.33
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	12	10	83.33
gilb1244	Gilbertese	Austronesian	Papunesia	171	47	39	82.98
nawu1242	Nawuri	Atlantic-Congo	Africa	182	47	39	82.98
east2485	Eastern Penan	Austronesian	Papunesia	147	41	34	82.93
bobo1255	Bobongko	Austronesian	Papunesia	73	23	19	82.61
iban1264	Iban	Austronesian	Papunesia	188	46	38	82.61
dura1244	Dura	Sino-Tibetan	Eurasia	171	40	33	82.5
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	40	33	82.5
hyam1245	Hyam	Atlantic-Congo	Africa	93	34	28	82.35
amdo1237	Amdo Tibetan	Sino-Tibetan	Eurasia	177	45	37	82.22
komc1235	Kom (Cameroon)	Atlantic-Congo	Africa	158	45	37	82.22
siri1274	Siriano	Tucanoan	South America	122	28	23	82.14
bawm1236	Bawm Chin	Sino-Tibetan	Eurasia	160	39	32	82.05
miga1249	Migaama	Afro-Asiatic	Africa	104	22	18	81.82
moba1244	Moba	Atlantic-Congo	Africa	185	44	36	81.82
mban1263	Mbandja	Atlantic-Congo	Africa	162	38	31	81.58
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	38	31	81.58
zhab1238	Zhaba	Sino-Tibetan	Eurasia	146	38	31	81.58
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	16	13	81.25
mara1404	Maranao	Austronesian	Papunesia	128	32	26	81.25
psik1239	Psikye	Afro-Asiatic	Africa	154	37	30	81.08
reja1241	Rejang Kayan	Austronesian	Papunesia	140	37	30	81.08
sira1267	Sirayaic	Austronesian	Papunesia	177	37	30	81.08
amas1236	Ama (Sudan)	Nyimang	Africa	166	42	34	80.95
yong1270	Narua	Sino-Tibetan	Eurasia	160	42	34	80.95
wudi1238	Wuding-Luquan Yi	Sino-Tibetan	Eurasia	164	47	38	80.85
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	26	21	80.77
jede1239	Jedek	Austroasiatic	Eurasia	112	31	25	80.65
ncan1245	Ncane-Mungong	Atlantic-Congo	Africa	131	31	25	80.65
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	31	25	80.65
atay1247	Atayal	Austronesian	Papunesia	129	36	29	80.56
libi1244	Libinza	Atlantic-Congo	Africa	134	36	29	80.56
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	36	29	80.56
sara1327	Sarangani Manobo	Austronesian	Papunesia	130	36	29	80.56
cent2126	Central Okinawan	Japonic	Eurasia	153	41	33	80.49
west2386	Western Panjabi	Indo-European	Eurasia	150	41	33	80.49
west2560	West Coast Bajau	Austronesian	Papunesia	179	46	37	80.43
bera1262	Berau Malay	Austronesian	Papunesia	11	5	4	80
bolg1251	Bolgo	Atlantic-Congo	Africa	78	25	20	80
cent2004	Central Bai	Sino-Tibetan	Eurasia	162	35	28	80
haro1237	Haroi	Austronesian	Eurasia	95	30	24	80
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	15	12	80
sout2730	Southern Bai	Sino-Tibetan	Eurasia	161	35	28	80
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	45	36	80
daai1236	Daai Chin	Sino-Tibetan	Eurasia	183	44	35	79.55
khez1235	Khezha Naga	Sino-Tibetan	Eurasia	172	44	35	79.55
malg1251	Malgwa	Afro-Asiatic	Africa	171	44	35	79.55
ukra1253	Ukrainian	Indo-European	Eurasia	171	44	35	79.55
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	44	35	79.55
aghe1239	Aghem	Atlantic-Congo	Africa	180	39	31	79.49
keme1240	Kemezung	Atlantic-Congo	Africa	135	39	31	79.49
tula1252	Tula	Atlantic-Congo	Africa	167	39	31	79.49
bong1284	Bongili	Atlantic-Congo	Africa	102	29	23	79.31
osam1235	Osamayi	Atlantic-Congo	Africa	105	29	23	79.31
basa1287	Basay	Austronesian	Papunesia	106	24	19	79.17
bouy1240	Bouyei	Tai-Kadai	Eurasia	95	24	19	79.17
cakf1236	Cakfem-Mushere-Jibyal	Afro-Asiatic	Africa	173	43	34	79.07
guru1261	Gurung	Sino-Tibetan	Eurasia	174	43	34	79.07
maka1304	Makaa	Atlantic-Congo	Africa	159	43	34	79.07
mara1382	Mara Chin	Sino-Tibetan	Eurasia	160	43	34	79.07
newa1246	Kathmandu Valley Newari	Sino-Tibetan	Eurasia	179	43	34	79.07
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	43	34	79.07
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	43	34	79.07
chek1238	Cheke Holo	Austronesian	Papunesia	167	38	30	78.95
hrus1242	Hruso		Eurasia	89	38	30	78.95
tara1313	Tarao	Sino-Tibetan	Eurasia	166	38	30	78.95
arig1246	Arigidi	Atlantic-Congo	Africa	142	33	26	78.79
iray1237	Iraya	Austronesian	Papunesia	113	33	26	78.79
latv1249	Latvian	Indo-European	Eurasia	184	47	37	78.72
mala1464	Malayalam	Dravidian	Eurasia	192	47	37	78.72
cane1242	Canela-Krahô	Nuclear-Macro-Je	South America	173	42	33	78.57
gbay1278	Gbayi	Atlantic-Congo	Africa	58	14	11	78.57
kaur1267	Kaurna	Pama-Nyungan	Australia	48	14	11	78.57
labe1239	Label	Austronesian	Papunesia	70	28	22	78.57
samo1303	Samo	East Strickland	Papunesia	44	14	11	78.57
bata1285	Batanga	Atlantic-Congo	Africa	113	37	29	78.38
sgaw1245	S'gaw Karen	Sino-Tibetan	Eurasia	161	37	29	78.38
tang1373	Tangwang	Sino-Tibetan	Eurasia	150	37	29	78.38
atam1239	Atampaya	Pama-Nyungan	Australia	87	23	18	78.26
bauz1241	Bauzi	Geelvink Bay	Papunesia	93	23	18	78.26
cube1242	Cubeo	Tucanoan	South America	191	46	36	78.26
geba1237	Geba Karen	Sino-Tibetan	Eurasia	193	46	36	78.26
kens1248	Kensiu	Austroasiatic	Eurasia	164	46	36	78.26
kima1246	Kimaama	Kolopom	Papunesia	92	23	18	78.26
sani1269	Sani	Sino-Tibetan	Eurasia	168	46	36	78.26
bong1289	Bonggi	Austronesian	Papunesia	150	32	25	78.12
