Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
omii1238	Omi	Central Sudanic	Africa	18	11	10	90.91
suru1262	Suruí	Tupian	South America	18	15	13	86.67
yukp1241	Yukpa	Cariban	South America	106	82	71	86.59
ndom1245	Ndom	Kolopom	Papunesia	74	59	51	86.44
shua1257	Shuar	Chicham	South America	147	114	96	84.21
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	75	63	84
yawa1260	Yawanawa	Pano-Tacanan	South America	148	110	91	82.73
cogu1240	Cogui	Chibchan	South America	141	121	100	82.64
kunz1244	Kunza		South America	72	63	52	82.54
poya1241	Poyanáwa	Pano-Tacanan	South America	50	40	33	82.5
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	95	78	82.11
kara1499	Kalamang	West Bomberai	Papunesia	99	78	64	82.05
nort2952	Northeast Maidu	Maiduan	North America	161	122	100	81.97
cree1270	Creek	Muskogean	North America	185	137	112	81.75
embe1260	Emberá-Catío	Chocoan	South America	164	137	112	81.75
mala1522	Malayo	Chibchan	South America	157	137	112	81.75
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	115	94	81.74
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	60	49	81.67
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	86	70	81.4
umot1240	Umotína	Bororoan	South America	73	59	48	81.36
achu1247	Achumawi	Palaihnihan	North America	106	84	68	80.95
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	63	51	80.95
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	131	106	80.92
thur1254	Thurawal	Pama-Nyungan	Australia	86	73	59	80.82
atak1252	Atakapa		North America	149	118	95	80.51
arhu1242	Arhuaco	Chibchan	South America	156	133	107	80.45
misk1235	Mískito	Misumalpan	North America	162	133	107	80.45
chhi1245	Chintang	Sino-Tibetan	Eurasia	150	127	102	80.31
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	86	69	80.23
kark1258	Karkar-Yuri	Pauwasi	Papunesia	132	96	77	80.21
puqu1242	Puquina		South America	118	96	77	80.21
maku1277	Maku'a	Austronesian	Papunesia	29	20	16	80
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	110	88	80
nort2972	Northern Emberá	Chocoan	South America	167	138	110	79.71
amar1274	Amarakaeri	Harakmbut	South America	154	113	90	79.65
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	132	105	79.55
agua1253	Aguaruna	Chicham	South America	170	127	101	79.53
chib1270	Chibcha	Chibchan	South America	148	127	101	79.53
hrus1242	Hruso		Eurasia	89	78	62	79.49
boru1252	Boruca	Chibchan	North America	117	102	81	79.41
nort2951	Northwest Maidu	Maiduan	North America	142	116	92	79.31
suru1261	Suruí Do Pará	Tupian	South America	68	53	42	79.25
huar1255	Huarijio	Uto-Aztecan	North America	181	139	110	79.14
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	91	72	79.12
guan1266	Khroskyabs	Sino-Tibetan	Eurasia	191	143	113	79.02
