Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
apol1242	Apolista	Arawakan	South America	14	3	3	100
cuaa1241	Cua	Austroasiatic	Eurasia	8	2	2	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	4	4	100
mehi1240	Mehináku	Arawakan	South America	4	1	1	100
sara1331	Saraveca	Arawakan	South America	19	3	3	100
tain1254	Taino	Arawakan	North America	4	1	1	100
yavi1244	Yavitero-Pareni	Arawakan	South America	117	54	47	87.04
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	22	19	86.36
iama1237	Iamalele	Austronesian	Papunesia	107	29	25	86.21
mmen1238	Mmen	Atlantic-Congo	Africa	10	7	6	85.71
acha1250	Achagua	Arawakan	South America	124	55	47	85.45
ofay1240	Ofayé	Nuclear-Macro-Je	South America	160	47	40	85.11
baha1260	Bahamas Creole English	Indo-European	North America	103	33	28	84.85
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	19	16	84.21
waur1244	Waurá	Arawakan	South America	86	25	21	84
suru1261	Suruí Do Pará	Tupian	South America	68	18	15	83.33
teiw1235	Teiwa	Timor-Alor-Pantar	Papunesia	32	6	5	83.33
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	36	30	83.33
tuni1252	Tunica		North America	162	47	39	82.98
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	35	29	82.86
jahh1242	Jah Hut	Austroasiatic	Eurasia	146	46	38	82.61
moii1235	Moi (Indonesia)	West Bird's Head	Papunesia	125	40	33	82.5
kren1239	Krenak	Nuclear-Macro-Je	South America	111	34	28	82.35
wapi1253	Wapishana	Arawakan	South America	86	28	23	82.14
cupe1243	Cupeño	Uto-Aztecan	North America	48	33	27	81.82
land1256	Landoma	Atlantic-Congo	Africa	137	43	35	81.4
curr1243	Curripaco	Arawakan	South America	101	32	26	81.25
guar1293	Baniva de Maroa	Arawakan	South America	101	32	26	81.25
gung1248	Gungabula	Pama-Nyungan	Australia	44	32	26	81.25
moco1246	Mocoví	Guaicuruan	South America	169	48	39	81.25
nonu1241	Nonuya	Huitotoan	South America	54	16	13	81.25
cham1315	Chamacoco	Zamucoan	South America	143	47	38	80.85
pana1307	Panará	Nuclear-Macro-Je	South America	156	47	38	80.85
trio1238	Trió	Cariban	South America	188	57	46	80.7
indo1316	Indonesian	Austronesian	Papunesia	96	31	25	80.65
abip1241	Abipon	Guaicuruan	South America	129	41	33	80.49
bare1276	Baré	Arawakan	South America	117	51	41	80.39
