Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
wood1236	Woods Cree	Algic	North America	162	156	143	91.67
arap1274	Arapaho	Algic	North America	188	169	148	87.57
seve1240	Severn Ojibwa	Algic	North America	176	160	140	87.5
otta1242	Ottawa	Algic	North America	190	171	149	87.13
loup1243	Loup A	Algic	North America	132	123	106	86.18
cani1243	Canichana		South America	50	43	37	86.05
siks1238	Siksika	Algic	North America	162	155	133	85.81
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	49	42	85.71
shaw1249	Shawnee	Algic	North America	168	162	136	83.95
mont1268	Montagnais	Algic	North America	134	123	102	82.93
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	122	101	82.79
miam1252	Miami	Algic	North America	120	115	95	82.61
chey1247	Cheyenne	Algic	North America	139	131	108	82.44
omii1238	Omi	Central Sudanic	Africa	18	17	14	82.35
boli1256	Bolinao	Austronesian	Papunesia	60	49	40	81.63
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	75	61	81.33
nort2961	Northwestern Ojibwa	Algic	North America	189	168	136	80.95
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	164	132	80.49
cota1241	Cotabato Manobo	Austronesian	Papunesia	145	135	108	80
mikm1235	Mi'kmaq	Algic	North America	179	160	128	80
yawa1261	Yawalapití	Arawakan	South America	58	55	44	80
mbya1239	Mbyá Guaraní	Tupian	South America	161	149	119	79.87
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	157	125	79.62
pich1237	Pichis Ashéninka	Arawakan	South America	148	140	111	79.29
high1243	Highland Totonac	Totonacan	North America	120	110	87	79.09
lafo1243	Lafofa		Africa	68	62	49	79.03
pila1245	Pilagá	Guaicuruan	South America	183	162	127	78.4
cher1273	Cherokee	Iroquoian	North America	184	166	130	78.31
abip1241	Abipon	Guaicuruan	South America	129	115	90	78.26
shas1239	Shasta	Shastan	North America	144	133	104	78.2
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	119	93	78.15
gwen1239	Gweno	Atlantic-Congo	Africa	135	128	100	78.12
moch1259	Mochica		South America	139	128	100	78.12
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	164	128	78.05
papa1238	Papantla Totonac	Totonacan	North America	128	118	92	77.97
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	122	95	77.87
yaki1237	Northwest Sahaptin	Sahaptian	North America	187	167	130	77.84
meke1243	Mekeo	Austronesian	Papunesia	192	171	133	77.78
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	54	42	77.78
ndam1251	Ndam	Afro-Asiatic	Africa	41	36	28	77.78
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	76	59	77.63
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	125	97	77.6
vunj1238	Vunjo	Atlantic-Congo	Africa	165	147	114	77.55
nezp1238	Nez Perce	Sahaptian	North America	176	163	126	77.3
esse1238	Esselen		North America	110	101	78	77.23
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	79	61	77.22
mbal1255	Central Wambo	Atlantic-Congo	Africa	100	92	71	77.17
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	118	91	77.12
araw1273	Araweté	Tupian	South America	148	135	104	77.04
kwin1241	Kwini	Worrorran	Australia	160	148	114	77.03
ines1240	Ineseño	Chumashan	North America	173	161	124	77.02
nort2864	Wemale	Austronesian	Papunesia	76	65	50	76.92
kala1400	Central Kalapuya	Kalapuyan	North America	139	134	103	76.87
isth1241	Isthmus-Pajapan Nahuatl	Uto-Aztecan	North America	133	121	93	76.86
colu1241	Columbia-Wenatchi	Salishan	North America	178	168	129	76.79
gali1262	Galibi Carib	Cariban	South America	173	159	122	76.73
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	133	102	76.69
uruu1244	Uru	Uru-Chipaya	South America	170	150	115	76.67
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	120	92	76.67
reye1240	Reyesano	Pano-Tacanan	South America	139	128	98	76.56
high1276	Highland Popoluca	Mixe-Zoque	North America	186	166	127	76.51
chip1241	Chippewa	Algic	North America	171	153	117	76.47
budz1238	Budza	Atlantic-Congo	Africa	166	148	113	76.35
filo1235	Filomeno Mata Totonac	Totonacan	North America	144	131	100	76.34
yecu1235	Yecuatla Totonac	Totonacan	North America	172	152	116	76.32
sout2949	Southern Kiwai	Kiwaian	Papunesia	89	80	61	76.25
nyun1247	Nyunga	Pama-Nyungan	Australia	26	21	16	76.19
soga1242	Soga	Atlantic-Congo	Africa	181	168	128	76.19
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	172	131	76.16
karo1304	Karok		North America	164	151	115	76.16
fran1266	Francisco León Zoque	Mixe-Zoque	North America	161	150	114	76
sout2985	Southern Sierra Miwok	Miwok-Costanoan	North America	166	154	117	75.97
haaa1252	Ha	Atlantic-Congo	Africa	187	166	126	75.9
yukp1241	Yukpa	Cariban	South America	106	99	75	75.76
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	140	106	75.71
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	70	53	75.71
gaaa1245	Gaa	Atlantic-Congo	Africa	79	74	56	75.68
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	164	124	75.61
bata1289	Batak Toba	Austronesian	Papunesia	168	151	114	75.5
kala1384	Kalanga	Atlantic-Congo	Africa	164	151	114	75.5
tete1251	Tetelcingo Nahuatl	Uto-Aztecan	North America	173	159	120	75.47
woli1241	Wolio	Austronesian	Papunesia	182	163	123	75.46
waya1269	Wayana	Cariban	South America	178	167	126	75.45
suru1261	Suruí Do Pará	Tupian	South America	68	65	49	75.38
sant1410	Santali	Austroasiatic	Eurasia	155	138	104	75.36
swah1253	Swahili	Atlantic-Congo	Africa	178	158	119	75.32
kagu1239	Kagulu	Atlantic-Congo	Africa	186	166	125	75.3
nara1262	Nara		Africa	132	113	85	75.22
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	149	112	75.17
chol1284	Cholón	Hibito-Cholon	South America	181	161	121	75.16
nyan1307	Nyankole	Atlantic-Congo	Africa	185	165	124	75.15
ngan1291	Nganasan	Uralic	Eurasia	194	173	130	75.14
apol1242	Apolista	Arawakan	South America	14	12	9	75
baha1259	Baharna Arabic	Afro-Asiatic	Eurasia	147	132	99	75
duru1236	Duruwa	Dravidian	Eurasia	121	112	84	75
nort2957	Northern Puebla Nahuatl	Uto-Aztecan	North America	153	136	102	75
nort2980	North Junín Quechua	Quechuan	South America	175	156	117	75
pang1287	Pangwa	Atlantic-Congo	Africa	167	148	111	75
tain1254	Taino	Arawakan	North America	4	4	3	75
wapi1253	Wapishana	Arawakan	South America	86	76	57	75
cent2140	Central Sierra Miwok	Miwok-Costanoan	North America	167	155	116	74.84
coos1249	Hanis	Coosan	North America	176	159	119	74.84
thao1240	Thao	Austronesian	Papunesia	170	159	119	74.84
west2624	Western Huasteca Nahuatl	Uto-Aztecan	North America	128	115	86	74.78
bard1255	Bardi	Nyulnyulan	Australia	94	83	62	74.7
chin1286	Clatsop-Shoalwater Chinook	Chinookan	North America	164	154	115	74.68
tswa1253	Tswana	Atlantic-Congo	Africa	178	158	118	74.68
yoku1256	Northern Yokuts	Yokutsan	North America	173	158	118	74.68
lazz1240	Laz	Kartvelian	Eurasia	171	150	112	74.67
gros1243	Gros Ventre	Algic	North America	161	146	109	74.66
pare1266	Gorum-Parenga	Austroasiatic	Eurasia	146	134	100	74.63
shon1251	Shona	Atlantic-Congo	Africa	182	165	123	74.55
mpot1240	Mpoto	Atlantic-Congo	Africa	173	161	120	74.53
cowl1242	Cowlitz	Salishan	North America	175	157	117	74.52
bayo1255	Kugere-Kuxinge	Atlantic-Congo	Africa	58	51	38	74.51
luva1239	Luvale	Atlantic-Congo	Africa	169	153	114	74.51
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	98	73	74.49
tupi1273	Tupinambá	Tupian	South America	163	145	108	74.48
coca1259	Cocama-Cocamilla	Tupian	South America	188	168	125	74.4
beto1236	Betoi-Jirara		South America	130	117	87	74.36
mich1245	Michoacán Nahuatl	Uto-Aztecan	North America	177	156	116	74.36
nden1248	Ndengereko	Atlantic-Congo	Africa	88	78	58	74.36
uppe1275	Upper Necaxa Totonac	Totonacan	North America	176	156	116	74.36
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	152	113	74.34
tusc1257	Tuscarora	Iroquoian	North America	158	152	113	74.34
avac1239	Avá-Canoeiro	Tupian	South America	153	144	107	74.31
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	105	78	74.29
mika1239	Mikasuki	Muskogean	North America	147	136	101	74.26
musg1254	Musgu	Afro-Asiatic	Africa	118	101	75	74.26
luya1241	Luyi	Atlantic-Congo	Africa	172	159	118	74.21
take1257	Takelma		North America	173	159	118	74.21
wage1238	Wageman		Australia	175	159	118	74.21
kwam1249	Gwama	Koman	Africa	171	155	115	74.19
mola1238	Molale		North America	174	155	115	74.19
alba1269	Inland-Buhi-Daraga Bikol	Austronesian	Papunesia	128	120	89	74.17
moks1248	Moksha	Uralic	Eurasia	195	174	129	74.14
mapu1245	Mapudungun	Araucanian	South America	190	170	126	74.12
ruka1240	Rukai	Austronesian	Papunesia	191	170	126	74.12
achu1248	Achuar-Shiwiar	Chicham	South America	183	166	123	74.1
sene1264	Seneca	Iroquoian	North America	174	162	120	74.07
miri1266	Miriwung	Jarrakan	Australia	142	131	97	74.05
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	173	128	73.99
klam1254	Klamath-Modoc		North America	164	146	108	73.97
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	146	108	73.97
miwa1242	Miwa	Worrorran	Australia	130	119	88	73.95
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	165	122	73.94
quio1240	Quiotepec Chinantec	Otomanguean	North America	182	165	122	73.94
waim1251	Waima	Austronesian	Papunesia	186	165	122	73.94
wash1253	Washo		North America	152	142	105	73.94
lang1320	Langi	Atlantic-Congo	Africa	174	157	116	73.89
gusi1247	Gusii	Atlantic-Congo	Africa	173	153	113	73.86
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	65	48	73.85
elip1238	Elip	Atlantic-Congo	Africa	111	107	79	73.83
isna1241	Isnag	Austronesian	Papunesia	163	149	110	73.83
wanm1242	Wanman	Pama-Nyungan	Australia	132	126	93	73.81
wyan1247	Huron-Wyandot	Iroquoian	North America	111	103	76	73.79
mori1268	Mori Bawah	Austronesian	Papunesia	88	80	59	73.75
gamb1251	Gambera	Worrorran	Australia	129	118	87	73.73
east2690	Eastern Egyptian Bedawi Arabic	Afro-Asiatic	Eurasia	147	133	98	73.68
sier1248	Sierra Negra Nahuatl	Uto-Aztecan	North America	145	133	98	73.68
ndam1239	Ndamba	Atlantic-Congo	Africa	180	167	123	73.65
hehe1240	Hehe	Atlantic-Congo	Africa	144	129	95	73.64
kaon1241	Kaonde	Atlantic-Congo	Africa	120	110	81	73.64
konz1239	Konzo	Atlantic-Congo	Africa	133	129	95	73.64
soli1239	Soli	Atlantic-Congo	Africa	101	91	67	73.63
nort2954	Northern Paiute	Uto-Aztecan	North America	184	163	120	73.62
pite1240	Pite Saami	Uralic	Eurasia	195	174	128	73.56
dual1243	Duala	Atlantic-Congo	Africa	138	121	89	73.55
tepe1278	Tepecano	Uto-Aztecan	North America	121	117	86	73.5
aree1239	Are	Austronesian	Papunesia	157	147	108	73.47
para1316	Paraujano	Arawakan	South America	53	49	36	73.47
athp1241	Athpariya	Sino-Tibetan	Eurasia	182	162	119	73.46
huic1243	Huichol	Uto-Aztecan	North America	179	162	119	73.46
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	128	94	73.44
kali1308	Kalispel-Pend d'Oreille	Salishan	North America	160	143	105	73.43
pemo1248	Pemon	Cariban	South America	161	143	105	73.43
kuan1247	Kuanyama	Atlantic-Congo	Africa	173	158	116	73.42
lowl1260	Lowland Oaxaca Chontal	Tequistlatecan	North America	173	158	116	73.42
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	124	91	73.39
kips1239	Kipsigis	Nilotic	Africa	156	135	99	73.33
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	90	66	73.33
situ1238	Situ	Sino-Tibetan	Eurasia	185	165	121	73.33
yane1238	Yanesha'	Arawakan	South America	114	105	77	73.33
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	131	96	73.28
orok1266	Oroko	Atlantic-Congo	Africa	139	131	96	73.28
osam1235	Osamayi	Atlantic-Congo	Africa	105	101	74	73.27
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	157	115	73.25
yaak1241	Yaaku	Afro-Asiatic	Africa	177	157	115	73.25
chim1301	Chimariko		North America	141	127	93	73.23
