Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	9	8	88.89
kips1239	Kipsigis	Nilotic	Africa	156	141	119	84.4
cent1972	Central Kurdish	Indo-European	Eurasia	15	6	5	83.33
obom1235	Obo Manobo	Austronesian	Papunesia	54	42	35	83.33
nand1266	Nandi	Nilotic	Africa	156	142	117	82.39
tuge1241	Tugen	Nilotic	Africa	126	117	94	80.34
tima1241	Tima	Katla-Tima	Africa	61	53	42	79.25
furu1242	Furu	Central Sudanic	Africa	127	101	80	79.21
dard1243	Dar Daju Daju	Dajuic	Africa	93	72	57	79.17
sooo1256	Soo	Kuliak	Africa	82	74	58	78.38
anua1242	Anuak	Nilotic	Africa	71	60	47	78.33
ikkk1242	Ik	Kuliak	Africa	167	147	115	78.23
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	78	61	78.21
boli1256	Bolinao	Austronesian	Papunesia	60	54	42	77.78
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	62	48	77.42
jiba1237	Jiba	Atlantic-Congo	Africa	120	99	76	76.77
tenn1246	Tennet	Surmic	Africa	158	127	97	76.38
nara1262	Nara		Africa	132	118	90	76.27
miam1252	Miami	Algic	North America	120	95	72	75.79
thur1254	Thurawal	Pama-Nyungan	Australia	86	70	53	75.71
molo1266	Moloko	Afro-Asiatic	Africa	109	86	65	75.58
lama1288	Lamang	Afro-Asiatic	Africa	143	114	86	75.44
murl1244	Murle	Surmic	Africa	175	142	107	75.35
mosi1247	Akie	Nilotic	Africa	167	150	113	75.33
bert1248	Berta		Africa	119	96	72	75
goro1270	Gorowa	Afro-Asiatic	Africa	13	12	9	75
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	16	12	75
keig1242	Keiga	Kadugli-Krongo	Africa	148	120	90	75
tain1254	Taino	Arawakan	North America	4	4	3	75
umot1240	Umotína	Bororoan	South America	73	60	45	75
fran1266	Francisco León Zoque	Mixe-Zoque	North America	161	131	98	74.81
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	131	98	74.81
mang1394	Mangbetu	Central Sudanic	Africa	154	123	92	74.8
biaf1240	Biafada	Atlantic-Congo	Africa	123	99	74	74.75
kron1241	Krongo	Kadugli-Krongo	Africa	75	63	47	74.6
turk1308	Turkana	Nilotic	Africa	99	82	61	74.39
loma1260	Loma (Liberia)	Mande	Africa	90	77	57	74.03
natu1246	Natügu	Austronesian	Papunesia	96	77	57	74.03
masa1300	Masai	Nilotic	Africa	73	61	45	73.77
atak1252	Atakapa		North America	149	118	87	73.73
high1243	Highland Totonac	Totonacan	North America	120	95	70	73.68
sius1254	Siuslaw		North America	165	129	95	73.64
gaam1241	Gaam	Eastern Jebel	Africa	83	72	53	73.61
elem1253	Eleme	Atlantic-Congo	Africa	140	125	92	73.6
yukp1241	Yukpa	Cariban	South America	106	87	64	73.56
mund1325	Mundang	Atlantic-Congo	Africa	190	151	111	73.51
belu1239	Belueli	Atlantic-Congo	Africa	73	60	44	73.33
twan1247	Twana	Salishan	North America	87	75	55	73.33
vunj1238	Vunjo	Atlantic-Congo	Africa	165	127	93	73.23
gbay1278	Gbayi	Atlantic-Congo	Africa	58	56	41	73.21
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	97	71	73.2
kera1248	Keerak	Atlantic-Congo	Africa	128	108	79	73.15
nucl1240	Mumuye	Atlantic-Congo	Africa	170	137	100	72.99
taya1257	Tayart Tamajeq	Afro-Asiatic	Africa	161	144	105	72.92
hava1248	Havasupai-Walapai-Yavapai	Cochimi-Yuman	North America	165	129	94	72.87
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	70	51	72.86
maro1244	Marovo	Austronesian	Papunesia	84	70	51	72.86
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	103	75	72.82
ndam1251	Ndam	Afro-Asiatic	Africa	41	33	24	72.73
suru1261	Suruí Do Pará	Tupian	South America	68	55	40	72.73
moch1257	Mocho	Mayan	North America	163	128	93	72.66
gaan1243	Ga'anda	Afro-Asiatic	Africa	140	113	82	72.57
huba1236	Huba	Afro-Asiatic	Africa	151	120	87	72.5
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	40	29	72.5
moni1237	Mangue	Otomanguean	North America	84	69	50	72.46
tigo1236	Tigon Mbembe	Atlantic-Congo	Africa	173	152	110	72.37
meta1238	Meta'	Atlantic-Congo	Africa	159	123	89	72.36
cani1243	Canichana		South America	50	47	34	72.34
teng1272	Tengger	Austronesian	Papunesia	121	94	68	72.34
west2763	Western Neo-Aramaic	Afro-Asiatic	Eurasia	149	119	86	72.27
ronn1241	Ron	Afro-Asiatic	Africa	169	137	99	72.26
cori1240	Cori	Atlantic-Congo	Africa	139	108	78	72.22
nang1262	Nanggu	Austronesian	Papunesia	162	126	91	72.22
lang1324	Lango (Uganda)	Nilotic	Africa	90	79	57	72.15
monn1252	Mon	Austroasiatic	Eurasia	91	79	57	72.15
zagh1240	Beria	Saharan	Africa	183	147	106	72.11
tega1236	Tegali	Rashad	Africa	82	68	49	72.06
maja1242	Majang	Surmic	Africa	163	132	95	71.97
rung1258	Runga	Maban	Africa	178	139	100	71.94
baba1266	Babanki	Atlantic-Congo	Africa	159	128	92	71.88
band1344	Banda-Bambari	Atlantic-Congo	Africa	176	142	102	71.83
ghad1239	Ghadames	Afro-Asiatic	Africa	160	142	102	71.83
buol1237	Buol	Austronesian	Papunesia	117	92	66	71.74
mich1245	Michoacán Nahuatl	Uto-Aztecan	North America	177	138	99	71.74
coah1252	Coahuilteco		North America	129	106	76	71.7
omah1247	Omaha-Ponca	Siouan	North America	81	67	48	71.64
okoe1238	Oko-Eni-Osayen	Atlantic-Congo	Africa	102	88	63	71.59
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	102	73	71.57
zaca1241	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl	Uto-Aztecan	North America	164	130	93	71.54
daas1238	Daasanach	Afro-Asiatic	Africa	191	151	108	71.52
apol1242	Apolista	Arawakan	South America	14	14	10	71.43
arap1274	Arapaho	Algic	North America	188	147	105	71.43
bomb1262	Bomboma	Atlantic-Congo	Africa	119	98	70	71.43
gana1278	Ganai	Pama-Nyungan	Australia	53	42	30	71.43
nort2847	North Tanna	Austronesian	Papunesia	128	105	75	71.43
papa1238	Papantla Totonac	Totonacan	North America	128	105	75	71.43
term1237	Termanu	Austronesian	Papunesia	172	136	97	71.32
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	111	79	71.17
sout2912	Coastal-Virac Bikol	Austronesian	Papunesia	128	104	74	71.15
wanm1242	Wanman	Pama-Nyungan	Australia	132	104	74	71.15
anta1255	Antankarana Malagasy	Austronesian	Africa	102	83	59	71.08
ndob1238	Ndobo	Atlantic-Congo	Africa	85	83	59	71.08
rend1243	Rendille	Afro-Asiatic	Africa	44	38	27	71.05
safw1238	Safwa	Atlantic-Congo	Africa	48	38	27	71.05
taha1241	Tahaggart Tamahaq	Afro-Asiatic	Africa	176	138	98	71.01
guat1253	Guató		South America	127	100	71	71
mali1285	Malinaltepec Me'phaa	Otomanguean	North America	160	131	93	70.99
bagi1246	Bagirmi	Central Sudanic	Africa	167	148	105	70.95
dera1248	Dera (Nigeria)	Afro-Asiatic	Africa	178	141	100	70.92
koon1244	South-Central Koongo	Atlantic-Congo	Africa	153	134	95	70.9
lund1266	Lunda	Atlantic-Congo	Africa	150	134	95	70.9
yulu1243	Yulu-Binga	Central Sudanic	Africa	149	134	95	70.9
tibe1274	Tibea	Atlantic-Congo	Africa	95	79	56	70.89
timu1262	Timugon Murut	Austronesian	Papunesia	153	127	90	70.87
gbay1288	Kresh-Woro	Kresh-Aja	Africa	134	120	85	70.83
seri1257	Seri		North America	181	144	102	70.83
yana1271	Yana		North America	91	72	51	70.83
noon1243	Noone	Atlantic-Congo	Africa	172	137	97	70.8
hdii1240	Hdi	Afro-Asiatic	Africa	98	82	58	70.73
yaak1241	Yaaku	Afro-Asiatic	Africa	177	140	99	70.71
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	116	82	70.69
ibib1240	Ibibio	Atlantic-Congo	Africa	140	116	82	70.69
tuba1278	Tübatulabal	Uto-Aztecan	North America	152	116	82	70.69
gyel1242	Gyele	Atlantic-Congo	Africa	190	150	106	70.67
buhu1237	Buhutu	Austronesian	Papunesia	134	109	77	70.64
land1256	Landoma	Atlantic-Congo	Africa	137	109	77	70.64
hone1235	Hõne	Atlantic-Congo	Africa	177	143	101	70.63
meen1242	Me'en	Surmic	Africa	167	136	96	70.59
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	102	72	70.59
bamw1238	Bamwe	Atlantic-Congo	Africa	102	95	67	70.53
bulu1251	Bulu (Cameroon)	Atlantic-Congo	Africa	164	132	93	70.45
kwam1249	Gwama	Koman	Africa	171	132	93	70.45
tonk1249	Tonkawa		North America	156	125	88	70.4
yoga1237	Yogad	Austronesian	Papunesia	192	152	107	70.39
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	108	76	70.37
marg1265	Marghi Central	Afro-Asiatic	Africa	184	145	102	70.34
saga1262	Sagalla	Atlantic-Congo	Africa	152	118	83	70.34
sanb1241	San Baltazar Loxicha Zapotec	Otomanguean	North America	147	118	83	70.34
tama1365	Tamasheq	Afro-Asiatic	Africa	186	145	102	70.34
kunz1244	Kunza		South America	72	64	45	70.31
ines1240	Ineseño	Chumashan	North America	173	138	97	70.29
maas1239	Maasina Fulfulde	Atlantic-Congo	Africa	133	111	78	70.27
bara1369	Bara Malagasy	Austronesian	Africa	126	94	66	70.21
nort3047	North Giziga	Afro-Asiatic	Africa	176	141	99	70.21
beem1239	Beembe	Atlantic-Congo	Africa	144	114	80	70.18
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	124	87	70.16
mund1326	Mündü	Atlantic-Congo	Africa	120	97	68	70.1
sobe1238	Sobei	Austronesian	Papunesia	130	107	75	70.09
logo1259	Logo	Central Sudanic	Africa	172	137	96	70.07
bong1285	Bongo	Central Sudanic	Africa	146	130	91	70
mban1263	Mbandja	Atlantic-Congo	Africa	162	130	91	70
mbol1247	Mbole	Atlantic-Congo	Africa	89	70	49	70
okuu1243	Oku	Atlantic-Congo	Africa	110	90	63	70
xinc1243	Xinca-Yupiltepeque	Xincan	North America	154	140	98	70
taus1251	Tausug	Austronesian	Papunesia	179	143	100	69.93
quap1242	Quapaw	Siouan	North America	154	123	86	69.92
bara1361	Barambu	Atlantic-Congo	Africa	128	113	79	69.91
nden1248	Ndengereko	Atlantic-Congo	Africa	88	73	51	69.86
sand1278	San Dionisio del Mar Huave	Huavean	North America	184	146	102	69.86
bank1256	Bankon	Atlantic-Congo	Africa	78	63	44	69.84
keng1240	Kenga	Central Sudanic	Africa	124	116	81	69.83
lumb1249	Lumbu	Atlantic-Congo	Africa	146	116	81	69.83
wawa1246	Wawa	Atlantic-Congo	Africa	188	149	104	69.8
kons1243	Konso	Afro-Asiatic	Africa	87	76	53	69.74
monz1249	Monzombo	Atlantic-Congo	Africa	119	109	76	69.72
peer1241	Peere	Atlantic-Congo	Africa	147	132	92	69.7
