Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mehi1240	Mehináku	Arawakan	South America	4	3	3	100
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	60	57	95
bili1260	Bilin	Afro-Asiatic	Africa	157	80	74	92.5
dime1235	Dime	South Omotic	Africa	52	40	36	90
telu1262	Telugu	Dravidian	Eurasia	127	67	60	89.55
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	65	58	89.23
nkor1239	Nkoroo	Ijoid	Africa	54	18	16	88.89
aluk1238	Alu Kurumba	Dravidian	Eurasia	171	77	68	88.31
tuvi1240	Tuvinian	Turkic	Eurasia	154	74	65	87.84
daha1245	Dahalo	Afro-Asiatic	Africa	46	32	28	87.5
poya1241	Poyanáwa	Pano-Tacanan	South America	50	24	21	87.5
dara1250	Darai	Indo-European	Eurasia	178	79	69	87.34
umes1235	Ume Saami	Uralic	Eurasia	183	78	68	87.18
korr1238	Korra Koraga	Dravidian	Eurasia	133	68	59	86.76
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	82	71	86.59
gizr1240	Gizrra	Eastern Trans-Fly	Papunesia	93	49	42	85.71
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	68	58	85.29
awad1243	Awadhi	Indo-European	Eurasia	173	81	69	85.19
dand1238	Dandami Maria	Dravidian	Eurasia	161	81	69	85.19
lamb1269	Lambadi	Indo-European	Eurasia	155	80	68	85
bada1257	Badaga	Dravidian	Eurasia	127	78	66	84.62
ulch1241	Ulch	Tungusic	Eurasia	164	78	66	84.62
burj1242	Burji	Afro-Asiatic	Africa	187	84	71	84.52
muth1236	Muthuvan	Dravidian	Eurasia	143	71	60	84.51
gana1278	Ganai	Pama-Nyungan	Australia	53	32	27	84.38
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	70	59	84.29
piap1246	Piapoco	Arawakan	South America	59	19	16	84.21
kore1280	Korean	Koreanic	Eurasia	185	82	69	84.15
kuii1252	Kui (India)	Dravidian	Eurasia	113	69	58	84.06
kaur1267	Kaurna	Pama-Nyungan	Australia	48	25	21	84
shol1240	Sholaga	Dravidian	Eurasia	172	81	68	83.95
awab1243	Awabakal	Pama-Nyungan	Australia	67	31	26	83.87
