Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
burm1264	Burmeso		Papunesia	65	16	16	100
mehi1240	Mehináku	Arawakan	South America	4	1	1	100
naas1242	Naasioi	South Bougainville	Papunesia	53	8	8	100
omii1238	Omi	Central Sudanic	Africa	18	2	2	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	5	100
sara1331	Saraveca	Arawakan	South America	19	2	2	100
suru1262	Suruí	Tupian	South America	18	7	7	100
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	2	2	100
embe1260	Emberá-Catío	Chocoan	South America	164	41	40	97.56
nara1262	Nara		Africa	132	33	32	96.97
gizr1240	Gizrra	Eastern Trans-Fly	Papunesia	93	25	24	96
wira1265	Wirangu	Pama-Nyungan	Australia	66	20	19	95
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	39	37	94.87
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	39	37	94.87
nkor1239	Nkoroo	Ijoid	Africa	54	18	17	94.44
awab1243	Awabakal	Pama-Nyungan	Australia	67	17	16	94.12
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	17	16	94.12
kosa1249	Kosarek Yale	Nuclear Trans New Guinea	Papunesia	169	49	46	93.88
jaru1254	Jaru	Pama-Nyungan	Australia	61	16	15	93.75
kaba1278	Kabardian	Abkhaz-Adyge	Eurasia	174	48	45	93.75
tuca1252	Tucano	Tucanoan	South America	67	16	15	93.75
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	45	42	93.33
kara1476	Karadjeri	Pama-Nyungan	Australia	67	15	14	93.33
pemo1248	Pemon	Cariban	South America	161	43	40	93.02
djin1253	Djinang	Pama-Nyungan	Australia	59	14	13	92.86
maqu1238	Ye'kwana	Cariban	South America	56	14	13	92.86
rumu1243	Rumu	Turama-Kikori	Papunesia	73	28	26	92.86
akaj1239	Akajeru	Great Andamanese	Eurasia	99	26	24	92.31
kryt1240	Kryz	Nakh-Daghestanian	Eurasia	165	39	36	92.31
nati1243	Natioro	Atlantic-Congo	Africa	51	13	12	92.31
huli1244	Huli	Nuclear Trans New Guinea	Papunesia	131	37	34	91.89
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	48	44	91.67
