Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
nara1262	Nara		Africa	132	112	97	86.61
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	130	112	86.15
goro1270	Gorowa	Afro-Asiatic	Africa	13	7	6	85.71
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	69	58	84.06
koor1239	Koorete	Ta-Ne-Omotic	Africa	175	156	131	83.97
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	112	94	83.93
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	153	128	83.66
etru1241	Etruscan		Eurasia	130	121	101	83.47
korr1238	Korra Koraga	Dravidian	Eurasia	133	121	101	83.47
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
cent2126	Central Okinawan	Japonic	Eurasia	153	137	114	83.21
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	148	123	83.11
wola1242	Wolaytta	Ta-Ne-Omotic	Africa	193	165	137	83.03
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	93	77	82.8
melo1242	Melo	Ta-Ne-Omotic	Africa	163	139	115	82.73
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	147	121	82.31
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	152	125	82.24
chen1255	Chenchu	Dravidian	Eurasia	180	157	129	82.17
tuvi1240	Tuvinian	Turkic	Eurasia	154	134	110	82.09
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	133	109	81.95
benc1235	Bench	Ta-Ne-Omotic	Africa	82	72	59	81.94
even1260	Even	Tungusic	Eurasia	141	120	98	81.67
garo1247	Garo	Sino-Tibetan	Eurasia	164	147	120	81.63
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	141	115	81.56
kara1499	Kalamang	West Bomberai	Papunesia	99	92	75	81.52
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	162	132	81.48
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	81	66	81.48
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	151	123	81.46
daha1245	Dahalo	Afro-Asiatic	Africa	46	43	35	81.4
maga1260	Magahi	Indo-European	Eurasia	136	123	100	81.3
koya1251	Koya	Dravidian	Eurasia	137	122	99	81.15
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	53	43	81.13
yawa1260	Yawanawa	Pano-Tacanan	South America	148	137	111	81.02
ulch1241	Ulch	Tungusic	Eurasia	164	146	118	80.82
shol1240	Sholaga	Dravidian	Eurasia	172	151	122	80.79
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	145	117	80.69
kalm1243	Oirad-Kalmyk-Darkhat	Mongolic-Khitan	Eurasia	165	144	116	80.56
siaw1243	Siawi	Amto-Musan	Papunesia	123	118	95	80.51
tulu1258	Tulu	Dravidian	Eurasia	163	143	115	80.42
mill1237	Millcayac	Huarpean	South America	122	117	94	80.34
orma1241	Orma	Afro-Asiatic	Africa	128	122	98	80.33
muth1236	Muthuvan	Dravidian	Eurasia	143	127	102	80.31
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	137	110	80.29
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	146	117	80.14
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	151	121	80.13
xamt1239	Xamtanga	Afro-Asiatic	Africa	189	166	133	80.12
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	12	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
lamb1269	Lambadi	Indo-European	Eurasia	155	140	112	80
orok1265	Orok	Tungusic	Eurasia	151	135	108	80
tomm1242	Tommo So Dogon	Dogon	Africa	167	140	112	80
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	100	80	80
alab1254	Alaba-K'abeena	Afro-Asiatic	Africa	192	164	131	79.88
khak1248	Khakas	Turkic	Eurasia	170	149	119	79.87
nort2697	North Azerbaijani	Turkic	Eurasia	188	159	127	79.87
cogu1240	Cogui	Chibchan	South America	141	124	99	79.84
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	153	122	79.74
embe1262	Emberá-Chamí	Chocoan	South America	159	143	114	79.72
nkor1239	Nkoroo	Ijoid	Africa	54	39	31	79.49
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	141	112	79.43
negi1245	Negidal	Tungusic	Eurasia	160	141	112	79.43
mala1463	Malavedan	Dravidian	Eurasia	163	150	119	79.33
bada1257	Badaga	Dravidian	Eurasia	127	120	95	79.17
yona1241	Yonaguni	Japonic	Eurasia	164	144	114	79.17
bash1264	Bashkir	Turkic	Eurasia	161	139	110	79.14
kach1284	Kachama-Ganjule-Haro	Ta-Ne-Omotic	Africa	188	163	129	79.14
boro1277	Boro (Ethiopia)	Ta-Ne-Omotic	Africa	176	158	125	79.11
rong1264	Rongpo	Sino-Tibetan	Eurasia	185	158	125	79.11
chot1239	Chothe	Sino-Tibetan	Eurasia	176	153	121	79.08
dizi1235	Dizin	Dizoid	Africa	57	57	45	78.95
nana1257	Nanai	Tungusic	Eurasia	195	166	131	78.92
awad1243	Awadhi	Indo-European	Eurasia	173	147	116	78.91
