Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
penr1237	Māngarongaro	Austronesian	Papunesia	117	99	87	87.88
raro1241	Southern Cook Island Maori	Austronesian	Papunesia	173	147	128	87.07
hili1240	Hiligaynon	Austronesian	Papunesia	77	73	63	86.3
kapi1249	Kapingamarangi	Austronesian	Papunesia	72	58	50	86.21
maor1246	Maori	Austronesian	Papunesia	191	159	137	86.16
renn1242	Rennell-Bellona	Austronesian	Papunesia	166	142	120	84.51
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	51	43	84.31
ngul1236	Nguluwan	Austronesian	Papunesia	56	50	42	84
dehu1237	Dehu	Austronesian	Papunesia	150	131	110	83.97
cebu1242	Cebuano	Austronesian	Papunesia	84	80	67	83.75
uuuu1243	U	Austroasiatic	Eurasia	139	123	103	83.74
hawa1245	Hawaiian	Austronesian	Papunesia	181	152	127	83.55
rapa1245	Mangaia-Old Rapa	Austronesian	Papunesia	193	163	136	83.44
sika1261	Sikaiana	Austronesian	Papunesia	173	143	119	83.22
siar1238	Siar-Lak	Austronesian	Papunesia	87	83	69	83.13
maro1244	Marovo	Austronesian	Papunesia	84	77	64	83.12
anut1237	Anuta	Austronesian	Papunesia	153	130	108	83.08
piji1239	Pijin	Indo-European	Papunesia	154	130	108	83.08
lihi1237	Lihir	Austronesian	Papunesia	143	124	103	83.06
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	52	43	82.69
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	127	105	82.68
nort2845	North Marquesan	Austronesian	Papunesia	178	150	124	82.67
east1236	Eastern Katu	Austroasiatic	Eurasia	106	92	76	82.61
mota1237	Mota	Austronesian	Papunesia	107	91	75	82.42
hala1252	Halang	Austroasiatic	Eurasia	82	68	56	82.35
gada1258	Ga'dang	Austronesian	Papunesia	70	62	51	82.26
tuva1244	Tuvalu	Austronesian	Papunesia	179	152	125	82.24
leme1238	Lemerig	Austronesian	Papunesia	164	140	115	82.14
niue1239	Niuean	Austronesian	Papunesia	137	123	101	82.11
lauu1247	Lau	Austronesian	Papunesia	141	117	96	82.05
rere1240	Rerep	Austronesian	Papunesia	147	127	104	81.89
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
tiru1241	Tiruray	Austronesian	Papunesia	145	121	99	81.82
casi1235	Casiguran-Nagtipunan Agta	Austronesian	Papunesia	133	115	94	81.74
labu1249	Labuk-Kinabatangan Kadazan	Austronesian	Papunesia	104	93	76	81.72
mang1401	Mangareva	Austronesian	Papunesia	173	142	116	81.69
gela1263	Gela	Austronesian	Papunesia	181	152	124	81.58
taku1257	Takuu	Austronesian	Papunesia	168	141	115	81.56
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	103	84	81.55
east2563	Eastern Cham	Austronesian	Eurasia	92	86	70	81.4
wala1266	Wala	Austronesian	Papunesia	150	127	103	81.1
ughe1237	Ughele	Austronesian	Papunesia	182	153	124	81.05
west2516	West Uvean	Austronesian	Papunesia	189	158	128	81.01
cent1990	Central Nicobarese	Austroasiatic	Eurasia	169	147	119	80.95
kawi1241	Kawi	Austronesian	Papunesia	128	110	89	80.91
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	120	97	80.83
labe1239	Label	Austronesian	Papunesia	70	57	46	80.7
tali1259	Talise	Austronesian	Papunesia	142	119	96	80.67
ghar1239	Ghari	Austronesian	Papunesia	151	129	104	80.62
oroh1237	Oroha	Austronesian	Papunesia	118	103	83	80.58
mara1404	Maranao	Austronesian	Papunesia	128	113	91	80.53
rovi1238	Roviana	Austronesian	Papunesia	161	138	111	80.43
wall1257	East Uvean	Austronesian	Papunesia	189	158	127	80.38
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	107	86	80.37
rung1259	Rungus	Austronesian	Papunesia	137	122	98	80.33
azha1235	Azha	Sino-Tibetan	Eurasia	151	127	102	80.31
west2564	West Berawan	Austronesian	Papunesia	83	71	57	80.28
