Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
goro1270	Gorowa	Afro-Asiatic	Africa	13	4	4	100
mehi1240	Mehináku	Arawakan	South America	4	1	1	100
omii1238	Omi	Central Sudanic	Africa	18	2	2	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	4	4	100
suru1262	Suruí	Tupian	South America	18	5	5	100
soma1255	Somali	Afro-Asiatic	Africa	97	37	36	97.3
bera1262	Berau Malay	Austronesian	Papunesia	11	9	8	88.89
hozo1236	Hozo	Blue Nile Mao	Africa	87	32	28	87.5
guri1248	Guriaso		Papunesia	24	7	6	85.71
poya1241	Poyanáwa	Pano-Tacanan	South America	50	14	12	85.71
safw1238	Safwa	Atlantic-Congo	Africa	48	20	17	85
papa1268	Papar	Austronesian	Papunesia	47	13	11	84.62
kons1243	Konso	Afro-Asiatic	Africa	87	38	32	84.21
burm1264	Burmeso		Papunesia	65	18	15	83.33
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
tira1254	Tira	Heibanic	Africa	77	30	25	83.33
bora1271	Borana-Arsi-Guji Oromo	Afro-Asiatic	Africa	78	35	29	82.86
siri1274	Siriano	Tucanoan	South America	122	34	28	82.35
kron1241	Krongo	Kadugli-Krongo	Africa	75	33	27	81.82
tuca1252	Tucano	Tucanoan	South America	67	16	13	81.25
iraq1241	Iraqw	Afro-Asiatic	Africa	116	42	34	80.95
shek1245	Sheko	Dizoid	Africa	90	36	29	80.56
apol1242	Apolista	Arawakan	South America	14	5	4	80
daha1245	Dahalo	Afro-Asiatic	Africa	46	20	16	80
otor1240	Otoro	Heibanic	Africa	88	35	28	80
alag1248	Alagwa	Afro-Asiatic	Africa	183	44	35	79.55
cusc1236	Cusco Quechua	Quechuan	South America	167	42	33	78.57
haio1238	Hai//om-Akhoe	Khoe-Kwadi	Africa	35	14	11	78.57
tima1241	Tima	Katla-Tima	Africa	61	28	22	78.57
sida1246	Sidamo	Afro-Asiatic	Africa	104	37	29	78.38
kark1258	Karkar-Yuri	Pauwasi	Papunesia	132	36	28	77.78
mull1237	Mullukmulluk	Northern Daly	Australia	169	40	31	77.5
zinz1238	Zinza	Atlantic-Congo	Africa	106	31	24	77.42
jita1239	Jita	Atlantic-Congo	Africa	75	22	17	77.27
kuvi1243	Kuvi	Dravidian	Eurasia	103	35	27	77.14
makw1236	Makwe	Atlantic-Congo	Africa	86	35	27	77.14
tama1331	Tama (Chad)	Tamaic	Africa	139	35	27	77.14
dime1235	Dime	South Omotic	Africa	52	26	20	76.92
soli1239	Soli	Atlantic-Congo	Africa	101	26	20	76.92
turk1308	Turkana	Nilotic	Africa	99	39	30	76.92
giry1241	Giryama	Atlantic-Congo	Africa	83	30	23	76.67
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	34	26	76.47
samo1303	Samo	East Strickland	Papunesia	44	17	13	76.47
telu1262	Telugu	Dravidian	Eurasia	127	33	25	75.76
tora1259	Torau	Austronesian	Papunesia	119	37	28	75.68
koon1244	South-Central Koongo	Atlantic-Congo	Africa	153	41	31	75.61
agob1244	Agob-Ende-Kawam	Pahoturi	Papunesia	194	44	33	75
ayac1239	Ayacucho Quechua	Quechuan	South America	166	40	30	75
daas1238	Daasanach	Afro-Asiatic	Africa	191	44	33	75
haus1257	Hausa	Afro-Asiatic	Africa	91	32	24	75
hunz1247	Hunzib	Nakh-Daghestanian	Eurasia	170	40	30	75
newa1246	Kathmandu Valley Newari	Sino-Tibetan	Eurasia	179	44	33	75
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	28	21	75
dido1241	Tsez	Nakh-Daghestanian	Eurasia	170	43	32	74.42
khin1240	Khinalug	Nakh-Daghestanian	Eurasia	153	39	29	74.36
natc1249	Natchez		North America	108	31	23	74.19
mara1396	Mararit	Tamaic	Africa	92	27	20	74.07
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	27	20	74.07
tagb1258	Tagbanwa	Austronesian	Papunesia	42	23	17	73.91
argo1244	Argobba	Afro-Asiatic	Africa	184	42	31	73.81
buru1296	Burushaski		Eurasia	159	42	31	73.81
awad1243	Awadhi	Indo-European	Eurasia	173	38	28	73.68
pemo1248	Pemon	Cariban	South America	161	38	28	73.68
moro1285	Moro	Heibanic	Africa	77	34	25	73.53
moro1289	Marori		Papunesia	105	30	22	73.33
nyun1247	Nyunga	Pama-Nyungan	Australia	26	15	11	73.33
orma1241	Orma	Afro-Asiatic	Africa	128	41	30	73.17
benc1235	Bench	Ta-Ne-Omotic	Africa	82	26	19	73.08
ndob1238	Ndobo	Atlantic-Congo	Africa	85	26	19	73.08
buol1237	Buol	Austronesian	Papunesia	117	37	27	72.97
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	37	27	72.97
korr1238	Korra Koraga	Dravidian	Eurasia	133	37	27	72.97
nort2951	Northwest Maidu	Maiduan	North America	142	37	27	72.97
afar1241	Afar	Afro-Asiatic	Africa	188	44	32	72.73
burj1242	Burji	Afro-Asiatic	Africa	187	44	32	72.73
clas1249	Classical-Middle Armenian	Indo-European	Eurasia	183	44	32	72.73
eude1234	Eudeve	Uto-Aztecan	North America	153	40	29	72.5
pagu1249	Pagu	North Halmahera	Papunesia	153	40	29	72.5
bata1285	Batanga	Atlantic-Congo	Africa	113	29	21	72.41
bamb1262	Bambassi	Blue Nile Mao	Africa	99	36	26	72.22
sand1273	Sandawe		Africa	76	36	26	72.22
sout2649	Southern Pashto	Indo-European	Eurasia	176	43	31	72.09
fipa1238	Fipa	Atlantic-Congo	Africa	120	32	23	71.88
suku1261	Sukuma	Atlantic-Congo	Africa	128	32	23	71.88
kota1263	Kota (India)	Dravidian	Eurasia	158	39	28	71.79
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	39	28	71.79
shua1257	Shuar	Chicham	South America	147	39	28	71.79
ghod1238	Godoberi	Nakh-Daghestanian	Eurasia	165	42	30	71.43
maqu1238	Ye'kwana	Cariban	South America	56	14	10	71.43
masa1300	Masai	Nilotic	Africa	73	35	25	71.43
arch1244	Archi	Nakh-Daghestanian	Eurasia	148	38	27	71.05
lund1266	Lunda	Atlantic-Congo	Africa	150	38	27	71.05
poko1263	Pökoot	Nilotic	Africa	153	38	27	71.05
quil1240	Quileute	Chimakuan	North America	165	38	27	71.05
