Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	11	11	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	6	6	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	6	6	100
east2447	East Futuna	Austronesian	Papunesia	187	144	128	88.89
oroh1237	Oroha	Austronesian	Papunesia	118	95	84	88.42
noku1237	Nokuku	Austronesian	Papunesia	156	122	107	87.7
ngul1236	Nguluwan	Austronesian	Papunesia	56	54	47	87.04
gese1240	Geser-Gorom	Austronesian	Papunesia	69	44	38	86.36
adon1237	Adonara	Austronesian	Papunesia	165	130	112	86.15
leme1238	Lemerig	Austronesian	Papunesia	164	129	111	86.05
beli1260	Belize Kriol English	Indo-European	North America	130	100	86	86
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	112	96	85.71
hala1252	Halang	Austroasiatic	Eurasia	82	62	53	85.48
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	110	94	85.45
sana1297	San Andres Creole English	Indo-European	North America	168	128	109	85.16
bara1370	Baram Kayan	Austronesian	Papunesia	143	114	97	85.09
west2650	Western Cham	Austronesian	Eurasia	151	113	96	84.96
arig1246	Arigidi	Atlantic-Congo	Africa	142	112	95	84.82
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	125	106	84.8
gela1263	Gela	Austronesian	Papunesia	181	136	115	84.56
gebe1237	Gebe	Austronesian	Papunesia	129	110	93	84.55
piji1239	Pijin	Indo-European	Papunesia	154	123	104	84.55
tali1259	Talise	Austronesian	Papunesia	142	116	98	84.48
lauu1247	Lau	Austronesian	Papunesia	141	109	92	84.4
lach1248	Lachi	Tai-Kadai	Eurasia	167	128	108	84.38
haro1237	Haroi	Austronesian	Eurasia	95	82	69	84.15
east2485	Eastern Penan	Austronesian	Papunesia	147	119	100	84.03
chuu1238	Chuukese	Austronesian	Papunesia	132	117	98	83.76
emae1237	Emae	Austronesian	Papunesia	156	127	106	83.46
nati1244	Nati	Austronesian	Papunesia	127	114	95	83.33
jama1262	Jamaican Creole English	Indo-European	North America	157	119	99	83.19
alor1247	Alorese	Austronesian	Papunesia	168	130	108	83.08
viet1252	Vietnamese	Austroasiatic	Eurasia	140	112	93	83.04
lave1249	Brao	Austroasiatic	Eurasia	122	100	83	83
juku1254	Jukun Takum	Atlantic-Congo	Africa	187	141	117	82.98
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	88	73	82.95
karn1252	Karnai	Austronesian	Papunesia	142	117	97	82.91
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	140	116	82.86
rade1240	Rade	Austronesian	Eurasia	167	134	111	82.84
sooo1254	Sô	Austroasiatic	Eurasia	176	134	111	82.84
kens1248	Kensiu	Austroasiatic	Eurasia	164	128	106	82.81
maor1246	Maori	Austronesian	Papunesia	191	145	120	82.76
uuuu1243	U	Austroasiatic	Eurasia	139	116	96	82.76
yako1252	Yakoma	Atlantic-Congo	Africa	143	116	96	82.76
ndog1248	Ndogo	Atlantic-Congo	Africa	177	139	115	82.73
penr1237	Māngarongaro	Austronesian	Papunesia	117	98	81	82.65
unua1237	Unua	Austronesian	Papunesia	192	144	119	82.64
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	115	95	82.61
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	109	90	82.57
mban1263	Mbandja	Atlantic-Congo	Africa	162	137	113	82.48
chek1238	Cheke Holo	Austronesian	Papunesia	167	131	108	82.44
mota1237	Mota	Austronesian	Papunesia	107	91	75	82.42
mala1479	Colloquial Malay	Austronesian	Eurasia	153	119	98	82.35
enuu1235	Enu	Sino-Tibetan	Eurasia	193	147	121	82.31
labo1244	Ninde	Austronesian	Papunesia	122	96	79	82.29
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	141	116	82.27
malu1245	Malua Bay	Austronesian	Papunesia	173	141	116	82.27
siku1242	Sikule	Austronesian	Papunesia	140	107	88	82.24
kuyy1240	Kuy	Austroasiatic	Eurasia	174	135	111	82.22
keoo1238	Kéo	Austronesian	Papunesia	187	140	115	82.14
para1301	South Wa	Austroasiatic	Eurasia	185	140	115	82.14
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	140	115	82.14
west2600	West Makian	North Halmahera	Papunesia	151	117	96	82.05
tsat1238	Tsat	Austronesian	Eurasia	183	139	114	82.01
moke1242	Moken	Austronesian	Eurasia	171	133	109	81.95
east2563	Eastern Cham	Austronesian	Eurasia	92	83	68	81.93
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	116	95	81.9
tolo1255	Tolomako	Austronesian	Papunesia	120	105	86	81.9
wala1266	Wala	Austronesian	Papunesia	150	116	95	81.9
rapa1244	Rapanui	Austronesian	Papunesia	163	127	104	81.89
huuu1240	Hu	Austroasiatic	Eurasia	175	138	113	81.88
bisu1244	Bisu	Sino-Tibetan	Eurasia	187	143	117	81.82
dehu1237	Dehu	Austronesian	Papunesia	150	121	99	81.82
tane1237	Tanema	Austronesian	Papunesia	154	121	99	81.82
raro1241	Southern Cook Island Maori	Austronesian	Papunesia	173	137	112	81.75
iban1264	Iban	Austronesian	Papunesia	188	142	116	81.69
shwe1236	Shwe Palaung	Austroasiatic	Eurasia	167	131	107	81.68
aoua1234	A'ou	Tai-Kadai	Eurasia	187	141	115	81.56
sika1261	Sikaiana	Austronesian	Papunesia	173	130	106	81.54
rapa1245	Mangaia-Old Rapa	Austronesian	Papunesia	193	146	119	81.51
gilb1244	Gilbertese	Austronesian	Papunesia	171	135	110	81.48
nort2994	Northern Roglai	Austronesian	Eurasia	90	81	66	81.48
waro1242	Waropen	Austronesian	Papunesia	137	108	88	81.48
tang1347	Movono	Austronesian	Papunesia	159	124	101	81.45
west2564	West Berawan	Austronesian	Papunesia	83	70	57	81.43
east1236	Eastern Katu	Austroasiatic	Eurasia	106	86	70	81.4
pate1247	Patep	Austronesian	Papunesia	142	107	87	81.31
hote1245	Hote	Austronesian	Papunesia	162	123	100	81.3
jara1266	Jarai	Austronesian	Eurasia	156	123	100	81.3
sapu1248	Sapuan	Austroasiatic	Eurasia	152	123	100	81.3
tokp1240	Tok Pisin	Indo-European	Papunesia	184	139	113	81.29
berb1259	Berbice Creole Dutch	Indo-European	South America	170	128	104	81.25
ahom1240	Ahom	Tai-Kadai	Eurasia	178	133	108	81.2
samb1305	Samba Leko	Atlantic-Congo	Africa	172	133	108	81.2
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	133	108	81.2
vano1237	Lovono	Austronesian	Papunesia	146	117	95	81.2
amar1272	Amara	Austronesian	Papunesia	148	122	99	81.15
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	132	107	81.06
mamb1306	Mambae	Austronesian	Papunesia	169	132	107	81.06
guru1271	Guruntum-Mbaaru	Afro-Asiatic	Africa	181	137	111	81.02
esan1238	Esan	Atlantic-Congo	Africa	123	100	81	81
kimm1246	Kim	Atlantic-Congo	Africa	129	100	81	81
abun1252	Abun		Papunesia	195	147	119	80.95
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	105	85	80.95
oldm1243	Old Malay	Austronesian	Papunesia	119	105	85	80.95
honi1244	Honi	Sino-Tibetan	Eurasia	165	131	106	80.92
sema1266	Semai	Austroasiatic	Eurasia	141	115	93	80.87
cent2314	Central Chong	Austroasiatic	Eurasia	187	141	114	80.85
