Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
nyun1247	Nyunga	Pama-Nyungan	Australia	26	23	21	91.3
kima1246	Kimaama	Kolopom	Papunesia	92	90	82	91.11
ndom1245	Ndom	Kolopom	Papunesia	74	71	64	90.14
awab1243	Awabakal	Pama-Nyungan	Australia	67	44	38	86.36
kren1239	Krenak	Nuclear-Macro-Je	South America	111	84	72	85.71
kara1476	Karadjeri	Pama-Nyungan	Australia	67	41	35	85.37
kaur1267	Kaurna	Pama-Nyungan	Australia	48	32	27	84.38
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	25	21	84
siam1242	Siamou		Africa	134	85	71	83.53
pawa1255	Pawaia		Papunesia	110	95	79	83.16
fala1243	Falam Chin	Sino-Tibetan	Eurasia	143	89	74	83.15
dyir1250	Dyirbal	Pama-Nyungan	Australia	78	47	39	82.98
azha1235	Azha	Sino-Tibetan	Eurasia	151	93	77	82.8
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	87	72	82.76
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	108	89	82.41
para1311	Paraguayan Guaraní	Tupian	South America	54	34	28	82.35
tega1236	Tegali	Rashad	Africa	82	73	60	82.19
kara1499	Kalamang	West Bomberai	Papunesia	99	84	69	82.14
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	111	91	81.98
toar1246	Toaripi	Eleman	Papunesia	186	111	91	81.98
gese1240	Geser-Gorom	Austronesian	Papunesia	69	55	45	81.82
amas1236	Ama (Sudan)	Nyimang	Africa	166	109	89	81.65
kunz1244	Kunza		South America	72	70	57	81.43
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	101	82	81.19
enuu1235	Enu	Sino-Tibetan	Eurasia	193	111	90	81.08
mann1248	Mann	Mande	Africa	124	74	60	81.08
hrus1242	Hruso		Eurasia	89	79	64	81.01
nina1238	Ninam	Yanomamic	South America	61	42	34	80.95
arig1246	Arigidi	Atlantic-Congo	Africa	142	99	80	80.81
kama1367	Kamasau	Nuclear Torricelli	Papunesia	94	57	46	80.7
nucl1595	Kwerba	Greater Kwerba	Papunesia	132	98	79	80.61
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	98	79	80.61
akha1245	Akha	Sino-Tibetan	Eurasia	159	103	83	80.58
cane1242	Canela-Krahô	Nuclear-Macro-Je	South America	173	103	83	80.58
avok1242	Avokaya	Central Sudanic	Africa	122	82	66	80.49
koir1240	Koireng	Sino-Tibetan	Eurasia	155	102	82	80.39
kats1235	Katso	Sino-Tibetan	Eurasia	186	107	86	80.37
kusu1250	Kusunda		Eurasia	173	107	86	80.37
lipo1242	Lipo	Sino-Tibetan	Eurasia	192	112	90	80.36
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	112	90	80.36
