Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	11	10	90.91
gada1258	Ga'dang	Austronesian	Papunesia	70	65	58	89.23
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	108	95	87.96
dhao1237	Dhao	Austronesian	Papunesia	189	170	146	85.88
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	99	85	85.86
keri1250	Kerinci	Austronesian	Papunesia	127	112	96	85.71
lotu1250	Lotud	Austronesian	Papunesia	132	118	100	84.75
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	118	100	84.75
haro1237	Haroi	Austronesian	Eurasia	95	90	76	84.44
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	131	110	83.97
nort2994	Northern Roglai	Austronesian	Eurasia	90	81	68	83.95
damp1237	Dampelas	Austronesian	Papunesia	159	149	125	83.89
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	124	104	83.87
taga1272	Tagabawa	Austronesian	Papunesia	161	148	124	83.78
bant1288	Bantoanon	Austronesian	Papunesia	124	117	98	83.76
naro1251	Narom	Austronesian	Papunesia	132	121	101	83.47
iran1262	Iranun	Austronesian	Papunesia	138	126	105	83.33
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	60	50	83.33
tomb1244	Tombonuo	Austronesian	Papunesia	136	125	104	83.2
iban1264	Iban	Austronesian	Papunesia	188	166	138	83.13
biha1246	Bih	Austronesian	Eurasia	182	159	132	83.02
mual1241	Mualang	Austronesian	Papunesia	189	169	140	82.84
taji1246	Tajio	Austronesian	Papunesia	184	167	138	82.63
long1395	Longgu	Austronesian	Papunesia	151	138	114	82.61
rung1259	Rungus	Austronesian	Papunesia	137	124	102	82.26
bala1311	Balangingi	Austronesian	Papunesia	153	146	120	82.19
west2397	Western Bru	Austroasiatic	Eurasia	157	150	123	82
masb1238	Masbatenyo	Austronesian	Papunesia	172	161	132	81.99
oroh1237	Oroha	Austronesian	Papunesia	118	111	91	81.98
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	122	100	81.97
mara1404	Maranao	Austronesian	Papunesia	128	116	95	81.9
jehh1245	Jeh	Austroasiatic	Eurasia	139	127	104	81.89
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	165	135	81.82
reng1252	Rengao	Austroasiatic	Eurasia	172	154	126	81.82
oldm1242	Old Mon	Austroasiatic	Eurasia	171	153	125	81.7
east2485	Eastern Penan	Austronesian	Papunesia	147	131	107	81.68
east2332	Eastern Bru	Austroasiatic	Eurasia	134	125	102	81.6
gela1263	Gela	Austronesian	Papunesia	181	162	132	81.48
chra1242	Chrau	Austroasiatic	Eurasia	166	150	122	81.33
ughe1237	Ughele	Austronesian	Papunesia	182	166	135	81.33
lauu1247	Lau	Austronesian	Papunesia	141	128	104	81.25
sema1265	Semaq Beri	Austroasiatic	Eurasia	181	160	130	81.25
siku1242	Sikule	Austronesian	Papunesia	140	128	104	81.25
khmu1256	Khmu	Austroasiatic	Eurasia	167	149	121	81.21
bara1370	Baram Kayan	Austronesian	Papunesia	143	133	108	81.2
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	170	138	81.18
seda1262	Sedang	Austroasiatic	Eurasia	178	163	132	80.98
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	126	102	80.95
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	63	51	80.95
nort2828	North Moluccan Malay	Austronesian	Papunesia	164	147	119	80.95
mang1405	Manggarai	Austronesian	Papunesia	168	152	123	80.92
bann1247	Bannoni	Austronesian	Papunesia	72	68	55	80.88
hili1240	Hiligaynon	Austronesian	Papunesia	77	68	55	80.88
lund1271	Lundayeh	Austronesian	Papunesia	141	130	105	80.77
tali1259	Talise	Austronesian	Papunesia	142	130	105	80.77
paco1243	Pacoh	Austroasiatic	Eurasia	188	166	134	80.72
mala1479	Colloquial Malay	Austronesian	Eurasia	153	140	113	80.71
gayo1244	Gayo	Austronesian	Papunesia	193	171	138	80.7
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	145	117	80.69
sanb1241	San Baltazar Loxicha Zapotec	Otomanguean	North America	147	129	104	80.62
wall1257	East Uvean	Austronesian	Papunesia	189	170	137	80.59
isin1239	Isinai	Austronesian	Papunesia	152	139	112	80.58
tuva1244	Tuvalu	Austronesian	Papunesia	179	159	128	80.5
kaur1267	Kaurna	Pama-Nyungan	Australia	48	41	33	80.49
buga1247	Bugan	Austroasiatic	Eurasia	190	169	136	80.47
mort1237	Mortlockese	Austronesian	Papunesia	141	128	103	80.47
papu1250	Papuan Malay	Austronesian	Papunesia	191	169	136	80.47
rata1244	Ratahan	Austronesian	Papunesia	166	153	123	80.39
thao1240	Thao	Austronesian	Papunesia	170	153	123	80.39
beta1252	Betawi	Austronesian	Papunesia	170	147	118	80.27
lave1248	Laven	Austroasiatic	Eurasia	180	162	130	80.25
sira1267	Sirayaic	Austronesian	Papunesia	177	157	126	80.25
pend1242	Pendau	Austronesian	Papunesia	185	167	134	80.24
aros1241	Arosi	Austronesian	Papunesia	141	131	105	80.15
jahh1242	Jah Hut	Austroasiatic	Eurasia	146	131	105	80.15
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	131	105	80.15
mina1268	Minangkabau	Austronesian	Papunesia	164	141	113	80.14
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	151	121	80.13
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	166	133	80.12
sooo1254	Sô	Austroasiatic	Eurasia	176	161	129	80.12
agut1237	Agutaynen	Austronesian	Papunesia	161	145	116	80
huuu1240	Hu	Austroasiatic	Eurasia	175	155	124	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
rotu1241	Rotuman	Austronesian	Papunesia	163	150	120	80
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	164	131	79.88
yaka1277	Yakan	Austronesian	Papunesia	178	159	127	79.87
labu1248	Labu	Austronesian	Papunesia	154	139	111	79.86
mban1263	Mbandja	Atlantic-Congo	Africa	162	144	115	79.86
east1236	Eastern Katu	Austroasiatic	Eurasia	106	94	75	79.79
taus1251	Tausug	Austronesian	Papunesia	179	163	130	79.75
leng1259	Lengo	Austronesian	Papunesia	172	153	122	79.74
timu1262	Timugon Murut	Austronesian	Papunesia	153	143	114	79.72
wala1266	Wala	Austronesian	Papunesia	150	138	110	79.71
kina1250	Kinaray-a	Austronesian	Papunesia	143	133	106	79.7
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	118	94	79.66
bahn1262	Bahnar	Austroasiatic	Eurasia	117	108	86	79.63
kute1249	Kutenai		North America	132	122	97	79.51
lubu1243	Lubuagan Kalinga	Austronesian	Papunesia	141	122	97	79.51
mini1251	Minigir	Austronesian	Papunesia	178	161	128	79.5
kamb1299	Kambera	Austronesian	Papunesia	175	156	124	79.49
maro1244	Marovo	Austronesian	Papunesia	84	78	62	79.49
sara1327	Sarangani Manobo	Austronesian	Papunesia	130	117	93	79.49
lach1248	Lachi	Tai-Kadai	Eurasia	167	151	120	79.47
daak1235	Da'a Kaili	Austronesian	Papunesia	123	112	89	79.46
achi1257	Acehnese	Austronesian	Papunesia	192	170	135	79.41
nyal1254	Belep	Austronesian	Papunesia	180	160	127	79.38
uuuu1243	U	Austroasiatic	Eurasia	139	126	100	79.37
atii1237	Ati	Austronesian	Papunesia	115	111	88	79.28
kawi1241	Kawi	Austronesian	Papunesia	128	111	88	79.28
kari1254	Kariri		South America	177	159	126	79.25
cent2050	Central Kanuri	Saharan	Africa	173	154	122	79.22
sooo1256	Soo	Kuliak	Africa	82	77	61	79.22
