Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	6	6	100
kaur1267	Kaurna	Pama-Nyungan	Australia	48	32	28	87.5
dhar1247	Dhargari	Pama-Nyungan	Australia	77	52	45	86.54
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	39	33	84.62
mati1250	Matigsalug Manobo	Austronesian	Papunesia	177	123	103	83.74
awab1243	Awabakal	Pama-Nyungan	Australia	67	48	40	83.33
cent2090	Central Tagbanwa	Austronesian	Papunesia	166	120	99	82.5
tiru1241	Tiruray	Austronesian	Papunesia	145	114	94	82.46
monn1252	Mon	Austroasiatic	Eurasia	91	67	55	82.09
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	83	68	81.93
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	110	90	81.82
amas1236	Ama (Sudan)	Nyimang	Africa	166	126	103	81.75
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	104	85	81.73
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	92	75	81.52
xink1235	Xinka-Jumaytepeque	Xincan	North America	150	102	83	81.37
ying1247	Yinggarda	Pama-Nyungan	Australia	65	48	39	81.25
kara1499	Kalamang	West Bomberai	Papunesia	99	74	60	81.08
taga1272	Tagabawa	Austronesian	Papunesia	161	121	98	80.99
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	120	97	80.83
buna1276	Bunama	Austronesian	Papunesia	125	98	79	80.61
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	98	79	80.61
xinc1243	Xinca-Yupiltepeque	Xincan	North America	154	108	87	80.56
cani1243	Canichana		South America	50	41	33	80.49
keri1250	Kerinci	Austronesian	Papunesia	127	87	70	80.46
wira1265	Wirangu	Pama-Nyungan	Australia	66	46	37	80.43
suru1261	Suruí Do Pará	Tupian	South America	68	61	49	80.33
puqu1242	Puquina		South America	118	81	65	80.25
tolo1255	Tolomako	Austronesian	Papunesia	120	91	73	80.22
mans1262	Mansaka	Austronesian	Papunesia	127	96	77	80.21
cent1990	Central Nicobarese	Austroasiatic	Eurasia	169	125	100	80
kara1476	Karadjeri	Pama-Nyungan	Australia	67	45	36	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
penr1237	Māngarongaro	Austronesian	Papunesia	117	85	68	80
