Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	4	4	100
goro1270	Gorowa	Afro-Asiatic	Africa	13	4	4	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	3	3	100
pawa1255	Pawaia		Papunesia	110	51	48	94.12
nyun1247	Nyunga	Pama-Nyungan	Australia	26	13	12	92.31
awac1239	Awa-Cuaiquer	Barbacoan	South America	157	76	69	90.79
komb1274	Kombai	Nuclear Trans New Guinea	Papunesia	182	82	73	89.02
kara1476	Karadjeri	Pama-Nyungan	Australia	67	27	24	88.89
anuf1239	Anufo	Atlantic-Congo	Africa	162	74	65	87.84
haru1245	Haruai	Piawi	Papunesia	178	78	68	87.18
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	39	34	87.18
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	166	74	64	86.49
bamb1269	Bambara	Mande	Africa	104	63	54	85.71
azha1235	Azha	Sino-Tibetan	Eurasia	151	69	59	85.51
kana1288	Kanasi	Dagan	Papunesia	92	80	68	85
goli1247	Golin	Nuclear Trans New Guinea	Papunesia	88	79	67	84.81
kima1246	Kimaama	Kolopom	Papunesia	92	39	33	84.62
koro1312	Korowai	Nuclear Trans New Guinea	Papunesia	96	78	66	84.62
nina1238	Ninam	Yanomamic	South America	61	26	22	84.62
siam1242	Siamou		Africa	134	65	55	84.62
kalu1248	Kaluli	Bosavi	Papunesia	96	84	71	84.52
anfi1235	Anfillo	Ta-Ne-Omotic	Africa	108	58	49	84.48
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	45	38	84.44
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	64	54	84.38
tibe1274	Tibea	Atlantic-Congo	Africa	95	32	27	84.38
darm1243	Darma	Sino-Tibetan	Eurasia	179	76	64	84.21
apma1241	Ap Ma	Keram	Papunesia	126	75	63	84
kuma1280	Kuman	Nuclear Trans New Guinea	Papunesia	153	75	63	84
kurt1248	Kurtokha	Sino-Tibetan	Eurasia	98	81	68	83.95
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	81	68	83.95
nucl1593	Kwomtari	Kwomtari-Nai	Papunesia	175	81	68	83.95
mann1248	Mann	Mande	Africa	124	74	62	83.78
jams1239	Jamsay Dogon	Dogon	Africa	169	80	67	83.75
bent1238	Ben Tey Dogon	Dogon	Africa	170	79	66	83.54
fore1270	Fore	Nuclear Trans New Guinea	Papunesia	97	83	69	83.13
wamb1259	Wambon	Nuclear Trans New Guinea	Papunesia	94	83	69	83.13
dyul1238	Dyula	Mande	Africa	157	71	59	83.1
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	71	59	83.1
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	76	63	82.89
lule1238	Lule		South America	146	70	58	82.86
fait1240	Kulsab	Nuclear Trans New Guinea	Papunesia	126	58	48	82.76
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	29	24	82.76
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	73	60	82.19
tagw1240	Tagwana Senoufo	Atlantic-Congo	Africa	115	56	46	82.14
lach1248	Lachi	Tai-Kadai	Eurasia	167	78	64	82.05
lipo1242	Lipo	Sino-Tibetan	Eurasia	192	83	68	81.93
aghu1255	Aghu	Nuclear Trans New Guinea	Papunesia	175	77	63	81.82
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	77	63	81.82
kaur1267	Kaurna	Pama-Nyungan	Australia	48	22	18	81.82
kimm1246	Kim	Atlantic-Congo	Africa	129	66	54	81.82
kado1242	Kado	Sino-Tibetan	Eurasia	184	82	67	81.71
ango1257	Angosturas Tunebo	Chibchan	South America	136	71	58	81.69
idom1241	Idoma	Atlantic-Congo	Africa	144	60	49	81.67
sani1269	Sani	Sino-Tibetan	Eurasia	168	76	62	81.58
idum1241	Idu	Sino-Tibetan	Eurasia	151	65	53	81.54
nucl1632	Sentani	Sentanic	Papunesia	143	65	53	81.54
fefe1239	Fe'fe'	Atlantic-Congo	Africa	142	54	44	81.48
kamu1260	Kamula	Kamula-Elevala	Papunesia	185	81	66	81.48
uman1240	Umanakaina	Dagan	Papunesia	99	81	66	81.48
