Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
nort3047	North Giziga	Afro-Asiatic	Africa	176	147	127	86.39
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	7	6	85.71
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	76	65	85.53
ngam1268	Ngambay	Central Sudanic	Africa	156	134	113	84.33
kimm1246	Kim	Atlantic-Congo	Africa	129	113	95	84.07
piji1239	Pijin	Indo-European	Papunesia	154	127	106	83.46
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	12	10	83.33
blan1242	Blang	Austroasiatic	Eurasia	159	137	114	83.21
yako1252	Yakoma	Atlantic-Congo	Africa	143	124	103	83.06
beel1236	Beele	Afro-Asiatic	Africa	52	47	39	82.98
kaba1281	Kaba	Central Sudanic	Africa	166	133	110	82.71
tera1251	Tera	Afro-Asiatic	Africa	152	132	109	82.58
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	136	112	82.35
west2650	Western Cham	Austronesian	Eurasia	151	130	107	82.31
hone1235	Hõne	Atlantic-Congo	Africa	177	146	120	82.19
samb1305	Samba Leko	Atlantic-Congo	Africa	172	145	119	82.07
gaaa1245	Gaa	Atlantic-Congo	Africa	79	72	59	81.94
mato1252	Mato	Austronesian	Papunesia	169	142	116	81.69
kute1248	Kutep	Atlantic-Congo	Africa	163	136	111	81.62
fonn1241	Fon	Atlantic-Congo	Africa	189	152	124	81.58
ngeq1245	Kriang-Khlor	Austroasiatic	Eurasia	134	114	93	81.58
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	141	115	81.56
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	157	128	81.53
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	140	114	81.43
lach1248	Lachi	Tai-Kadai	Eurasia	167	139	113	81.29
mbay1241	Mbay	Central Sudanic	Africa	173	139	113	81.29
kolb1240	Kolbila	Atlantic-Congo	Africa	178	149	121	81.21
mund1326	Mündü	Atlantic-Congo	Africa	120	101	82	81.19
koyr1240	Koyra Chiini Songhay	Songhay	Africa	169	138	112	81.16
aoua1234	A'ou	Tai-Kadai	Eurasia	187	158	128	81.01
mpur1239	Mpur		Papunesia	185	152	123	80.92
sora1254	Sora	Austroasiatic	Eurasia	145	120	97	80.83
ngas1240	Ngas	Afro-Asiatic	Africa	176	146	118	80.82
anuf1239	Anufo	Atlantic-Congo	Africa	162	130	105	80.77
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	156	126	80.77
sisi1250	Sisiqa	Austronesian	Papunesia	71	57	46	80.7
baba1267	Baba Malay	Austronesian	Eurasia	191	155	125	80.65
juku1254	Jukun Takum	Atlantic-Congo	Africa	187	155	125	80.65
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	134	108	80.6
boly1239	Bolyu	Austroasiatic	Eurasia	166	139	112	80.58
mokl1243	Moklen	Austronesian	Eurasia	181	154	124	80.52
marg1265	Marghi Central	Afro-Asiatic	Africa	184	153	123	80.39
mina1276	Mina (Cameroon)	Afro-Asiatic	Africa	185	153	123	80.39
abun1252	Abun		Papunesia	195	158	127	80.38
