Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	3	3	100
goro1270	Gorowa	Afro-Asiatic	Africa	13	5	5	100
gung1248	Gungabula	Pama-Nyungan	Australia	44	14	14	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	4	4	100
nkor1239	Nkoroo	Ijoid	Africa	54	13	13	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	5	100
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	4	4	100
ndom1245	Ndom	Kolopom	Papunesia	74	15	14	93.33
suru1262	Suruí	Tupian	South America	18	12	11	91.67
defa1248	Defaka	Ijoid	Africa	75	21	19	90.48
cupe1243	Cupeño	Uto-Aztecan	North America	48	10	9	90
dier1241	Dieri	Pama-Nyungan	Australia	66	23	20	86.96
kara1499	Kalamang	West Bomberai	Papunesia	99	23	20	86.96
siri1274	Siriano	Tucanoan	South America	122	38	33	86.84
zigu1244	Zigula-Mushungulu	Atlantic-Congo	Africa	54	15	13	86.67
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	43	37	86.05
ache1246	Aché	Tupian	South America	78	28	24	85.71
aona1235	Ao Naga	Sino-Tibetan	Eurasia	185	42	36	85.71
wara1292	Samue	Atlantic-Congo	Africa	65	14	12	85.71
aeky1238	Aekyom	Kamula-Elevala	Papunesia	120	34	29	85.29
siaw1243	Siawi	Amto-Musan	Papunesia	123	34	29	85.29
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	27	23	85.19
rumu1243	Rumu	Turama-Kikori	Papunesia	73	27	23	85.19
chac1249	Cha'palaa	Barbacoan	South America	91	20	17	85
dyir1250	Dyirbal	Pama-Nyungan	Australia	78	26	22	84.62
hozo1236	Hozo	Blue Nile Mao	Africa	87	32	27	84.38
garo1247	Garo	Sino-Tibetan	Eurasia	164	38	32	84.21
anga1288	Angami Naga	Sino-Tibetan	Eurasia	180	44	37	84.09
mara1396	Mararit	Tamaic	Africa	92	25	21	84
embe1260	Emberá-Catío	Chocoan	South America	164	37	31	83.78
pana1305	Panamint	Uto-Aztecan	North America	41	12	10	83.33
fuln1247	Fulniô		South America	177	41	34	82.93
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	41	34	82.93
east2379	Eastern Arrernte	Pama-Nyungan	Australia	93	29	24	82.76
dizi1235	Dizin	Dizoid	Africa	57	23	19	82.61
hrus1242	Hruso		Eurasia	89	23	19	82.61
onge1236	Önge	Jarawa-Onge	Eurasia	46	23	19	82.61
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	23	19	82.61
cent2150	Central Tunebo	Chibchan	South America	159	40	33	82.5
tsam1247	Tsamai	Afro-Asiatic	Africa	185	40	33	82.5
nati1243	Natioro	Atlantic-Congo	Africa	51	17	14	82.35
safw1238	Safwa	Atlantic-Congo	Africa	48	17	14	82.35
tama1331	Tama (Chad)	Tamaic	Africa	139	34	28	82.35
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	39	32	82.05
yaey1239	Yaeyama	Japonic	Eurasia	155	39	32	82.05
hinu1240	Hinuq	Nakh-Daghestanian	Eurasia	99	33	27	81.82
epen1239	Epena	Chocoan	South America	157	38	31	81.58
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	27	22	81.48
djam1256	Djambarrpuyngu	Pama-Nyungan	Australia	91	32	26	81.25
fasu1242	Fasu		Papunesia	120	32	26	81.25
para1311	Paraguayan Guaraní	Tupian	South America	54	16	13	81.25
arab1267	Arabana	Pama-Nyungan	Australia	62	21	17	80.95
wira1265	Wirangu	Pama-Nyungan	Australia	66	21	17	80.95
dera1245	Dera (Indonesia)	Senagi	Papunesia	93	31	25	80.65
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	31	25	80.65
mari1414	Maria (India)	Dravidian	Eurasia	119	36	29	80.56
tuvi1240	Tuvinian	Turkic	Eurasia	154	36	29	80.56
guhu1244	Guhu-Samane	Nuclear Trans New Guinea	Papunesia	167	41	33	80.49
kamu1260	Kamula	Kamula-Elevala	Papunesia	185	41	33	80.49
shan1283	Shanenawa	Pano-Tacanan	South America	171	41	33	80.49
burm1264	Burmeso		Papunesia	65	15	12	80
cent2126	Central Okinawan	Japonic	Eurasia	153	35	28	80
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	15	12	80
kunz1244	Kunza		South America	72	15	12	80
maru1252	Marúbo	Pano-Tacanan	South America	126	35	28	80
nonu1241	Nonuya	Huitotoan	South America	54	20	16	80
nort2972	Northern Emberá	Chocoan	South America	167	40	32	80
soma1255	Somali	Afro-Asiatic	Africa	97	30	24	80
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	5	4	80
daas1238	Daasanach	Afro-Asiatic	Africa	191	44	35	79.55
mala1464	Malayalam	Dravidian	Eurasia	192	44	35	79.55
chan1313	Chang Naga	Sino-Tibetan	Eurasia	170	39	31	79.49
even1260	Even	Tungusic	Eurasia	141	34	27	79.41
hupd1244	Hup	Naduhup	South America	160	38	30	78.95
muth1236	Muthuvan	Dravidian	Eurasia	143	33	26	78.79
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	33	26	78.79
unaa1239	Una	Nuclear Trans New Guinea	Papunesia	85	33	26	78.79
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	42	33	78.57
maqu1238	Ye'kwana	Cariban	South America	56	14	11	78.57
papa1268	Papar	Austronesian	Papunesia	47	14	11	78.57
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	14	11	78.57
sout2826	Southern Grebo	Kru	Africa	85	28	22	78.57
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	23	18	78.26
pima1248	Pima Bajo	Uto-Aztecan	North America	163	41	32	78.05
tonk1249	Tonkawa		North America	156	41	32	78.05
nort2951	Northwest Maidu	Maiduan	North America	142	36	28	77.78
nucl1630	Barai	Koiarian	Papunesia	168	36	28	77.78
poya1241	Poyanáwa	Pano-Tacanan	South America	50	18	14	77.78
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	40	31	77.5
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	40	31	77.5
mala1463	Malavedan	Dravidian	Eurasia	163	40	31	77.5
west2441	Western Arrarnta	Pama-Nyungan	Australia	159	40	31	77.5
yano1261	Yanomamö	Yanomamic	South America	172	40	31	77.5
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	22	17	77.27
saur1249	Sauria Paharia	Dravidian	Eurasia	179	44	34	77.27
tang1377	Tangam	Sino-Tibetan	Eurasia	179	44	34	77.27
tuca1252	Tucano	Tucanoan	South America	67	22	17	77.27
bash1264	Bashkir	Turkic	Eurasia	161	39	30	76.92
kaur1267	Kaurna	Pama-Nyungan	Australia	48	13	10	76.92
koit1244	Koitabu	Koiarian	Papunesia	168	39	30	76.92
serr1255	Serrano	Uto-Aztecan	North America	183	39	30	76.92
crim1257	Crimean Tatar	Turkic	Eurasia	179	43	33	76.74
anfi1235	Anfillo	Ta-Ne-Omotic	Africa	108	30	23	76.67
esee1247	Ese	Koiarian	Papunesia	75	30	23	76.67
cabe1245	Cabécar	Chibchan	North America	139	34	26	76.47
djin1253	Djinang	Pama-Nyungan	Australia	59	17	13	76.47
ekar1243	Ekari	Nuclear Trans New Guinea	Papunesia	151	34	26	76.47
foii1241	Foi	East Kutubu	Papunesia	118	34	26	76.47
paez1247	Páez		South America	45	17	13	76.47
rend1243	Rendille	Afro-Asiatic	Africa	44	17	13	76.47
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	34	26	76.47
kada1242	Kadar	Dravidian	Eurasia	156	38	29	76.32
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	38	29	76.32
misk1235	Mískito	Misumalpan	North America	162	38	29	76.32
aime1238	Aimele	Bosavi	Papunesia	177	42	32	76.19
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	21	16	76.19
halh1238	Halh Mongolian	Mongolic-Khitan	Eurasia	185	42	32	76.19
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	42	32	76.19
shua1257	Shuar	Chicham	South America	147	42	32	76.19
pume1238	Pumé		South America	137	29	22	75.86
telu1262	Telugu	Dravidian	Eurasia	127	29	22	75.86
koro1313	Koromira	South Bougainville	Papunesia	127	33	25	75.76
nyaw1247	Nyawaygi	Pama-Nyungan	Australia	93	33	25	75.76
mund1330	Mundurukú	Tupian	South America	161	37	28	75.68
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	41	31	75.61
