Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	145	138	95.17
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	66	62	93.94
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	12	92.31
manm1238	Man Met	Austroasiatic	Eurasia	150	142	131	92.25
hala1252	Halang	Austroasiatic	Eurasia	82	77	71	92.21
yinc1238	Yinchia	Austroasiatic	Eurasia	65	62	57	91.94
bang1369	Bangru	Sino-Tibetan	Eurasia	151	135	124	91.85
khan1274	Kháng	Austroasiatic	Eurasia	168	159	146	91.82
mang1378	Mang	Austroasiatic	Eurasia	158	152	139	91.45
boly1239	Bolyu	Austroasiatic	Eurasia	166	151	138	91.39
shee1238	She	Hmong-Mien	Eurasia	162	150	137	91.33
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	124	113	91.13
azha1235	Azha	Sino-Tibetan	Eurasia	151	138	125	90.58
boka1249	Bokar-Ramo	Sino-Tibetan	Eurasia	151	146	132	90.41
enuu1235	Enu	Sino-Tibetan	Eurasia	193	166	150	90.36
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	164	148	90.24
naxi1245	Naxi	Sino-Tibetan	Eurasia	132	122	110	90.16
mand1415	Mandarin Chinese	Sino-Tibetan	Eurasia	195	168	151	89.88
pela1242	Pela	Sino-Tibetan	Eurasia	194	167	150	89.82
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	166	149	89.76
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	166	149	89.76
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	163	146	89.57
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	143	128	89.51
mokl1243	Moklen	Austronesian	Eurasia	181	162	145	89.51
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	167	149	89.22
bitt1240	Bit	Austroasiatic	Eurasia	153	148	132	89.19
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	166	148	89.16
nort2994	Northern Roglai	Austronesian	Eurasia	90	83	74	89.16
hani1248	Hani	Sino-Tibetan	Eurasia	186	162	144	88.89
lave1249	Brao	Austroasiatic	Eurasia	122	108	96	88.89
tang1334	Tangut	Sino-Tibetan	Eurasia	151	135	120	88.89
tsat1238	Tsat	Austronesian	Eurasia	183	162	144	88.89
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	152	135	88.82
uuuu1243	U	Austroasiatic	Eurasia	139	124	110	88.71
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	159	141	88.68
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	150	133	88.67
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	52	46	88.46
huuu1240	Hu	Austroasiatic	Eurasia	175	155	137	88.39
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	135	119	88.15
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	159	140	88.05
buga1247	Bugan	Austroasiatic	Eurasia	190	167	147	88.02
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	165	145	87.88
