Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
homa1239	Homa	Atlantic-Congo	Africa	14	14	14	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
yinc1238	Yinchia	Austroasiatic	Eurasia	65	63	62	98.41
hala1252	Halang	Austroasiatic	Eurasia	82	73	71	97.26
uuuu1243	U	Austroasiatic	Eurasia	139	116	109	93.97
cent2314	Central Chong	Austroasiatic	Eurasia	187	147	138	93.88
nort2994	Northern Roglai	Austronesian	Eurasia	90	81	76	93.83
blan1242	Blang	Austroasiatic	Eurasia	159	135	126	93.33
lave1249	Brao	Austroasiatic	Eurasia	122	112	104	92.86
west2650	Western Cham	Austronesian	Eurasia	151	125	116	92.8
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	122	113	92.62
mans1260	Mansim	Hatam-Mansim	Papunesia	71	67	62	92.54
mokl1243	Moklen	Austronesian	Eurasia	181	147	136	92.52
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	53	49	92.45
kuyy1240	Kuy	Austroasiatic	Eurasia	174	142	131	92.25
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	151	139	92.05
naro1251	Narom	Austronesian	Papunesia	132	120	110	91.67
sooo1254	Sô	Austroasiatic	Eurasia	176	142	130	91.55
phon1246	Phong-Kniang	Austroasiatic	Eurasia	74	70	64	91.43
huuu1240	Hu	Austroasiatic	Eurasia	175	139	127	91.37
moke1242	Moken	Austronesian	Eurasia	171	139	127	91.37
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	150	137	91.33
monn1252	Mon	Austroasiatic	Eurasia	91	79	72	91.14
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	143	130	90.91
azha1235	Azha	Sino-Tibetan	Eurasia	151	130	118	90.77
chra1242	Chrau	Austroasiatic	Eurasia	166	139	126	90.65
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	138	125	90.58
shee1238	She	Hmong-Mien	Eurasia	162	138	125	90.58
west2397	Western Bru	Austroasiatic	Eurasia	157	135	122	90.37
haro1237	Haroi	Austronesian	Eurasia	95	83	75	90.36
laoo1244	Lao	Tai-Kadai	Eurasia	99	83	75	90.36
phai1238	Prai	Austroasiatic	Eurasia	186	145	131	90.34
seda1262	Sedang	Austroasiatic	Eurasia	178	143	129	90.21
east2332	Eastern Bru	Austroasiatic	Eurasia	134	122	110	90.16
bouy1240	Bouyei	Tai-Kadai	Eurasia	95	81	73	90.12
bahn1262	Bahnar	Austroasiatic	Eurasia	117	111	100	90.09
kimm1246	Kim	Atlantic-Congo	Africa	129	111	100	90.09
