Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	14	87.5
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	11	84.62
berb1259	Berbice Creole Dutch	Indo-European	South America	170	162	137	84.57
beli1260	Belize Kriol English	Indo-European	North America	130	122	103	84.43
sana1297	San Andres Creole English	Indo-European	North America	168	159	133	83.65
kara1499	Kalamang	West Bomberai	Papunesia	99	96	80	83.33
ngul1236	Nguluwan	Austronesian	Papunesia	56	53	44	83.02
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	111	92	82.88
mund1326	Mündü	Atlantic-Congo	Africa	120	110	91	82.73
shee1238	She	Hmong-Mien	Eurasia	162	151	124	82.12
jama1262	Jamaican Creole English	Indo-European	North America	157	149	122	81.88
saba1263	Sabah Malay	Austronesian	Papunesia	182	171	140	81.87
nica1252	Nicaragua Creole English	Indo-European	North America	157	149	121	81.21
jara1266	Jarai	Austronesian	Eurasia	156	146	118	80.82
lach1248	Lachi	Tai-Kadai	Eurasia	167	156	126	80.77
kima1246	Kimaama	Kolopom	Papunesia	92	88	71	80.68
azha1235	Azha	Sino-Tibetan	Eurasia	151	143	115	80.42
baha1260	Bahamas Creole English	Indo-European	North America	103	97	78	80.41
boka1249	Bokar-Ramo	Sino-Tibetan	Eurasia	151	142	114	80.28
limo1249	Limonese Creole	Indo-European	North America	143	136	109	80.15
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	146	117	80.14
kuyy1240	Kuy	Austroasiatic	Eurasia	174	166	133	80.12
keoo1238	Kéo	Austronesian	Papunesia	187	176	141	80.11
aoua1234	A'ou	Tai-Kadai	Eurasia	187	175	140	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
nawu1242	Nawuri	Atlantic-Congo	Africa	182	170	136	80
humb1243	Humburi Senni Songhay	Songhay	Africa	167	158	126	79.75
arig1246	Arigidi	Atlantic-Congo	Africa	142	133	106	79.7
mpii1239	Mpi	Sino-Tibetan	Eurasia	174	167	133	79.64
west2650	Western Cham	Austronesian	Eurasia	151	142	113	79.58
uuuu1243	U	Austroasiatic	Eurasia	139	132	105	79.55
jehh1245	Jeh	Austroasiatic	Eurasia	139	131	104	79.39
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	179	142	79.33
esan1238	Esan	Atlantic-Congo	Africa	123	116	92	79.31
ndog1248	Ndogo	Atlantic-Congo	Africa	177	168	133	79.17
anuf1239	Anufo	Atlantic-Congo	Africa	162	153	121	79.08
