Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	87	76	87.36
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	155	134	86.45
west2615	Western Apache	Athabaskan-Eyak-Tlingit	North America	164	152	131	86.18
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	176	147	83.52
goro1270	Gorowa	Afro-Asiatic	Africa	13	12	10	83.33
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	100	83	83
suru1262	Suruí	Tupian	South America	18	17	14	82.35
eyak1241	Eyak	Athabaskan-Eyak-Tlingit	North America	174	157	129	82.17
nava1243	Navajo	Athabaskan-Eyak-Tlingit	North America	185	168	138	82.14
chil1280	Chilcotin-Nicola	Athabaskan-Eyak-Tlingit	North America	183	166	136	81.93
cani1243	Canichana		South America	50	44	36	81.82
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	75	61	81.33
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	74	60	81.08
yawa1261	Yawalapití	Arawakan	South America	58	57	46	80.7
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	98	79	80.61
ndom1245	Ndom	Kolopom	Papunesia	74	72	58	80.56
kunz1244	Kunza		South America	72	71	57	80.28
mans1260	Mansim	Hatam-Mansim	Papunesia	71	65	52	80
west2624	Western Huasteca Nahuatl	Uto-Aztecan	North America	128	122	97	79.51
ines1240	Ineseño	Chumashan	North America	173	164	130	79.27
lafo1243	Lafofa		Africa	68	62	49	79.03
huic1243	Huichol	Uto-Aztecan	North America	179	162	128	79.01
avac1239	Avá-Canoeiro	Tupian	South America	153	142	112	78.87
coah1252	Coahuilteco		North America	129	123	97	78.86
esse1238	Esselen		North America	110	104	82	78.85
yukp1241	Yukpa	Cariban	South America	106	99	78	78.79
gali1262	Galibi Carib	Cariban	South America	173	160	126	78.75
hrus1242	Hruso		Eurasia	89	80	63	78.75
tepe1278	Tepecano	Uto-Aztecan	North America	121	112	88	78.57
miam1252	Miami	Algic	North America	120	111	87	78.38
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	129	101	78.29
