Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	11	10	90.91
daak1235	Da'a Kaili	Austronesian	Papunesia	123	100	82	82
bugi1244	Buginese	Austronesian	Papunesia	183	131	107	81.68
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	109	89	81.65
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	49	40	81.63
bara1370	Baram Kayan	Austronesian	Papunesia	143	105	85	80.95
iran1262	Iranun	Austronesian	Papunesia	138	107	86	80.37
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	107	86	80.37
maka1311	Makasar	Austronesian	Papunesia	86	71	57	80.28
naro1251	Narom	Austronesian	Papunesia	132	101	81	80.2
geme1244	Geme	Atlantic-Congo	Africa	6	5	4	80
laiy1246	Laiyolo	Austronesian	Papunesia	123	90	72	80
tomb1244	Tombonuo	Austronesian	Papunesia	136	104	83	79.81
term1237	Termanu	Austronesian	Papunesia	172	128	102	79.69
keri1250	Kerinci	Austronesian	Papunesia	127	92	73	79.35
bagi1246	Bagirmi	Central Sudanic	Africa	167	111	88	79.28
lotu1250	Lotud	Austronesian	Papunesia	132	101	80	79.21
saar1237	Saaroa	Austronesian	Papunesia	192	134	106	79.1
beta1252	Betawi	Austronesian	Papunesia	170	110	87	79.09
huba1236	Huba	Afro-Asiatic	Africa	151	110	87	79.09
lund1271	Lundayeh	Austronesian	Papunesia	141	108	85	78.7
rung1259	Rungus	Austronesian	Papunesia	137	108	85	78.7
siku1242	Sikule	Austronesian	Papunesia	140	103	81	78.64
sema1265	Semaq Beri	Austroasiatic	Eurasia	181	126	99	78.57
sema1266	Semai	Austroasiatic	Eurasia	141	111	87	78.38
tibe1274	Tibea	Atlantic-Congo	Africa	95	73	57	78.08
kana1286	Kanakanavu	Austronesian	Papunesia	147	108	84	77.78
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	103	80	77.67
mang1405	Manggarai	Austronesian	Papunesia	168	119	92	77.31
moni1237	Mangue	Otomanguean	North America	84	66	51	77.27
west2560	West Coast Bajau	Austronesian	Papunesia	179	132	102	77.27
kaga1256	Kagayanen	Austronesian	Papunesia	167	123	95	77.24
sasa1249	Sasak	Austronesian	Papunesia	150	105	81	77.14
saka1291	West Malagasy Sakalava	Austronesian	Africa	137	109	84	77.06
seme1247	Semelai	Austroasiatic	Eurasia	195	135	104	77.04
ayiw1239	Äiwoo	Austronesian	Papunesia	172	126	97	76.98
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	108	83	76.85
leti1246	Leti (Indonesia)	Austronesian	Papunesia	172	120	92	76.67
manu1258	Manusela	Austronesian	Papunesia	101	90	69	76.67
muyu1244	Muyuw	Austronesian	Papunesia	140	94	72	76.6
biha1246	Bih	Austronesian	Eurasia	182	123	94	76.42
tugu1245	Tugun	Austronesian	Papunesia	168	123	94	76.42
sout2895	South Nuaulu	Austronesian	Papunesia	158	110	84	76.36
chra1242	Chrau	Austroasiatic	Eurasia	166	114	87	76.32
jamb1236	Jambi Malay	Austronesian	Papunesia	181	130	99	76.15
sant1451	Santa María Quiegolani Zapotec	Otomanguean	North America	160	113	86	76.11
aros1241	Arosi	Austronesian	Papunesia	141	96	73	76.04
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	96	73	76.04
bign1238	Big Nambas	Austronesian	Papunesia	181	121	92	76.03
naka1262	Nakanai	Austronesian	Papunesia	173	121	92	76.03
cayu1262	Cayubaba		South America	131	100	76	76
nort2828	North Moluccan Malay	Austronesian	Papunesia	164	125	95	76
quio1240	Quiotepec Chinantec	Otomanguean	North America	182	129	98	75.97
kali1308	Kalispel-Pend d'Oreille	Salishan	North America	160	116	88	75.86
sabu1255	Hawu	Austronesian	Papunesia	172	124	94	75.81
stan1306	Standard Malay	Austronesian	Eurasia	190	132	100	75.76
teng1272	Tengger	Austronesian	Papunesia	121	99	75	75.76
maan1238	Ma'anyan	Austronesian	Papunesia	163	123	93	75.61
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	127	96	75.59
iban1264	Iban	Austronesian	Papunesia	188	131	99	75.57
woli1241	Wolio	Austronesian	Papunesia	182	131	99	75.57
seim1238	Seimat	Austronesian	Papunesia	192	135	102	75.56
