Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
goro1270	Gorowa	Afro-Asiatic	Africa	13	5	5	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	5	100
nyun1247	Nyunga	Pama-Nyungan	Australia	26	17	15	88.24
gras1249	Grass Koiari	Koiarian	Papunesia	95	93	80	86.02
naba1256	Nabak	Nuclear Trans New Guinea	Papunesia	82	82	70	85.37
unaa1239	Una	Nuclear Trans New Guinea	Papunesia	85	83	70	84.34
iyoo1238	Iyo	Nuclear Trans New Guinea	Papunesia	153	84	70	83.33
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	41	34	82.93
usan1239	Usan	Nuclear Trans New Guinea	Papunesia	100	98	80	81.63
mauw1238	Mauwake	Nuclear Trans New Guinea	Papunesia	92	90	73	81.11
poya1241	Poyanáwa	Pano-Tacanan	South America	50	26	21	80.77
tauy1241	Tauya	Nuclear Trans New Guinea	Papunesia	94	92	74	80.43
uman1240	Umanakaina	Dagan	Papunesia	99	97	78	80.41
kana1288	Kanasi	Dagan	Papunesia	92	90	72	80
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	45	36	80
walm1241	Walmajarri	Pama-Nyungan	Australia	57	30	24	80
ngge1241	Nggem	Nuclear Trans New Guinea	Papunesia	99	97	77	79.38
siro1249	Siroi	Nuclear Trans New Guinea	Papunesia	98	96	76	79.17
west2599	West Kewa	Nuclear Trans New Guinea	Papunesia	102	100	79	79
kalu1248	Kaluli	Bosavi	Papunesia	96	94	74	78.72
kobo1249	Kobon	Nuclear Trans New Guinea	Papunesia	96	94	74	78.72
koro1312	Korowai	Nuclear Trans New Guinea	Papunesia	96	94	74	78.72
aghu1255	Aghu	Nuclear Trans New Guinea	Papunesia	175	93	73	78.49
rawa1267	Rawa	Nuclear Trans New Guinea	Papunesia	89	88	69	78.41
ndom1245	Ndom	Kolopom	Papunesia	74	41	32	78.05
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	54	42	77.78
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	85	66	77.65
tain1253	Tainae	Angan	Papunesia	90	89	69	77.53
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	40	31	77.5
nucl1630	Barai	Koiarian	Papunesia	168	88	68	77.27
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	92	71	77.17
kosa1249	Kosarek Yale	Nuclear Trans New Guinea	Papunesia	169	96	74	77.08
cent2050	Central Kanuri	Saharan	Africa	173	91	70	76.92
nucl1632	Sentani	Sentanic	Papunesia	143	78	60	76.92
