Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	4	4	100
loup1243	Loup A	Algic	North America	132	125	113	90.4
wood1236	Woods Cree	Algic	North America	162	152	137	90.13
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	49	44	89.8
miam1252	Miami	Algic	North America	120	117	104	88.89
plai1258	Plains Cree	Algic	North America	174	160	140	87.5
otta1242	Ottawa	Algic	North America	190	173	150	86.71
nort2864	Wemale	Austronesian	Papunesia	76	71	61	85.92
apol1242	Apolista	Arawakan	South America	14	13	11	84.62
nort2961	Northwestern Ojibwa	Algic	North America	189	171	143	83.63
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
yawa1261	Yawalapití	Arawakan	South America	58	53	44	83.02
mbya1239	Mbyá Guaraní	Tupian	South America	161	146	121	82.88
shaw1249	Shawnee	Algic	North America	168	154	127	82.47
omii1238	Omi	Central Sudanic	Africa	18	17	14	82.35
mikm1235	Mi'kmaq	Algic	North America	179	166	136	81.93
arap1274	Arapaho	Algic	North America	188	172	140	81.4
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	75	61	81.33
chey1247	Cheyenne	Algic	North America	139	128	104	81.25
pich1237	Pichis Ashéninka	Arawakan	South America	148	138	112	81.16
mont1268	Montagnais	Algic	North America	134	122	99	81.15
siks1238	Siksika	Algic	North America	162	148	120	81.08
west2624	Western Huasteca Nahuatl	Uto-Aztecan	North America	128	119	96	80.67
gaaa1245	Gaa	Atlantic-Congo	Africa	79	72	58	80.56
ndam1251	Ndam	Afro-Asiatic	Africa	41	41	33	80.49
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	81	65	80.25
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	166	133	80.12
abip1241	Abipon	Guaicuruan	South America	129	120	96	80
high1243	Highland Totonac	Totonacan	North America	120	110	88	80
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	115	92	80
awet1244	Awetí	Tupian	South America	161	148	118	79.73
yukp1241	Yukpa	Cariban	South America	106	97	77	79.38
avac1239	Avá-Canoeiro	Tupian	South America	153	140	111	79.29
bana1288	Banao Itneg	Austronesian	Papunesia	24	19	15	78.95
chip1241	Chippewa	Algic	North America	171	156	123	78.85
beto1236	Betoi-Jirara		South America	130	122	96	78.69
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	75	59	78.67
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	154	121	78.57
cher1273	Cherokee	Iroquoian	North America	184	166	130	78.31
aree1239	Are	Austronesian	Papunesia	157	147	115	78.23
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	101	79	78.22
uruu1244	Uru	Uru-Chipaya	South America	170	155	121	78.06
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	91	71	78.02
