Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
nucl1301	Turkish	Turkic	Eurasia	195	175	168	96
khak1248	Khakas	Turkic	Eurasia	170	159	152	95.6
nort2697	North Azerbaijani	Turkic	Eurasia	188	170	161	94.71
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	124	116	93.55
tuvi1240	Tuvinian	Turkic	Eurasia	154	148	138	93.24
tata1255	Tatar	Turkic	Eurasia	176	161	150	93.17
bash1264	Bashkir	Turkic	Eurasia	161	154	143	92.86
turk1303	Turkic Khalaj	Turkic	Eurasia	171	158	146	92.41
turk1304	Turkmen	Turkic	Eurasia	181	165	152	92.12
crim1257	Crimean Tatar	Turkic	Eurasia	179	167	153	91.62
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	161	147	91.3
yaku1245	Sakha	Turkic	Eurasia	190	172	157	91.28
orok1265	Orok	Tungusic	Eurasia	151	141	128	90.78
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
oroc1248	Oroch	Tungusic	Eurasia	162	154	138	89.61
chuv1255	Chuvash	Turkic	Eurasia	193	173	155	89.6
halh1238	Halh Mongolian	Mongolic-Khitan	Eurasia	185	168	150	89.29
negi1245	Negidal	Tungusic	Eurasia	160	152	135	88.82
nort2690	Northern Uzbek	Turkic	Eurasia	193	173	153	88.44
gaga1249	Gagauz	Turkic	Eurasia	188	172	152	88.37
muth1236	Muthuvan	Dravidian	Eurasia	143	134	118	88.06
kalm1243	Oirad-Kalmyk-Darkhat	Mongolic-Khitan	Eurasia	165	156	137	87.82
ulch1241	Ulch	Tungusic	Eurasia	164	153	134	87.58
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	118	103	87.29
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	150	130	86.67
kile1243	Kilen	Tungusic	Eurasia	188	170	147	86.47
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	71	61	85.92
even1260	Even	Tungusic	Eurasia	141	132	113	85.61
nara1262	Nara		Africa	132	124	106	85.48
gamo1243	Gamo	Ta-Ne-Omotic	Africa	183	165	141	85.45
brah1256	Brahui	Dravidian	Eurasia	151	142	121	85.21
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	142	121	85.21
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	160	136	85
ayac1239	Ayacucho Quechua	Quechuan	South America	166	153	130	84.97
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	153	130	84.97
korr1238	Korra Koraga	Dravidian	Eurasia	133	126	107	84.92
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	105	89	84.76
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	150	127	84.67
even1259	Evenki	Tungusic	Eurasia	158	149	126	84.56
bada1257	Badaga	Dravidian	Eurasia	127	116	98	84.48
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	95	80	84.21
mudu1239	Muduga	Dravidian	Eurasia	161	151	127	84.11
mill1237	Millcayac	Huarpean	South America	122	118	99	83.9
west2392	Western Mari	Uralic	Eurasia	153	147	123	83.67
dizi1235	Dizin	Dizoid	Africa	57	55	46	83.64
tulu1258	Tulu	Dravidian	Eurasia	163	152	127	83.55
yona1241	Yonaguni	Japonic	Eurasia	164	151	126	83.44
cent2322	Central Mansi	Uralic	Eurasia	185	169	141	83.43
nana1257	Nanai	Tungusic	Eurasia	195	175	146	83.43
mala1463	Malavedan	Dravidian	Eurasia	163	150	125	83.33
saur1249	Sauria Paharia	Dravidian	Eurasia	179	162	135	83.33
surg1248	Surgut Khanty	Uralic	Eurasia	186	168	140	83.33
siaw1243	Siawi	Amto-Musan	Papunesia	123	119	99	83.19
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	142	118	83.1
koda1255	Kodava	Dravidian	Eurasia	182	164	136	82.93
yaey1239	Yaeyama	Japonic	Eurasia	155	146	121	82.88
moch1259	Mochica		South America	139	128	106	82.81
kada1242	Kadar	Dravidian	Eurasia	156	145	120	82.76
shol1240	Sholaga	Dravidian	Eurasia	172	156	129	82.69
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	115	95	82.61
sanm1289	San Martín Quechua	Quechuan	South America	171	155	128	82.58
pano1255	Panobo	Pano-Tacanan	South America	163	149	123	82.55
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	166	137	82.53
cent2126	Central Okinawan	Japonic	Eurasia	153	143	118	82.52
toto1302	Toto	Sino-Tibetan	Eurasia	155	143	118	82.52
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	131	108	82.44
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	91	75	82.42
shua1257	Shuar	Chicham	South America	147	136	112	82.35
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	146	120	82.19
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	78	64	82.05
hrus1242	Hruso		Eurasia	89	89	73	82.02
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	139	114	82.01
nort2745	Northern Yukaghir	Yukaghir	Eurasia	191	171	140	81.87
rong1264	Rongpo	Sino-Tibetan	Eurasia	185	170	139	81.76
sout2996	Southern Aymara	Aymaran	South America	186	170	139	81.76
lugb1240	Lugbara	Central Sudanic	Africa	165	153	125	81.7
bona1250	Bonan	Mongolic-Khitan	Eurasia	171	158	129	81.65
kota1263	Kota (India)	Dravidian	Eurasia	158	147	120	81.63
poya1241	Poyanáwa	Pano-Tacanan	South America	50	49	40	81.63
wola1242	Wolaytta	Ta-Ne-Omotic	Africa	193	174	142	81.61
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	130	106	81.54
kara1499	Kalamang	West Bomberai	Papunesia	99	97	79	81.44
asur1254	Asuri	Austroasiatic	Eurasia	149	145	118	81.38
umes1235	Ume Saami	Uralic	Eurasia	183	166	135	81.33
guam1248	Guambiano	Barbacoan	South America	127	123	100	81.3
tama1331	Tama (Chad)	Tamaic	Africa	139	133	108	81.2
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	154	125	81.17
nort2671	North Saami	Uralic	Eurasia	167	153	124	81.05
fore1265	Forest Enets	Uralic	Eurasia	193	173	140	80.92
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	152	123	80.92
sora1254	Sora	Austroasiatic	Eurasia	145	136	110	80.88
cald1236	Calderón Highland Quichua	Quechuan	South America	155	145	117	80.69
cofa1242	Cofán		South America	137	129	104	80.62
erzy1239	Erzya	Uralic	Eurasia	190	170	137	80.59
kunz1244	Kunza		South America	72	72	58	80.56
tomm1242	Tommo So Dogon	Dogon	Africa	167	154	124	80.52
ngan1291	Nganasan	Uralic	Eurasia	194	174	140	80.46
udih1248	Udihe	Tungusic	Eurasia	194	174	140	80.46
mala1522	Malayo	Chibchan	South America	157	148	119	80.41
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	152	122	80.26
dara1250	Darai	Indo-European	Eurasia	178	162	130	80.25
komi1268	Komi-Zyrian	Uralic	Eurasia	186	167	134	80.24
mala1464	Malayalam	Dravidian	Eurasia	192	172	138	80.23
nucl1305	Kannada	Dravidian	Eurasia	191	172	138	80.23
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	111	89	80.18
capa1241	Capanahua	Pano-Tacanan	South America	171	156	125	80.13
peng1244	Pengo	Dravidian	Eurasia	171	156	125	80.13
zays1235	Zayse-Zergulla	Ta-Ne-Omotic	Africa	171	156	125	80.13
afar1241	Afar	Afro-Asiatic	Africa	188	171	137	80.12
agua1253	Aguaruna	Chicham	South America	170	155	124	80
chak1270	Chak	Sino-Tibetan	Eurasia	188	170	136	80
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	12	80
kore1280	Korean	Koreanic	Eurasia	185	170	136	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	134	107	79.85
toda1252	Toda	Dravidian	Eurasia	139	134	107	79.85
maga1260	Magahi	Indo-European	Eurasia	136	129	103	79.84
puqu1242	Puquina		South America	118	109	87	79.82
skol1241	Skolt Saami	Uralic	Eurasia	192	173	138	79.77
char1269	Chara	Ta-Ne-Omotic	Africa	149	138	110	79.71
mido1240	Midob	Nubian	Africa	55	54	43	79.63
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	103	82	79.61
lule1238	Lule		South America	146	137	109	79.56
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	137	109	79.56
cent2150	Central Tunebo	Chibchan	South America	159	151	120	79.47
amah1246	Amahuaca	Pano-Tacanan	South America	153	146	116	79.45
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	146	116	79.45
embe1260	Emberá-Catío	Chocoan	South America	164	150	119	79.33
nepa1254	Nepali	Indo-European	Eurasia	162	150	119	79.33
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	150	119	79.33
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	150	119	79.33
oriy1255	Odia	Indo-European	Eurasia	193	174	138	79.31
koya1251	Koya	Dravidian	Eurasia	137	130	103	79.23
tara1313	Tarao	Sino-Tibetan	Eurasia	166	154	122	79.22
imba1240	Imbabura Highland Quichua	Quechuan	South America	192	173	137	79.19
ndom1245	Ndom	Kolopom	Papunesia	74	72	57	79.17
west2594	Western Dani	Nuclear Trans New Guinea	Papunesia	188	168	133	79.17
yawa1260	Yawanawa	Pano-Tacanan	South America	148	139	110	79.14
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	158	125	79.11
biri1256	Biri	Pama-Nyungan	Australia	146	134	106	79.1
opat1246	Teguima	Uto-Aztecan	North America	120	110	87	79.09
melo1242	Melo	Ta-Ne-Omotic	Africa	163	153	121	79.08
budu1248	Budukh	Nakh-Daghestanian	Eurasia	158	148	117	79.05
nort2952	Northeast Maidu	Maiduan	North America	161	148	117	79.05
byan1241	Byangsi	Sino-Tibetan	Eurasia	182	167	132	79.04
raji1240	Raji	Sino-Tibetan	Eurasia	153	138	109	78.99
sril1245	Sri Lanka Malay	Austronesian	Eurasia	185	171	135	78.95
duru1236	Duruwa	Dravidian	Eurasia	121	109	86	78.9
west2618	Western Canadian Inuktitut	Eskimo-Aleut	North America	116	109	86	78.9
gahr1239	Bunan	Sino-Tibetan	Eurasia	195	175	138	78.86
lule1254	Lule Saami	Uralic	Eurasia	195	175	138	78.86
koor1239	Koorete	Ta-Ne-Omotic	Africa	175	156	123	78.85
moun1252	Mountain Koiali	Koiarian	Papunesia	168	151	119	78.81
darm1243	Darma	Sino-Tibetan	Eurasia	179	165	130	78.79
inga1252	Colombian Inga	Quechuan	South America	69	66	52	78.79
idum1241	Idu	Sino-Tibetan	Eurasia	151	141	111	78.72
aluk1238	Alu Kurumba	Dravidian	Eurasia	171	155	122	78.71
kryt1240	Kryz	Nakh-Daghestanian	Eurasia	165	150	118	78.67
lend1245	Lendu	Central Sudanic	Africa	159	150	118	78.67
chen1255	Chenchu	Dravidian	Eurasia	180	164	129	78.66
diga1241	Tawra	Sino-Tibetan	Eurasia	178	164	129	78.66
yami1256	Yaminahua	Pano-Tacanan	South America	182	164	129	78.66
dard1243	Dar Daju Daju	Dajuic	Africa	93	89	70	78.65
pras1239	Prasun	Indo-European	Eurasia	93	89	70	78.65
aleu1260	Aleut	Eskimo-Aleut	North America	192	173	136	78.61
cusc1236	Cusco Quechua	Quechuan	South America	167	154	121	78.57
bord1248	Border Kuna	Chibchan	South America	162	149	117	78.52
ango1257	Angosturas Tunebo	Chibchan	South America	136	130	102	78.46
kaik1246	Kaike	Sino-Tibetan	Eurasia	184	167	131	78.44
kosa1249	Kosarek Yale	Nuclear Trans New Guinea	Papunesia	169	153	120	78.43
jaqa1244	Jaqaru	Aymaran	South America	150	139	109	78.42
doma1260	Domaaki	Indo-European	Eurasia	144	134	105	78.36
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	152	119	78.29
qima1242	Qimant	Afro-Asiatic	Africa	166	152	119	78.29
hadi1240	Hadiyya	Afro-Asiatic	Africa	189	170	133	78.24
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	156	122	78.21
aika1237	Aikanã		South America	90	87	68	78.16
maru1252	Marúbo	Pano-Tacanan	South America	126	119	93	78.15
limb1266	Limbu	Sino-Tibetan	Eurasia	140	128	100	78.12
sumi1235	Sumi Naga	Sino-Tibetan	Eurasia	185	169	132	78.11
xamt1239	Xamtanga	Afro-Asiatic	Africa	189	169	132	78.11
cogu1240	Cogui	Chibchan	South America	141	137	107	78.1
pura1257	Purari		Papunesia	158	146	114	78.08
dura1244	Dura	Sino-Tibetan	Eurasia	171	155	121	78.06
khal1275	Khaling	Sino-Tibetan	Eurasia	168	155	121	78.06
koit1244	Koitabu	Koiarian	Papunesia	168	155	121	78.06
niha1238	Nihali		Eurasia	164	155	121	78.06
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	123	96	78.05
hual1241	Huallaga Huánuco Quechua	Quechuan	South America	191	173	135	78.03
kuma1280	Kuman	Nuclear Trans New Guinea	Papunesia	153	141	110	78.01
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	140	109	77.86
nend1239	Nend	Nuclear Trans New Guinea	Papunesia	169	158	123	77.85
achu1248	Achuar-Shiwiar	Chicham	South America	183	167	130	77.84
defa1248	Defaka	Ijoid	Africa	75	72	56	77.78
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	72	56	77.78
