Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
camp1261	Campidanese Sardinian	Indo-European	Eurasia	181	176	167	94.89
cors1241	Corsican	Indo-European	Eurasia	179	171	161	94.15
lomb1257	Lombard	Indo-European	Eurasia	190	179	167	93.3
gali1258	Galician	Indo-European	Eurasia	192	179	166	92.74
occi1239	Occitan	Indo-European	Eurasia	187	177	163	92.09
port1283	Portuguese	Indo-European	Eurasia	192	179	163	91.06
ital1282	Italian	Indo-European	Eurasia	193	179	162	90.5
roma1326	Romansh	Indo-European	Eurasia	178	174	157	90.23
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
stan1289	Catalan	Indo-European	Eurasia	193	179	161	89.94
tosk1239	Northern Tosk Albanian	Indo-European	Eurasia	180	170	152	89.41
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	8	88.89
arom1237	Aromanian	Indo-European	Eurasia	165	159	141	88.68
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	13	86.67
dani1285	Danish	Indo-European	Eurasia	182	173	145	83.82
plau1238	Plautdietsch	Indo-European	North America	178	168	140	83.33
mace1250	Macedonian	Indo-European	Eurasia	187	178	148	83.15
stan1290	French	Indo-European	Eurasia	195	179	148	82.68
gheg1238	Gheg Albanian	Indo-European	Eurasia	188	173	143	82.66
ukra1253	Ukrainian	Indo-European	Eurasia	171	157	129	82.17
sout1528	Serbian-Croatian-Bosnian	Indo-European	Eurasia	187	178	145	81.46
mode1248	Modern Greek	Indo-European	Eurasia	195	179	144	80.45
slov1268	Slovenian	Indo-European	Eurasia	192	179	143	79.89
czec1258	Czech	Indo-European	Eurasia	191	178	139	78.09
bela1254	Belarusian	Indo-European	Eurasia	190	177	138	77.97
lith1251	Lithuanian	Indo-European	Eurasia	191	177	138	77.97
latv1249	Latvian	Indo-European	Eurasia	184	176	137	77.84
aghw1237	Aghwan	Nakh-Daghestanian	Eurasia	147	135	105	77.78
west2354	Western Frisian	Indo-European	Eurasia	187	174	135	77.59
clas1249	Classical-Middle Armenian	Indo-European	Eurasia	183	172	133	77.33
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	35	27	77.14
lamb1269	Lambadi	Indo-European	Eurasia	155	148	114	77.03
nepa1254	Nepali	Indo-European	Eurasia	162	152	117	76.97
olde1238	Old English (ca. 450-1100)	Indo-European	Eurasia	191	177	135	76.27
