Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	3	3	100
bera1262	Berau Malay	Austronesian	Papunesia	11	10	9	90
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	8	88.89
mota1237	Mota	Austronesian	Papunesia	107	81	71	87.65
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	104	91	87.5
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	128	111	86.72
cari1276	Caribbean Javanese	Austronesian	South America	97	74	64	86.49
mmen1238	Mmen	Atlantic-Congo	Africa	10	7	6	85.71
maan1238	Ma'anyan	Austronesian	Papunesia	163	125	107	85.6
java1254	Javanese	Austronesian	Papunesia	84	62	53	85.48
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	109	93	85.32
saka1291	West Malagasy Sakalava	Austronesian	Africa	137	107	91	85.05
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	66	56	84.85
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	46	39	84.78
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	26	22	84.62
mban1263	Mbandja	Atlantic-Congo	Africa	162	117	99	84.62
cani1243	Canichana		South America	50	45	38	84.44
east2485	Eastern Penan	Austronesian	Papunesia	147	115	97	84.35
east2332	Eastern Bru	Austroasiatic	Eurasia	134	102	86	84.31
jehh1245	Jeh	Austroasiatic	Eurasia	139	102	86	84.31
keri1250	Kerinci	Austronesian	Papunesia	127	102	86	84.31
lauu1247	Lau	Austronesian	Papunesia	141	108	91	84.26
mera1242	Meramera	Austronesian	Papunesia	54	38	32	84.21
ramo1244	Ramoaaina	Austronesian	Papunesia	52	38	32	84.21
mama1275	Mamanwa	Austronesian	Papunesia	149	119	100	84.03
jara1266	Jarai	Austronesian	Eurasia	156	117	98	83.76
oldm1242	Old Mon	Austroasiatic	Eurasia	171	123	103	83.74
gada1258	Ga'dang	Austronesian	Papunesia	70	55	46	83.64
maon1241	Maonan	Tai-Kadai	Eurasia	94	67	56	83.58
baik1238	Baikeno	Austronesian	Papunesia	103	84	70	83.33
chra1242	Chrau	Austroasiatic	Eurasia	166	120	100	83.33
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
maro1244	Marovo	Austronesian	Papunesia	84	72	60	83.33
nort2994	Northern Roglai	Austronesian	Eurasia	90	78	65	83.33
sout2895	South Nuaulu	Austronesian	Papunesia	158	120	100	83.33
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	119	99	83.19
iban1264	Iban	Austronesian	Papunesia	188	136	113	83.09
kunz1244	Kunza		South America	72	59	49	83.05
tugu1245	Tugun	Austronesian	Papunesia	168	129	107	82.95
para1311	Paraguayan Guaraní	Tupian	South America	54	41	34	82.93
wala1266	Wala	Austronesian	Papunesia	150	111	92	82.88
west2600	West Makian	North Halmahera	Papunesia	151	111	92	82.88
mual1241	Mualang	Austronesian	Papunesia	189	140	116	82.86
oroh1237	Oroha	Austronesian	Papunesia	118	93	77	82.8
iran1262	Iranun	Austronesian	Papunesia	138	110	91	82.73
mans1262	Mansaka	Austronesian	Papunesia	127	104	86	82.69
mada1285	Madak	Austronesian	Papunesia	176	127	105	82.68
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	114	94	82.46
suru1261	Suruí Do Pará	Tupian	South America	68	57	47	82.46
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	108	89	82.41
reja1241	Rejang Kayan	Austronesian	Papunesia	140	108	89	82.41
