Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	6	6	100
cuaa1241	Cua	Austroasiatic	Eurasia	8	4	4	100
goro1270	Gorowa	Afro-Asiatic	Africa	13	6	6	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	1	1	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	2	2	100
konz1239	Konzo	Atlantic-Congo	Africa	133	80	77	96.25
luya1241	Luyi	Atlantic-Congo	Africa	172	93	88	94.62
yaoo1241	Yao	Atlantic-Congo	Africa	137	87	82	94.25
nyor1246	Nyoro	Atlantic-Congo	Africa	180	99	93	93.94
soga1242	Soga	Atlantic-Congo	Africa	181	94	88	93.62
safw1238	Safwa	Atlantic-Congo	Africa	48	29	27	93.1
koti1238	Koti	Atlantic-Congo	Africa	182	97	90	92.78
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	69	64	92.75
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	90	83	92.22
kala1384	Kalanga	Atlantic-Congo	Africa	164	89	82	92.13
nyan1307	Nyankole	Atlantic-Congo	Africa	185	101	93	92.08
osam1235	Osamayi	Atlantic-Congo	Africa	105	61	56	91.8
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	95	87	91.58
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	57	52	91.23
suba1238	Suba	Atlantic-Congo	Africa	111	78	71	91.03
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	98	89	90.82
liki1240	Balobo	Atlantic-Congo	Africa	99	65	59	90.77
haaa1252	Ha	Atlantic-Congo	Africa	187	97	88	90.72
tote1238	Totela	Atlantic-Congo	Africa	161	85	77	90.59
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	74	67	90.54
hehe1240	Hehe	Atlantic-Congo	Africa	144	95	86	90.53
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	63	57	90.48
tong1318	Tonga (Zambia)	Atlantic-Congo	Africa	160	92	83	90.22
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	71	64	90.14
sham1280	Shambala	Atlantic-Congo	Africa	118	71	64	90.14
kaon1241	Kaonde	Atlantic-Congo	Africa	120	70	63	90
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	90	81	90
omii1238	Omi	Central Sudanic	Africa	18	10	9	90
tuki1240	Tuki	Atlantic-Congo	Africa	160	89	80	89.89
tien1242	Tiene	Atlantic-Congo	Africa	126	79	71	89.87
bush1247	Bushoong	Atlantic-Congo	Africa	184	98	88	89.8
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	98	88	89.8
elip1238	Elip	Atlantic-Congo	Africa	111	68	61	89.71
zinz1238	Zinza	Atlantic-Congo	Africa	106	77	69	89.61
belu1239	Belueli	Atlantic-Congo	Africa	73	57	51	89.47
gusi1247	Gusii	Atlantic-Congo	Africa	173	95	85	89.47
lund1266	Lunda	Atlantic-Congo	Africa	150	76	68	89.47
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	85	76	89.41
mwan1247	Mwani	Atlantic-Congo	Africa	157	85	76	89.41
mbol1247	Mbole	Atlantic-Congo	Africa	89	53	47	88.68
bebe1248	Bebele	Atlantic-Congo	Africa	184	97	86	88.66
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	85	75	88.24
makh1264	Makhuwa	Atlantic-Congo	Africa	168	93	82	88.17
