Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	11	10	90.91
bann1247	Bannoni	Austronesian	Papunesia	72	69	62	89.86
wole1240	Woleaian	Austronesian	Papunesia	145	139	122	87.77
chuu1238	Chuukese	Austronesian	Papunesia	132	129	113	87.6
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
ngul1236	Nguluwan	Austronesian	Papunesia	56	55	48	87.27
east2332	Eastern Bru	Austroasiatic	Eurasia	134	129	111	86.05
reng1252	Rengao	Austroasiatic	Eurasia	172	163	140	85.89
muss1246	Mussau-Emira	Austronesian	Papunesia	90	84	72	85.71
mina1268	Minangkabau	Austronesian	Papunesia	164	152	130	85.53
oroh1237	Oroha	Austronesian	Papunesia	118	117	100	85.47
mort1237	Mortlockese	Austronesian	Papunesia	141	137	117	85.4
pohn1238	Pohnpeian	Austronesian	Papunesia	182	171	146	85.38
ulit1238	Ulithian	Austronesian	Papunesia	177	168	143	85.12
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	134	114	85.07
mans1260	Mansim	Hatam-Mansim	Papunesia	71	66	56	84.85
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	54	84.38
gese1240	Geser-Gorom	Austronesian	Papunesia	69	68	57	83.82
tali1259	Talise	Austronesian	Papunesia	142	136	114	83.82
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	160	134	83.75
bara1370	Baram Kayan	Austronesian	Papunesia	143	140	117	83.57
beta1252	Betawi	Austronesian	Papunesia	170	158	132	83.54
gilb1244	Gilbertese	Austronesian	Papunesia	171	158	132	83.54
tomb1244	Tombonuo	Austronesian	Papunesia	136	133	111	83.46
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
mang1401	Mangareva	Austronesian	Papunesia	173	166	138	83.13
maro1244	Marovo	Austronesian	Papunesia	84	83	69	83.13
lauu1247	Lau	Austronesian	Papunesia	141	135	112	82.96
