Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
nort2723	Northern Pumi	Sino-Tibetan	Eurasia	177	173	154	89.02
pawa1255	Pawaia		Papunesia	110	109	94	86.24
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	11	84.62
kara1499	Kalamang	West Bomberai	Papunesia	99	98	81	82.65
yaey1239	Yaeyama	Japonic	Eurasia	155	149	123	82.55
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	129	106	82.17
baim1244	Baima	Sino-Tibetan	Eurasia	193	185	152	82.16
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	100	82	82
west2417	Western Muya	Sino-Tibetan	Eurasia	112	111	91	81.98
namu1246	Namuyi	Sino-Tibetan	Eurasia	173	165	135	81.82
hakk1236	Hakka Chinese	Sino-Tibetan	Eurasia	143	137	112	81.75
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	76	62	81.58
east1236	Eastern Katu	Austroasiatic	Eurasia	106	103	84	81.55
enuu1235	Enu	Sino-Tibetan	Eurasia	193	184	150	81.52
azha1235	Azha	Sino-Tibetan	Eurasia	151	145	118	81.38
blan1242	Blang	Austroasiatic	Eurasia	159	155	126	81.29
east2485	Eastern Penan	Austronesian	Papunesia	147	139	113	81.29
zhab1238	Zhaba	Sino-Tibetan	Eurasia	146	139	113	81.29
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	166	160	130	81.25
lave1249	Brao	Austroasiatic	Eurasia	122	117	95	81.2
bang1369	Bangru	Sino-Tibetan	Eurasia	151	148	120	81.08
hani1248	Hani	Sino-Tibetan	Eurasia	186	179	145	81.01
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	114	92	80.7
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	181	146	80.66
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	118	95	80.51
mala1463	Malavedan	Dravidian	Eurasia	163	158	127	80.38
chas1234	Chashan	Sino-Tibetan	Eurasia	169	163	131	80.37
gebe1237	Gebe	Austronesian	Papunesia	129	127	102	80.31
yong1270	Narua	Sino-Tibetan	Eurasia	160	152	122	80.26
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	162	130	80.25
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	185	148	80
lotu1250	Lotud	Austronesian	Papunesia	132	125	100	80
nyun1247	Nyunga	Pama-Nyungan	Australia	26	25	20	80
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	110	88	80
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	179	143	79.89
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	174	139	79.89
sapu1248	Sapuan	Austroasiatic	Eurasia	152	149	119	79.87
siam1242	Siamou		Africa	134	129	103	79.84
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	99	79	79.8
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	183	146	79.78
mokl1243	Moklen	Austronesian	Eurasia	181	173	138	79.77
ache1246	Aché	Tupian	South America	78	74	59	79.73
naro1251	Narom	Austronesian	Papunesia	132	128	102	79.69
tang1334	Tangut	Sino-Tibetan	Eurasia	151	147	117	79.59
ersu1241	Ersu	Sino-Tibetan	Eurasia	195	186	148	79.57
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	166	132	79.52
west2650	Western Cham	Austronesian	Eurasia	151	146	116	79.45
sani1269	Sani	Sino-Tibetan	Eurasia	168	164	130	79.27
miju1243	Kman	Sino-Tibetan	Eurasia	192	183	145	79.23
bolg1251	Bolgo	Atlantic-Congo	Africa	78	77	61	79.22
toar1246	Toaripi	Eleman	Papunesia	186	177	140	79.1
east2332	Eastern Bru	Austroasiatic	Eurasia	134	129	102	79.07
zaiw1241	Zaiwa	Sino-Tibetan	Eurasia	174	167	132	79.04
uuuu1243	U	Austroasiatic	Eurasia	139	138	109	78.99
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	157	124	78.98
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	171	135	78.95
avac1239	Avá-Canoeiro	Tupian	South America	153	147	116	78.91
nort2994	Northern Roglai	Austronesian	Eurasia	90	90	71	78.89
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	184	145	78.8
dura1244	Dura	Sino-Tibetan	Eurasia	171	165	130	78.79
honi1244	Honi	Sino-Tibetan	Eurasia	165	160	126	78.75
