Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	4	4	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	1	1	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	3	3	100
jita1239	Jita	Atlantic-Congo	Africa	75	57	55	96.49
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	68	63	92.65
mbol1247	Mbole	Atlantic-Congo	Africa	89	61	56	91.8
nila1242	Nilamba	Atlantic-Congo	Africa	162	121	111	91.74
swah1253	Swahili	Atlantic-Congo	Africa	178	121	111	91.74
zinz1238	Zinza	Atlantic-Congo	Africa	106	76	69	90.79
giry1241	Giryama	Atlantic-Congo	Africa	83	64	58	90.62
nyat1246	Nyaturu	Atlantic-Congo	Africa	160	125	113	90.4
sham1280	Shambala	Atlantic-Congo	Africa	118	82	74	90.24
ndam1239	Ndamba	Atlantic-Congo	Africa	180	125	112	89.6
bomb1262	Bomboma	Atlantic-Congo	Africa	119	92	82	89.13
beem1239	Beembe	Atlantic-Congo	Africa	144	104	92	88.46
lamb1272	Lambya	Atlantic-Congo	Africa	132	104	92	88.46
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	112	99	88.39
fipa1238	Fipa	Atlantic-Congo	Africa	120	91	80	87.91
hehe1240	Hehe	Atlantic-Congo	Africa	144	99	87	87.88
haaa1252	Ha	Atlantic-Congo	Africa	187	123	108	87.8
lang1320	Langi	Atlantic-Congo	Africa	174	123	108	87.8
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	57	50	87.72
thar1283	Tharaka	Atlantic-Congo	Africa	101	73	64	87.67
lund1266	Lunda	Atlantic-Congo	Africa	150	104	91	87.5
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	103	90	87.38
tira1254	Tira	Heibanic	Africa	77	55	48	87.27
makw1236	Makwe	Atlantic-Congo	Africa	86	62	54	87.1
ndob1238	Ndobo	Atlantic-Congo	Africa	85	69	60	86.96
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	107	93	86.92
suba1238	Suba	Atlantic-Congo	Africa	111	84	73	86.9
loba1239	Lobala	Atlantic-Congo	Africa	98	76	66	86.84
bush1247	Bushoong	Atlantic-Congo	Africa	184	120	104	86.67
gusi1247	Gusii	Atlantic-Congo	Africa	173	120	104	86.67
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	112	97	86.61
umbu1257	Umbundu	Atlantic-Congo	Africa	153	112	97	86.61
kaon1241	Kaonde	Atlantic-Congo	Africa	120	82	71	86.59
here1253	Herero	Atlantic-Congo	Africa	187	126	109	86.51
tote1238	Totela	Atlantic-Congo	Africa	161	111	96	86.49
gwen1239	Gweno	Atlantic-Congo	Africa	135	96	83	86.46
vwan1235	Vwanji	Atlantic-Congo	Africa	129	96	83	86.46
gand1255	Ganda	Atlantic-Congo	Africa	148	103	89	86.41
kala1384	Kalanga	Atlantic-Congo	Africa	164	116	100	86.21
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	58	50	86.21
mwer1248	Mwera (Chimwera)	Atlantic-Congo	Africa	153	108	93	86.11
mako1251	Makonde	Atlantic-Congo	Africa	164	122	105	86.07
lika1243	Liko	Atlantic-Congo	Africa	165	107	92	85.98
koti1238	Koti	Atlantic-Congo	Africa	182	121	104	85.95
matu1259	Matumbi	Atlantic-Congo	Africa	134	92	79	85.87
pang1287	Pangwa	Atlantic-Congo	Africa	167	113	97	85.84
moro1285	Moro	Heibanic	Africa	77	49	42	85.71
nyor1246	Nyoro	Atlantic-Congo	Africa	180	119	102	85.71
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	111	95	85.59
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	90	77	85.56
elip1238	Elip	Atlantic-Congo	Africa	111	83	71	85.54
soli1239	Soli	Atlantic-Congo	Africa	101	69	59	85.51
soga1242	Soga	Atlantic-Congo	Africa	181	124	106	85.48
