Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	3	3	100
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	7	6	85.71
goro1270	Gorowa	Afro-Asiatic	Africa	13	6	5	83.33
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
poya1241	Poyanáwa	Pano-Tacanan	South America	50	39	31	79.49
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	121	95	78.51
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	51	40	78.43
kaki1249	Kaki Ae		Papunesia	138	118	92	77.97
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	135	105	77.78
tibe1274	Tibea	Atlantic-Congo	Africa	95	75	58	77.33
obok1239	Obokuitai	Lakes Plain	Papunesia	157	130	100	76.92
cent2050	Central Kanuri	Saharan	Africa	173	138	106	76.81
nara1262	Nara		Africa	132	97	74	76.29
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	54	41	75.93
iatm1242	Iatmul	Ndu	Papunesia	191	149	113	75.84
daha1245	Dahalo	Afro-Asiatic	Africa	46	45	34	75.56
yong1280	Yonggom	Nuclear Trans New Guinea	Papunesia	176	138	104	75.36
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	52	39	75
orma1241	Orma	Afro-Asiatic	Africa	128	104	78	75
benc1235	Bench	Ta-Ne-Omotic	Africa	82	75	56	74.67
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	125	93	74.4
kana1288	Kanasi	Dagan	Papunesia	92	78	58	74.36
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	117	87	74.36
huli1244	Huli	Nuclear Trans New Guinea	Papunesia	131	119	88	73.95
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	142	105	73.94
teda1241	Tedaga	Saharan	Africa	160	130	96	73.85
zulg1242	Zulgo-Gemzek	Afro-Asiatic	Africa	133	107	79	73.83
dhar1248	Dharumbal	Pama-Nyungan	Australia	74	61	45	73.77
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	99	73	73.74
hang1263	Hanga Hundi	Ndu	Papunesia	161	137	101	73.72
waru1265	Warumungu	Pama-Nyungan	Australia	173	137	101	73.72
shol1240	Sholaga	Dravidian	Eurasia	172	133	98	73.68
beto1236	Betoi-Jirara		South America	130	110	81	73.64
bira1253	Ongota		Africa	163	129	95	73.64
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	91	67	73.63
