Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
abad1241	Abadi	Austronesian	Papunesia	118	4	4	100
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	1	1	100
abip1241	Abipon	Guaicuruan	South America	129	3	3	100
acha1250	Achagua	Arawakan	South America	124	4	4	100
ache1245	Acheron	Narrow Talodi	Africa	120	3	3	100
acol1236	Acoli	Nilotic	Africa	179	4	4	100
ajyi1238	Ajyíninka Apurucayali	Arawakan	South America	69	1	1	100
akab1249	Akabea	Great Andamanese	Eurasia	192	4	4	100
akan1250	Akan	Atlantic-Congo	Africa	57	3	3	100
akka1240	Akkadian	Afro-Asiatic	Eurasia	167	3	3	100
akoo1248	Akoose	Atlantic-Congo	Africa	185	3	3	100
anci1244	Ancient Hebrew	Afro-Asiatic	Eurasia	182	4	4	100
ando1256	Andoque		South America	38	1	1	100
anin1240	Anindilyakwa	Gunwinyguan	Australia	102	4	4	100
anua1242	Anuak	Nilotic	Africa	71	3	3	100
apol1242	Apolista	Arawakan	South America	14	3	3	100
apur1254	Apurinã	Arawakan	South America	155	4	4	100
araw1273	Araweté	Tupian	South America	148	3	3	100
araw1276	Lokono	Arawakan	South America	136	4	4	100
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	3	3	100
asha1243	Asháninka	Arawakan	South America	91	4	4	100
ashe1272	Ashéninka Perené	Arawakan	South America	193	4	4	100
athp1241	Athpariya	Sino-Tibetan	Eurasia	182	4	4	100
avat1244	Avatime	Atlantic-Congo	Africa	130	4	4	100
awet1244	Awetí	Tupian	South America	161	4	4	100
awji1241	Awjilah	Afro-Asiatic	Africa	145	4	4	100
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	4	4	100
bagi1246	Bagirmi	Central Sudanic	Africa	167	4	4	100
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	4	4	100
baka1274	Baka (South Sudan)	Central Sudanic	Africa	137	4	4	100
bamb1262	Bambassi	Blue Nile Mao	Africa	99	3	3	100
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	1	1	100
band1340	Bandial	Atlantic-Congo	Africa	87	4	4	100
bang1354	Bobangi	Atlantic-Congo	Africa	151	4	4	100
bani1255	Baniwa do Icana	Arawakan	South America	85	4	4	100
bank1256	Bankon	Atlantic-Congo	Africa	78	1	1	100
bara1361	Barambu	Atlantic-Congo	Africa	128	4	4	100
bare1276	Baré	Arawakan	South America	117	4	4	100
baur1253	Baure	Arawakan	South America	168	4	4	100
bayo1255	Kugere-Kuxinge	Atlantic-Congo	Africa	58	3	3	100
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	4	4	100
belu1239	Belueli	Atlantic-Congo	Africa	73	3	3	100
bemb1257	Bemba (Zambia)	Atlantic-Congo	Africa	183	3	3	100
beto1236	Betoi-Jirara		South America	130	4	4	100
bian1252	Biangai	Goilalan	Papunesia	155	4	4	100
bidy1244	Kanyaki-Kagbaaga-Kajoko Bidyogo	Atlantic-Congo	Africa	138	4	4	100
bila1255	Bila	Atlantic-Congo	Africa	134	4	4	100
bilb1241	Bilibil	Austronesian	Papunesia	141	3	3	100
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	1	1	100
boli1256	Bolinao	Austronesian	Papunesia	60	1	1	100
bong1285	Bongo	Central Sudanic	Africa	146	4	4	100
boro1282	Bororo	Bororoan	South America	184	4	4	100
budu1265	Buduma	Afro-Asiatic	Africa	137	4	4	100
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	1	1	100
buku1249	Bukusu	Atlantic-Congo	Africa	52	1	1	100
buna1276	Bunama	Austronesian	Papunesia	125	3	3	100
bura1267	Burarra	Maningrida	Australia	87	3	3	100
bush1247	Bushoong	Atlantic-Congo	Africa	184	3	3	100
bwai1242	Bwaidoka	Austronesian	Papunesia	153	4	4	100
cacu1241	Kakua	Kakua-Nukak	South America	168	4	4	100
cahu1264	Cahuilla	Uto-Aztecan	North America	190	4	4	100
cams1241	Camsá		South America	124	3	3	100
cani1243	Canichana		South America	50	3	3	100
cham1315	Chamacoco	Zamucoan	South America	143	4	4	100
cham1318	Chamicuro	Arawakan	South America	54	4	4	100
cher1273	Cherokee	Iroquoian	North America	184	4	4	100
chey1247	Cheyenne	Algic	North America	139	3	3	100
chig1238	Chiga	Atlantic-Congo	Africa	95	4	4	100
chil1280	Chilcotin-Nicola	Athabaskan-Eyak-Tlingit	North America	183	4	4	100
chim1312	Chimwiini	Atlantic-Congo	Africa	81	3	3	100
chiq1248	Lomeriano-Ignaciano Chiquitano	Chiquitano	South America	166	4	4	100
chir1283	Chiru	Sino-Tibetan	Eurasia	170	3	3	100
chuj1250	Chuj	Mayan	North America	171	4	4	100
clas1250	Classical Nahuatl	Uto-Aztecan	North America	185	4	4	100
coch1272	Cochimi	Cochimi-Yuman	North America	89	2	2	100
cogu1240	Cogui	Chibchan	South America	141	3	3	100
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	3	3	100
cros1244	Cross River Mbembe	Atlantic-Congo	Africa	164	2	2	100
crow1244	Crow	Siouan	North America	192	4	4	100
curr1243	Curripaco	Arawakan	South America	101	4	4	100
cypr1248	Cypriot Arabic	Afro-Asiatic	Eurasia	142	4	4	100
dime1235	Dime	South Omotic	Africa	52	1	1	100
djin1251	Jingulu	Mirndi	Australia	166	3	3	100
dobe1238	Dobel	Austronesian	Papunesia	145	3	3	100
dobu1241	Dobu	Austronesian	Papunesia	174	4	4	100
east2440	East Makian	Austronesian	Papunesia	95	4	4	100
elna1235	El Nayar Cora	Uto-Aztecan	North America	162	4	4	100
enap1235	Panare	Cariban	South America	146	4	4	100
eton1253	Eton-Mengisa	Atlantic-Congo	Africa	115	4	4	100
ewee1241	Ewe	Atlantic-Congo	Africa	162	4	4	100
eyak1241	Eyak	Athabaskan-Eyak-Tlingit	North America	174	4	4	100
fefe1239	Fe'fe'	Atlantic-Congo	Africa	142	1	1	100
fipa1238	Fipa	Atlantic-Congo	Africa	120	3	3	100
gaaa1244	Ga	Atlantic-Congo	Africa	133	4	4	100
gaaa1245	Gaa	Atlantic-Congo	Africa	79	4	4	100
gaam1241	Gaam	Eastern Jebel	Africa	83	4	4	100
gali1262	Galibi Carib	Cariban	South America	173	4	4	100
gapa1238	Gapapaiwa	Austronesian	Papunesia	157	4	4	100
gari1256	Garifuna	Arawakan	North America	80	4	4	100
gbay1278	Gbayi	Atlantic-Congo	Africa	58	2	2	100
gbay1288	Kresh-Woro	Kresh-Aja	Africa	134	4	4	100
gebe1237	Gebe	Austronesian	Papunesia	129	4	4	100
gese1240	Geser-Gorom	Austronesian	Papunesia	69	3	3	100
gida1247	Gidar	Afro-Asiatic	Africa	80	4	4	100
giry1241	Giryama	Atlantic-Congo	Africa	83	3	3	100
gobu1238	Gobu	Atlantic-Congo	Africa	141	2	2	100
goem1240	Goemai	Afro-Asiatic	Africa	92	3	3	100
golo1234	Golo	Atlantic-Congo	Africa	82	2	2	100
goon1238	Gooniyandi	Bunaban	Australia	99	4	4	100
gros1243	Gros Ventre	Algic	North America	161	4	4	100
guar1293	Baniva de Maroa	Arawakan	South America	101	4	4	100
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	4	4	100
guer1243	Guerrero Amuzgo	Otomanguean	North America	179	4	4	100
guma1254	Gumawana	Austronesian	Papunesia	176	4	4	100
gumu1244	Northern Gumuz	Gumuz	Africa	160	4	4	100
guri1248	Guriaso		Papunesia	24	2	2	100
haaa1252	Ha	Atlantic-Congo	Africa	187	4	4	100
haio1238	Hai//om-Akhoe	Khoe-Kwadi	Africa	35	1	1	100
hame1242	Hamer-Banna	South Omotic	Africa	173	4	4	100
hass1238	Hassaniyya	Afro-Asiatic	Africa	142	4	4	100
hava1248	Havasupai-Walapai-Yavapai	Cochimi-Yuman	North America	165	4	4	100
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	1	1	100
hida1246	Hidatsa	Siouan	North America	177	4	4	100
high1243	Highland Totonac	Totonacan	North America	120	3	3	100
hixk1239	Hixkaryána	Cariban	South America	162	4	4	100
holo1240	Holoholo	Atlantic-Congo	Africa	144	4	4	100
idun1242	Iduna	Austronesian	Papunesia	179	4	4	100
igna1246	Ignaciano	Arawakan	South America	91	4	4	100
isla1278	Island Carib	Arawakan	North America	85	4	4	100
isth1240	Isthmus-Cosoleacaque Nahuatl	Uto-Aztecan	North America	151	4	4	100
isth1241	Isthmus-Pajapan Nahuatl	Uto-Aztecan	North America	133	3	3	100
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	4	4	100
itza1241	Itzá	Mayan	North America	188	4	4	100
iwal1237	Iwal	Austronesian	Papunesia	134	3	3	100
iwam1256	Iwam	Sepik	Papunesia	105	3	3	100
jita1239	Jita	Atlantic-Congo	Africa	75	3	3	100
juan1238	Juang	Austroasiatic	Eurasia	150	4	4	100
juho1239	South-Eastern Ju	Kxa	Africa	57	1	1	100
jurm1239	Jur Modo	Central Sudanic	Africa	159	3	3	100
kaba1281	Kaba	Central Sudanic	Africa	166	4	4	100
kaby1243	Kabyle	Afro-Asiatic	Africa	65	3	3	100
kagf1238	Ut-Main	Atlantic-Congo	Africa	86	1	1	100
kaon1241	Kaonde	Atlantic-Congo	Africa	120	3	3	100
kaqc1270	Kaqchikel	Mayan	North America	183	4	4	100
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	4	4	100
kari1306	Kari	Atlantic-Congo	Africa	76	2	2	100
karo1304	Karok		North America	164	4	4	100
kaur1271	Kaure-Narau	Kaure-Kosare	Papunesia	60	2	2	100
keig1242	Keiga	Kadugli-Krongo	Africa	148	3	3	100
keng1240	Kenga	Central Sudanic	Africa	124	4	4	100
kera1248	Keerak	Atlantic-Congo	Africa	128	4	4	100
kich1262	K'iche'	Mayan	North America	180	4	4	100
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	3	3	100
kiow1266	Kiowa	Kiowa-Tanoan	North America	177	4	4	100
koir1240	Koireng	Sino-Tibetan	Eurasia	155	3	3	100
kola1285	Kola	Austronesian	Papunesia	156	4	4	100
kolp1236	Kol (Papua New Guinea)		Papunesia	94	4	4	100
kons1243	Konso	Afro-Asiatic	Africa	87	4	4	100
kron1241	Krongo	Kadugli-Krongo	Africa	75	2	2	100
kuii1252	Kui (India)	Dravidian	Eurasia	113	1	1	100
kuik1246	Kuikúro-Kalapálo	Cariban	South America	176	4	4	100
kumz1235	Kumzari	Indo-European	Eurasia	171	4	4	100
kung1259	Kungarakany		Australia	82	2	2	100
kuot1243	Kuot		Papunesia	174	4	4	100
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	3	3	100
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	3	3	100
lang1324	Lango (Uganda)	Nilotic	Africa	90	4	4	100
lega1249	Lega-Shabunda	Atlantic-Congo	Africa	153	4	4	100
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	3	3	100
lend1245	Lendu	Central Sudanic	Africa	159	4	4	100
lese1243	Lese	Central Sudanic	Africa	150	4	4	100
limb1266	Limbu	Sino-Tibetan	Eurasia	140	1	1	100
loma1260	Loma (Liberia)	Mande	Africa	90	4	4	100
loup1243	Loup A	Algic	North America	132	4	4	100
luch1239	Luchazi	Atlantic-Congo	Africa	136	4	4	100
lugu1238	Luguru	Atlantic-Congo	Africa	177	4	4	100
luok1236	Luo (Kenya and Tanzania)	Nilotic	Africa	185	4	4	100
luva1239	Luvale	Atlantic-Congo	Africa	169	4	4	100
maas1239	Maasina Fulfulde	Atlantic-Congo	Africa	133	4	4	100
maba1270	Mabaale	Atlantic-Congo	Africa	118	3	3	100
maba1277	Maba (Chad)	Maban	Africa	172	4	4	100
mach1267	Machiguenga	Arawakan	South America	96	4	4	100
maco1239	Maco	Saliban	South America	163	4	4	100
mada1285	Madak	Austronesian	Papunesia	176	4	4	100
makh1264	Makhuwa	Atlantic-Congo	Africa	168	3	3	100
