Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	4	4	100
taha1241	Tahaggart Tamahaq	Afro-Asiatic	Africa	176	175	169	96.57
apol1242	Apolista	Arawakan	South America	14	14	12	85.71
ndam1251	Ndam	Afro-Asiatic	Africa	41	40	34	85
kaby1243	Kabyle	Afro-Asiatic	Africa	65	63	51	80.95
taya1257	Tayart Tamajeq	Afro-Asiatic	Africa	161	154	124	80.52
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
tari1263	Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	Afro-Asiatic	Africa	151	148	117	79.05
sooo1256	Soo	Kuliak	Africa	82	82	64	78.05
ghad1239	Ghadames	Afro-Asiatic	Africa	160	154	120	77.92
tawa1286	Tawallammat Tamajaq	Afro-Asiatic	Africa	127	124	96	77.42
kron1241	Krongo	Kadugli-Krongo	Africa	75	74	57	77.03
kips1239	Kipsigis	Nilotic	Africa	156	151	114	75.5
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
tenn1246	Tennet	Surmic	Africa	158	152	114	75
akka1240	Akkadian	Afro-Asiatic	Eurasia	167	159	119	74.84
dual1243	Duala	Atlantic-Congo	Africa	138	132	98	74.24
kons1243	Konso	Afro-Asiatic	Africa	87	85	63	74.12
west2763	Western Neo-Aramaic	Afro-Asiatic	Eurasia	149	144	106	73.61
ndob1238	Ndobo	Atlantic-Congo	Africa	85	83	61	73.49
gida1247	Gidar	Afro-Asiatic	Africa	80	79	58	73.42
okuu1243	Oku	Atlantic-Congo	Africa	110	109	80	73.39
murl1244	Murle	Surmic	Africa	175	168	123	73.21
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	97	71	73.2
ugar1238	Ugaritic	Afro-Asiatic	Eurasia	168	161	117	72.67
abip1241	Abipon	Guaicuruan	South America	129	128	93	72.66
bolo1262	Boloki	Atlantic-Congo	Africa	144	139	101	72.66
masa1300	Masai	Nilotic	Africa	73	73	53	72.6
awji1241	Awjilah	Afro-Asiatic	Africa	145	142	103	72.54
dagi1241	Dagik	Narrow Talodi	Africa	167	163	118	72.39
zinz1238	Zinza	Atlantic-Congo	Africa	106	105	76	72.38
mach1267	Machiguenga	Arawakan	South America	96	93	67	72.04
kwam1249	Gwama	Koman	Africa	171	164	118	71.95
ughe1237	Ughele	Austronesian	Papunesia	182	174	125	71.84
noon1242	Noon	Atlantic-Congo	Africa	188	181	130	71.82
kuot1243	Kuot		Papunesia	174	170	122	71.76
sida1246	Sidamo	Afro-Asiatic	Africa	104	102	73	71.57
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	133	95	71.43
kili1267	Kilivila	Austronesian	Papunesia	187	182	130	71.43
siwi1239	Siwi	Afro-Asiatic	Africa	168	161	115	71.43
luok1236	Luo (Kenya and Tanzania)	Nilotic	Africa	185	178	127	71.35
alac1244	Alacatlatzala Mixtec	Otomanguean	North America	154	150	107	71.33
biaf1240	Biafada	Atlantic-Congo	Africa	123	122	87	71.31
beng1282	Benga	Atlantic-Congo	Africa	132	125	89	71.2
yaak1241	Yaaku	Afro-Asiatic	Africa	177	170	121	71.18
quil1240	Quileute	Chimakuan	North America	165	159	113	71.07
hass1238	Hassaniyya	Afro-Asiatic	Africa	142	138	98	71.01
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	62	44	70.97
sekp1241	Sekpele	Atlantic-Congo	Africa	94	93	66	70.97
ilaa1246	Ila	Atlantic-Congo	Africa	124	117	83	70.94
mamm1241	Mam	Mayan	North America	179	172	122	70.93
bana1288	Banao Itneg	Austronesian	Papunesia	24	24	17	70.83
koon1244	South-Central Koongo	Atlantic-Congo	Africa	153	147	104	70.75
saga1262	Sagalla	Atlantic-Congo	Africa	152	147	104	70.75
lika1243	Liko	Atlantic-Congo	Africa	165	157	111	70.7
