Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
boka1249	Bokar-Ramo	Sino-Tibetan	Eurasia	151	129	113	87.6
honi1244	Honi	Sino-Tibetan	Eurasia	165	136	119	87.5
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	115	99	86.09
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	61	52	85.25
sani1269	Sani	Sino-Tibetan	Eurasia	168	139	118	84.89
azha1235	Azha	Sino-Tibetan	Eurasia	151	131	111	84.73
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	144	122	84.72
enuu1235	Enu	Sino-Tibetan	Eurasia	193	150	127	84.67
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	146	123	84.25
toto1302	Toto	Sino-Tibetan	Eurasia	155	119	100	84.03
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	125	105	84
tsat1238	Tsat	Austronesian	Eurasia	183	148	124	83.78
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	98	82	83.67
huuu1240	Hu	Austroasiatic	Eurasia	175	143	119	83.22
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	148	123	83.11
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	147	122	82.99
orok1265	Orok	Tungusic	Eurasia	151	128	106	82.81
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	150	124	82.67
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	149	123	82.55
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	149	123	82.55
bang1369	Bangru	Sino-Tibetan	Eurasia	151	131	108	82.44
kara1499	Kalamang	West Bomberai	Papunesia	99	90	74	82.22
hani1248	Hani	Sino-Tibetan	Eurasia	186	146	120	82.19
yong1270	Narua	Sino-Tibetan	Eurasia	160	129	106	82.17
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	166	134	110	82.09
pela1242	Pela	Sino-Tibetan	Eurasia	194	149	122	81.88
chas1234	Chashan	Sino-Tibetan	Eurasia	169	131	107	81.68
acha1249	Longchuan Achang	Sino-Tibetan	Eurasia	191	147	120	81.63
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	147	120	81.63
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	76	62	81.58
maga1260	Magahi	Indo-European	Eurasia	136	114	93	81.58
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	134	109	81.34
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	134	109	81.34
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	139	113	81.29
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	144	117	81.25
