Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	1	1	100
goro1270	Gorowa	Afro-Asiatic	Africa	13	5	5	100
suru1262	Suruí	Tupian	South America	18	16	14	87.5
cent1972	Central Kurdish	Indo-European	Eurasia	15	7	6	85.71
poya1241	Poyanáwa	Pano-Tacanan	South America	50	14	12	85.71
paez1247	Páez		South America	45	34	29	85.29
guri1248	Guriaso		Papunesia	24	17	14	82.35
pana1305	Panamint	Uto-Aztecan	North America	41	28	23	82.14
dizi1235	Dizin	Dizoid	Africa	57	15	12	80
nkor1239	Nkoroo	Ijoid	Africa	54	15	12	80
omii1238	Omi	Central Sudanic	Africa	18	10	8	80
yano1262	Yanomám	Yanomamic	South America	65	54	43	79.63
resi1247	Resígaro	Arawakan	South America	83	34	27	79.41
wash1253	Washo		North America	152	57	45	78.95
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	14	11	78.57
nonu1241	Nonuya	Huitotoan	South America	54	23	18	78.26
mill1237	Millcayac	Huarpean	South America	122	41	32	78.05
inga1252	Colombian Inga	Quechuan	South America	69	58	45	77.59
tuca1252	Tucano	Tucanoan	South America	67	58	45	77.59
nort2952	Northeast Maidu	Maiduan	North America	161	57	44	77.19
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	42	32	76.19
bada1257	Badaga	Dravidian	Eurasia	127	46	35	76.09
telu1262	Telugu	Dravidian	Eurasia	127	46	35	76.09
chep1245	Chepang	Sino-Tibetan	Eurasia	163	66	50	75.76
hozo1236	Hozo	Blue Nile Mao	Africa	87	33	25	75.76
ando1256	Andoque		South America	38	37	28	75.68
cacu1241	Kakua	Kakua-Nukak	South America	168	53	40	75.47
sion1247	Siona-Tetete	Tucanoan	South America	62	53	40	75.47
peng1244	Pengo	Dravidian	Eurasia	171	61	46	75.41
guam1248	Guambiano	Barbacoan	South America	127	48	36	75
kuvi1243	Kuvi	Dravidian	Eurasia	103	36	27	75
nyun1247	Nyunga	Pama-Nyungan	Australia	26	12	9	75
sora1254	Sora	Austroasiatic	Eurasia	145	47	35	74.47
korr1238	Korra Koraga	Dravidian	Eurasia	133	50	37	74
shan1283	Shanenawa	Pano-Tacanan	South America	171	65	48	73.85
awab1243	Awabakal	Pama-Nyungan	Australia	67	57	42	73.68
maca1259	Macaguán	Guahiboan	South America	49	34	25	73.53
even1260	Even	Tungusic	Eurasia	141	45	33	73.33
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	41	30	73.17
amar1274	Amarakaeri	Harakmbut	South America	154	52	38	73.08
idum1241	Idu	Sino-Tibetan	Eurasia	151	52	38	73.08
maqu1238	Ye'kwana	Cariban	South America	56	52	38	73.08
maru1252	Marúbo	Pano-Tacanan	South America	126	52	38	73.08
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	26	19	73.08
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	22	16	72.73
samo1303	Samo	East Strickland	Papunesia	44	22	16	72.73
daww1239	Dâw	Naduhup	South America	89	62	45	72.58
dyir1250	Dyirbal	Pama-Nyungan	Australia	78	62	45	72.58
mola1238	Molale		North America	174	62	45	72.58
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	40	29	72.5
ache1246	Aché	Tupian	South America	78	29	21	72.41
cusc1236	Cusco Quechua	Quechuan	South America	167	58	42	72.41
chol1284	Cholón	Hibito-Cholon	South America	181	65	47	72.31
epen1239	Epena	Chocoan	South America	157	54	39	72.22
ngur1261	Wilson River (Grey Range)	Pama-Nyungan	Australia	29	25	18	72
waim1253	Waimiri-Atroari	Cariban	South America	127	50	36	72
ticu1245	Ticuna	Ticuna-Yuri	South America	154	57	41	71.93
yany1243	Yanyuwa	Pama-Nyungan	Australia	90	39	28	71.79
pano1255	Panobo	Pano-Tacanan	South America	163	63	45	71.43
pume1238	Pumé		South America	137	49	35	71.43
wint1259	Wintu	Wintuan	North America	159	56	40	71.43
esee1248	Ese Ejja	Pano-Tacanan	South America	189	66	47	71.21
arab1267	Arabana	Pama-Nyungan	Australia	62	52	37	71.15
bine1240	Bine	Eastern Trans-Fly	Papunesia	88	38	27	71.05
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	65	46	70.77
puma1239	Puma	Sino-Tibetan	Eurasia	172	65	46	70.77
embe1260	Emberá-Catío	Chocoan	South America	164	58	41	70.69
arao1248	Araona	Pano-Tacanan	South America	193	68	48	70.59
asur1254	Asuri	Austroasiatic	Eurasia	149	51	36	70.59
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	34	24	70.59
macu1260	Macuna	Tucanoan	South America	177	68	48	70.59
tuvi1240	Tuvinian	Turkic	Eurasia	154	51	36	70.59
yuki1243	Northern Yukian	Yuki-Wappo	North America	175	61	43	70.49
even1259	Evenki	Tungusic	Eurasia	158	54	38	70.37
kwom1262	Kwoma	Sepik	Papunesia	174	64	45	70.31
nort2723	Northern Pumi	Sino-Tibetan	Eurasia	177	64	45	70.31
nama1264	Nama (Namibia)	Khoe-Kwadi	Africa	91	37	26	70.27
rian1263	Riantana	Kolopom	Papunesia	112	37	26	70.27
pano1254	Panoan Katukína	Pano-Tacanan	South America	132	47	33	70.21
nort2972	Northern Emberá	Chocoan	South America	167	57	40	70.18
ajyi1238	Ajyíninka Apurucayali	Arawakan	South America	69	60	42	70
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	50	35	70
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	30	21	70
qawa1238	Qawasqar	Kawesqar	South America	164	60	42	70
dumi1241	Dumi	Sino-Tibetan	Eurasia	166	53	37	69.81
pait1244	Paite Chin	Sino-Tibetan	Eurasia	152	53	37	69.81
toto1302	Toto	Sino-Tibetan	Eurasia	155	53	37	69.81
bilu1245	Bilua		Papunesia	102	43	30	69.77
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	43	30	69.77
muth1236	Muthuvan	Dravidian	Eurasia	143	43	30	69.77
sout2996	Southern Aymara	Aymaran	South America	186	66	46	69.7
cald1236	Calderón Highland Quichua	Quechuan	South America	155	56	39	69.64
cham1309	Chamalal	Nakh-Daghestanian	Eurasia	159	56	39	69.64
zuni1245	Zuni		North America	156	56	39	69.64
bora1263	Bora	Boran	South America	173	69	48	69.57
desa1247	Desano	Tucanoan	South America	180	69	48	69.57
kumb1268	Kumbainggar	Pama-Nyungan	Australia	192	69	48	69.57
shab1252	Shabo		Africa	189	69	48	69.57
nant1250	Nanti	Arawakan	South America	80	59	41	69.49
para1311	Paraguayan Guaraní	Tupian	South America	54	49	34	69.39
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	62	43	69.35
abau1245	Abau	Sepik	Papunesia	88	39	27	69.23
mara1396	Mararit	Tamaic	Africa	92	26	18	69.23
ndom1245	Ndom	Kolopom	Papunesia	74	26	18	69.23
sout2994	Southern Nambikuára	Nambiquaran	South America	186	65	45	69.23
chic1270	Chickasaw	Muskogean	North America	150	55	38	69.09
kamo1255	Kamoro	Nuclear Trans New Guinea	Papunesia	94	42	29	69.05
bara1380	Barasana-Eduria	Tucanoan	South America	65	58	40	68.97
mala1463	Malavedan	Dravidian	Eurasia	163	58	40	68.97
sanu1240	Sanumá	Yanomamic	South America	150	58	40	68.97
tama1331	Tama (Chad)	Tamaic	Africa	139	45	31	68.89
chen1255	Chenchu	Dravidian	Eurasia	180	61	42	68.85
ayac1239	Ayacucho Quechua	Quechuan	South America	166	64	44	68.75
cogu1240	Cogui	Chibchan	South America	141	48	33	68.75
dime1235	Dime	South Omotic	Africa	52	16	11	68.75
guan1269	Kotiria	Tucanoan	South America	157	64	44	68.75
kile1243	Kilen	Tungusic	Eurasia	188	64	44	68.75
sanm1289	San Martín Quechua	Quechuan	South America	171	64	44	68.75
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	51	35	68.63
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	35	24	68.57
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	54	37	68.52
orok1265	Orok	Tungusic	Eurasia	151	54	37	68.52
cupe1243	Cupeño	Uto-Aztecan	North America	48	38	26	68.42
huic1243	Huichol	Uto-Aztecan	North America	179	60	41	68.33
bamb1262	Bambassi	Blue Nile Mao	Africa	99	41	28	68.29
caml1239	Camling	Sino-Tibetan	Eurasia	170	63	43	68.25
kara1500	Karajá	Nuclear-Macro-Je	South America	176	63	43	68.25
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	63	43	68.25
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	66	45	68.18
khak1248	Khakas	Turkic	Eurasia	170	66	45	68.18
imba1240	Imbabura Highland Quichua	Quechuan	South America	192	69	47	68.12
nort2942	North Slavey	Athabaskan-Eyak-Tlingit	North America	194	69	47	68.12
sout2959	South Slavey	Athabaskan-Eyak-Tlingit	North America	194	69	47	68.12
kork1243	Korku	Austroasiatic	Eurasia	133	47	32	68.09
koya1251	Koya	Dravidian	Eurasia	137	47	32	68.09
mamv1243	Mamvu	Central Sudanic	Africa	136	47	32	68.09
shas1239	Shasta	Shastan	North America	144	47	32	68.09
wanm1242	Wanman	Pama-Nyungan	Australia	132	47	32	68.09
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	47	32	68.09
avac1239	Avá-Canoeiro	Tupian	South America	153	50	34	68
pura1257	Purari		Papunesia	158	53	36	67.92
khin1240	Khinalug	Nakh-Daghestanian	Eurasia	153	56	38	67.86
gali1262	Galibi Carib	Cariban	South America	173	59	40	67.8
wang1291	Ngiyambaa	Pama-Nyungan	Australia	169	59	40	67.8
east2545	Eastern Pomo	Pomoan	North America	163	62	42	67.74
jama1261	Madi	Arawan	South America	170	62	42	67.74
shix1238	Shixing	Sino-Tibetan	Eurasia	182	62	42	67.74
than1259	Thangmi	Sino-Tibetan	Eurasia	177	62	42	67.74
cent2322	Central Mansi	Uralic	Eurasia	185	68	46	67.65
fore1265	Forest Enets	Uralic	Eurasia	193	68	46	67.65
achu1247	Achumawi	Palaihnihan	North America	106	37	25	67.57
nami1256	Namia	Sepik	Papunesia	85	37	25	67.57
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	40	27	67.5
meri1244	Meriam	Eastern Trans-Fly	Papunesia	99	43	29	67.44
limb1266	Limbu	Sino-Tibetan	Eurasia	140	46	31	67.39
bula1255	Bularnu	Pama-Nyungan	Australia	114	49	33	67.35
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	49	33	67.35
nort2951	Northwest Maidu	Maiduan	North America	142	49	33	67.35
char1269	Chara	Ta-Ne-Omotic	Africa	149	52	35	67.31
chhi1245	Chintang	Sino-Tibetan	Eurasia	150	55	37	67.27
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	55	37	67.27
chip1241	Chippewa	Algic	North America	171	58	39	67.24
kryt1240	Kryz	Nakh-Daghestanian	Eurasia	165	58	39	67.24
maco1239	Maco	Saliban	South America	163	58	39	67.24
khal1275	Khaling	Sino-Tibetan	Eurasia	168	61	41	67.21
take1257	Takelma		North America	173	61	41	67.21
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	61	41	67.21
yucu1253	Yucuna	Arawakan	South America	64	61	41	67.21
koor1239	Koorete	Ta-Ne-Omotic	Africa	175	64	43	67.19
pany1241	Panytyima	Pama-Nyungan	Australia	171	64	43	67.19
sars1236	Sarsi	Athabaskan-Eyak-Tlingit	North America	176	64	43	67.19
bujh1238	Bujhyal	Sino-Tibetan	Eurasia	179	67	45	67.16
cube1242	Cubeo	Tucanoan	South America	191	67	45	67.16
