Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	3	3	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
cani1243	Canichana		South America	50	46	34	73.91
buta1242	Butam	Taulil-Butam	Papunesia	76	75	55	73.33
oloo1241	Olo	Nuclear Torricelli	Papunesia	178	172	126	73.26
kari1306	Kari	Atlantic-Congo	Africa	76	71	52	73.24
jjuu1238	Jju	Atlantic-Congo	Africa	85	81	59	72.84
pate1247	Patep	Austronesian	Papunesia	142	137	99	72.26
warj1242	War-Jaintia	Austroasiatic	Eurasia	169	161	115	71.43
molo1266	Moloko	Afro-Asiatic	Africa	109	104	74	71.15
yinc1238	Yinchia	Austroasiatic	Eurasia	65	62	44	70.97
cros1244	Cross River Mbembe	Atlantic-Congo	Africa	164	158	112	70.89
bekw1241	Bekwarra	Atlantic-Congo	Africa	157	151	107	70.86
mani1235	Sougb	East Bird's Head	Papunesia	122	119	84	70.59
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	136	96	70.59
sara1331	Saraveca	Arawakan	South America	19	17	12	70.59
lamo1244	Lamogai	Austronesian	Papunesia	135	132	93	70.45
mali1284	Mali	Baining	Papunesia	102	98	69	70.41
phai1238	Prai	Austroasiatic	Eurasia	186	178	125	70.22
piap1246	Piapoco	Arawakan	South America	59	57	40	70.18
arop1242	Arop-Sissano	Austronesian	Papunesia	164	157	110	70.06
iwam1256	Iwam	Sepik	Papunesia	105	100	70	70
kute1248	Kutep	Atlantic-Congo	Africa	163	156	109	69.87
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	63	44	69.84
waja1257	Wajarri	Pama-Nyungan	Australia	65	63	44	69.84
naue1237	Nauete	Austronesian	Papunesia	183	175	122	69.71
meya1236	Meyah	East Bird's Head	Papunesia	96	92	64	69.57
tane1237	Tanema	Austronesian	Papunesia	154	147	102	69.39
homa1239	Homa	Atlantic-Congo	Africa	14	13	9	69.23
moii1235	Moi (Indonesia)	West Bird's Head	Papunesia	125	120	83	69.17
ndob1238	Ndobo	Atlantic-Congo	Africa	85	81	56	69.14
mans1260	Mansim	Hatam-Mansim	Papunesia	71	71	49	69.01
tong1308	Maniq	Austroasiatic	Eurasia	163	158	109	68.99
murr1258	Murriny Patha	Southern Daly	Australia	97	93	64	68.82
chad1249	Chadian Arabic	Afro-Asiatic	Africa	146	141	97	68.79
gese1240	Geser-Gorom	Austronesian	Papunesia	69	64	44	68.75
pele1245	Pele-Ata		Papunesia	51	48	33	68.75
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	182	125	68.68
avok1242	Avokaya	Central Sudanic	Africa	122	118	81	68.64
khas1269	Khasi	Austroasiatic	Eurasia	180	172	118	68.6
belu1239	Belueli	Atlantic-Congo	Africa	73	70	48	68.57
lara1260	Larantuka Malay	Austronesian	Papunesia	169	162	111	68.52
naur1243	Nauru	Austronesian	Papunesia	173	165	113	68.48
maib1239	Maybrat-Karon		Papunesia	174	168	115	68.45
limo1249	Limonese Creole	Indo-European	North America	143	139	95	68.35
east2447	East Futuna	Austronesian	Papunesia	187	180	123	68.33
kunb1251	Kunbarlang	Gunwinyguan	Australia	190	183	125	68.31
sioo1240	Sio	Austronesian	Papunesia	175	170	116	68.24
lote1237	Lote	Austronesian	Papunesia	178	173	118	68.21
loka1252	Lokaa	Atlantic-Congo	Africa	162	157	107	68.15
mund1326	Mündü	Atlantic-Congo	Africa	120	113	77	68.14
lave1248	Laven	Austroasiatic	Eurasia	180	172	117	68.02
nyal1254	Belep	Austronesian	Papunesia	180	172	117	68.02
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	150	102	68
mina1276	Mina (Cameroon)	Afro-Asiatic	Africa	185	178	121	67.98
