Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	17	15	88.24
kina1250	Kinaray-a	Austronesian	Papunesia	143	140	123	87.86
bala1311	Balangingi	Austronesian	Papunesia	153	148	130	87.84
masb1238	Masbatenyo	Austronesian	Papunesia	172	162	142	87.65
binu1244	Talaandig-Binukid	Austronesian	Papunesia	108	105	91	86.67
tagb1258	Tagbanwa	Austronesian	Papunesia	42	40	34	85
gada1258	Ga'dang	Austronesian	Papunesia	70	66	56	84.85
boli1256	Bolinao	Austronesian	Papunesia	60	59	50	84.75
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	59	50	84.75
labu1249	Labuk-Kinabatangan Kadazan	Austronesian	Papunesia	104	98	83	84.69
casi1235	Casiguran-Nagtipunan Agta	Austronesian	Papunesia	133	127	107	84.25
isin1239	Isinai	Austronesian	Papunesia	152	146	123	84.25
east2694	Eastern Subanen	Austronesian	Papunesia	109	106	89	83.96
plat1254	Plateau Malagasy	Austronesian	Africa	89	81	68	83.95
ilon1239	Ilongot	Austronesian	Papunesia	145	141	118	83.69
mans1262	Mansaka	Austronesian	Papunesia	127	122	102	83.61
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	103	86	83.5
obom1235	Obo Manobo	Austronesian	Papunesia	54	54	45	83.33
limo1248	Limos Kalinga	Austronesian	Papunesia	114	112	93	83.04
magu1243	Maguindanao	Austronesian	Papunesia	129	122	101	82.79
mara1404	Maranao	Austronesian	Papunesia	128	126	104	82.54
bant1288	Bantoanon	Austronesian	Papunesia	124	120	99	82.5
tiru1241	Tiruray	Austronesian	Papunesia	145	138	113	81.88
agut1237	Agutaynen	Austronesian	Papunesia	161	154	126	81.82
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	125	101	80.8
wara1300	Waray (Philippines)	Austronesian	Papunesia	122	114	92	80.7
kala1388	Kalagan	Austronesian	Papunesia	150	144	116	80.56
tata1257	Tatana	Austronesian	Papunesia	155	149	120	80.54
atay1247	Atayal	Austronesian	Papunesia	129	123	99	80.49
kaur1267	Kaurna	Pama-Nyungan	Australia	48	46	37	80.43
taga1272	Tagabawa	Austronesian	Papunesia	161	153	123	80.39
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	111	89	80.18
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	85	68	80
cebu1242	Cebuano	Austronesian	Papunesia	84	80	64	80
kaga1256	Kagayanen	Austronesian	Papunesia	167	155	124	80
sabu1255	Hawu	Austronesian	Papunesia	172	163	130	79.75
mama1275	Mamanwa	Austronesian	Papunesia	149	142	113	79.58
west2557	Western Subanon	Austronesian	Papunesia	175	165	131	79.39
ibat1238	Ibatan	Austronesian	Papunesia	176	169	134	79.29
yami1254	Yami	Austronesian	Papunesia	194	178	141	79.21
sara1327	Sarangani Manobo	Austronesian	Papunesia	130	125	99	79.2
bana1288	Banao Itneg	Austronesian	Papunesia	24	24	19	79.17
hili1240	Hiligaynon	Austronesian	Papunesia	77	72	57	79.17
kele1259	Keley-i Kallahan	Austronesian	Papunesia	170	163	129	79.14
nort2994	Northern Roglai	Austronesian	Eurasia	90	86	68	79.07
lotu1250	Lotud	Austronesian	Papunesia	132	128	101	78.91
east2332	Eastern Bru	Austroasiatic	Eurasia	134	126	99	78.57
fina1242	Finallig	Austronesian	Papunesia	164	154	121	78.57
rata1244	Ratahan	Austronesian	Papunesia	166	154	121	78.57
alba1269	Inland-Buhi-Daraga Bikol	Austronesian	Papunesia	128	121	95	78.51
sooo1256	Soo	Kuliak	Africa	82	79	62	78.48
kava1241	Kavalan	Austronesian	Papunesia	148	139	109	78.42
pamp1243	Pampanga	Austronesian	Papunesia	154	148	116	78.38
ibal1244	Ibaloi	Austronesian	Papunesia	169	157	123	78.34
mban1263	Mbandja	Atlantic-Congo	Africa	162	152	119	78.29
sout2912	Coastal-Virac Bikol	Austronesian	Papunesia	128	119	93	78.15
yind1248	Yindjilandji	Pama-Nyungan	Australia	75	73	57	78.08
maro1244	Marovo	Austronesian	Papunesia	84	82	64	78.05
baha1260	Bahamas Creole English	Indo-European	North America	103	100	78	78
cani1243	Canichana		South America	50	50	39	78
cent2090	Central Tagbanwa	Austronesian	Papunesia	166	159	124	77.99
ilok1237	Iloko	Austronesian	Papunesia	94	86	67	77.91
buol1237	Buol	Austronesian	Papunesia	117	113	88	77.88
damp1237	Dampelas	Austronesian	Papunesia	159	149	116	77.85
agus1235	Agusan Manobo	Austronesian	Papunesia	103	99	77	77.78
atii1237	Ati	Austronesian	Papunesia	115	112	87	77.68
anta1255	Antankarana Malagasy	Austronesian	Africa	102	94	73	77.66
remo1247	Hatang Kayi	Austronesian	Papunesia	135	125	97	77.6
alya1239	Alyawarr	Pama-Nyungan	Australia	68	62	48	77.42
taga1270	Tagalog	Austronesian	Papunesia	101	93	72	77.42
bert1248	Berta		Africa	119	115	89	77.39
moni1237	Mangue	Otomanguean	North America	84	84	65	77.38
twan1247	Twana	Salishan	North America	87	84	65	77.38
mala1534	Malaweg	Austronesian	Papunesia	122	119	92	77.31
nort2877	Northern Kankanay	Austronesian	Papunesia	149	141	109	77.3
cent2091	Central Palawano	Austronesian	Papunesia	90	88	68	77.27
wala1266	Wala	Austronesian	Papunesia	150	145	112	77.24
siku1242	Sikule	Austronesian	Papunesia	140	136	105	77.21
arta1239	Arta	Austronesian	Papunesia	184	171	132	77.19
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	92	71	77.17
bala1315	Balantak	Austronesian	Papunesia	178	166	128	77.11
bong1289	Bonggi	Austronesian	Papunesia	150	144	111	77.08
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	122	94	77.05
moro1287	Moronene	Austronesian	Papunesia	106	104	80	76.92
iran1262	Iranun	Austronesian	Papunesia	138	134	103	76.87
tina1248	Tinà Sambal	Austronesian	Papunesia	141	134	103	76.87
guat1253	Guató		South America	127	121	93	76.86
isna1241	Isnag	Austronesian	Papunesia	163	151	116	76.82
xinc1243	Xinca-Yupiltepeque	Xincan	North America	154	142	109	76.76
fili1244	Filipino	Austronesian	Papunesia	186	172	132	76.74
sanb1241	San Baltazar Loxicha Zapotec	Otomanguean	North America	147	133	102	76.69
cent2087	Coastal-Naga Bikol	Austronesian	Papunesia	156	150	115	76.67
yaka1277	Yakan	Austronesian	Papunesia	178	167	128	76.65
oldm1242	Old Mon	Austroasiatic	Eurasia	171	158	121	76.58
timu1262	Timugon Murut	Austronesian	Papunesia	153	145	111	76.55
boto1242	Botolan Sambal	Austronesian	Papunesia	175	166	127	76.51
iban1267	Ibanag	Austronesian	Papunesia	177	166	127	76.51
naru1238	Narungga	Pama-Nyungan	Australia	106	102	78	76.47
emae1237	Emae	Austronesian	Papunesia	156	140	107	76.43
sira1267	Sirayaic	Austronesian	Papunesia	177	161	123	76.4
bayb1234	Baybayanon	Austronesian	Papunesia	149	144	110	76.39
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	55	42	76.36
romb1245	Romblomanon	Austronesian	Papunesia	155	148	113	76.35
sout2918	Southern Sama	Austronesian	Papunesia	159	152	116	76.32
aghu1254	Aghu Tharnggalu	Pama-Nyungan	Australia	69	63	48	76.19
suru1261	Suruí Do Pará	Tupian	South America	68	63	48	76.19
tbol1240	Tboli	Austronesian	Papunesia	174	159	121	76.1
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	138	105	76.09
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	141	107	75.89
oldm1243	Old Malay	Austronesian	Papunesia	119	116	88	75.86
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	62	47	75.81
ines1240	Ineseño	Chumashan	North America	173	161	122	75.78
lauu1247	Lau	Austronesian	Papunesia	141	132	100	75.76
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	132	100	75.76
yoga1237	Yogad	Austronesian	Papunesia	192	177	134	75.71
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	74	56	75.68
yala1262	Yalarnnga	Pama-Nyungan	Australia	157	148	112	75.68
leti1246	Leti (Indonesia)	Austronesian	Papunesia	172	160	121	75.62
gung1248	Gungabula	Pama-Nyungan	Australia	44	41	31	75.61
sanm1301	San Marcos Tlalcoyalco Popoloca	Otomanguean	North America	141	131	99	75.57
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	139	105	75.54
huba1236	Huba	Afro-Asiatic	Africa	151	143	108	75.52
gana1278	Ganai	Pama-Nyungan	Australia	53	53	40	75.47
pend1242	Pendau	Austronesian	Papunesia	185	175	132	75.43
gayo1244	Gayo	Austronesian	Papunesia	193	179	135	75.42
bunu1267	Bunun	Austronesian	Papunesia	74	69	52	75.36
atam1240	Ata Manobo	Austronesian	Papunesia	160	154	116	75.32
rovi1238	Roviana	Austronesian	Papunesia	161	154	116	75.32
dard1243	Dar Daju Daju	Dajuic	Africa	93	89	67	75.28
mund1326	Mündü	Atlantic-Congo	Africa	120	113	85	75.22
cent2100	Central Dusun	Austronesian	Papunesia	138	133	100	75.19
rung1259	Rungus	Austronesian	Papunesia	137	133	100	75.19
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	157	118	75.16
ivat1242	Itbayat	Austronesian	Papunesia	176	160	120	75
mono1275	Mono (USA)	Uto-Aztecan	North America	161	148	111	75
saka1291	West Malagasy Sakalava	Austronesian	Africa	137	132	99	75
stan1306	Standard Malay	Austronesian	Eurasia	190	175	131	74.86
khan1278	Khana	Atlantic-Congo	Africa	187	171	128	74.85
thao1240	Thao	Austronesian	Papunesia	170	159	119	74.84
sanj1284	Western Tlacolula Valley Zapotec	Otomanguean	North America	152	147	110	74.83
waga1260	Wagaya	Pama-Nyungan	Australia	134	127	95	74.8
waja1259	Waja	Atlantic-Congo	Africa	133	127	95	74.8
puqu1242	Puquina		South America	118	115	86	74.78
duru1236	Duruwa	Dravidian	Eurasia	121	111	83	74.77
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	103	77	74.76
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	91	68	74.73
muna1247	Muna	Austronesian	Papunesia	99	91	68	74.73
hrus1242	Hruso		Eurasia	89	87	65	74.71
defa1248	Defaka	Ijoid	Africa	75	71	53	74.65
bamb1270	Bambam	Austronesian	Papunesia	134	130	97	74.62
naro1251	Narom	Austronesian	Papunesia	132	126	94	74.6
cayu1262	Cayubaba		South America	131	122	91	74.59
mada1285	Madak	Austronesian	Papunesia	176	161	120	74.53
dupa1235	Dupaninan Agta	Austronesian	Papunesia	164	153	114	74.51
para1311	Paraguayan Guaraní	Tupian	South America	54	51	38	74.51
aros1241	Arosi	Austronesian	Papunesia	141	137	102	74.45
