Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
goro1270	Gorowa	Afro-Asiatic	Africa	13	5	5	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	5	100
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	13	11	84.62
usan1239	Usan	Nuclear Trans New Guinea	Papunesia	100	94	76	80.85
sele1250	Selepet	Nuclear Trans New Guinea	Papunesia	101	92	74	80.43
pawa1255	Pawaia		Papunesia	110	51	41	80.39
koro1312	Korowai	Nuclear Trans New Guinea	Papunesia	96	94	75	79.79
uman1240	Umanakaina	Dagan	Papunesia	99	94	75	79.79
unaa1239	Una	Nuclear Trans New Guinea	Papunesia	85	83	66	79.52
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	39	31	79.49
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	85	67	78.82
ngge1241	Nggem	Nuclear Trans New Guinea	Papunesia	99	94	74	78.72
siro1249	Siroi	Nuclear Trans New Guinea	Papunesia	98	89	70	78.65
kana1288	Kanasi	Dagan	Papunesia	92	83	65	78.31
naba1256	Nabak	Nuclear Trans New Guinea	Papunesia	82	82	64	78.05
amap1240	Ama (Papua New Guinea)	Left May	Papunesia	163	81	63	77.78
mauw1238	Mauwake	Nuclear Trans New Guinea	Papunesia	92	90	70	77.78
nyun1247	Nyunga	Pama-Nyungan	Australia	26	18	14	77.78
iyoo1238	Iyo	Nuclear Trans New Guinea	Papunesia	153	76	59	77.63
apma1241	Ap Ma	Keram	Papunesia	126	80	62	77.5
gras1249	Grass Koiari	Koiarian	Papunesia	95	93	72	77.42
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	84	65	77.38
fore1270	Fore	Nuclear Trans New Guinea	Papunesia	97	88	68	77.27
fait1240	Kulsab	Nuclear Trans New Guinea	Papunesia	126	60	46	76.67
kobo1249	Kobon	Nuclear Trans New Guinea	Papunesia	96	94	72	76.6
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	76	58	76.32
opat1246	Teguima	Uto-Aztecan	North America	120	58	44	75.86
sauk1252	Ma Manda	Nuclear Trans New Guinea	Papunesia	181	91	69	75.82
awar1248	Awara	Nuclear Trans New Guinea	Papunesia	136	70	53	75.71
tang1334	Tangut	Sino-Tibetan	Eurasia	151	74	56	75.68
bobo1255	Bobongko	Austronesian	Papunesia	73	41	31	75.61
kima1246	Kimaama	Kolopom	Papunesia	92	41	31	75.61
nend1239	Nend	Nuclear Trans New Guinea	Papunesia	169	86	65	75.58
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	49	37	75.51
