Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
koro1312	Korowai	Nuclear Trans New Guinea	Papunesia	96	88	75	85.23
cent1972	Central Kurdish	Indo-European	Eurasia	15	6	5	83.33
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
goro1270	Gorowa	Afro-Asiatic	Africa	13	12	10	83.33
apma1241	Ap Ma	Keram	Papunesia	126	107	89	83.18
tomm1242	Tommo So Dogon	Dogon	Africa	167	158	131	82.91
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	76	63	82.89
nkor1239	Nkoroo	Ijoid	Africa	54	52	43	82.69
muth1236	Muthuvan	Dravidian	Eurasia	143	121	100	82.64
ulch1241	Ulch	Tungusic	Eurasia	164	142	117	82.39
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	62	51	82.26
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	93	76	81.72
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	82	67	81.71
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	135	110	81.48
mido1240	Midob	Nubian	Africa	55	54	44	81.48
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	135	110	81.48
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	124	101	81.45
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	123	100	81.3
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	13	81.25
benc1235	Bench	Ta-Ne-Omotic	Africa	82	74	60	81.08
orok1265	Orok	Tungusic	Eurasia	151	137	111	81.02
sumi1235	Sumi Naga	Sino-Tibetan	Eurasia	185	158	128	81.01
hinu1240	Hinuq	Nakh-Daghestanian	Eurasia	99	89	72	80.9
kota1263	Kota (India)	Dravidian	Eurasia	158	136	110	80.88
