Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
mehi1240	Mehináku	Arawakan	South America	4	2	2	100
tain1254	Taino	Arawakan	North America	4	4	4	100
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	16	15	93.75
gese1240	Geser-Gorom	Austronesian	Papunesia	69	36	33	91.67
mera1242	Meramera	Austronesian	Papunesia	54	21	19	90.48
nort2836	North Efate	Austronesian	Papunesia	93	39	35	89.74
gaaa1245	Gaa	Atlantic-Congo	Africa	79	29	26	89.66
matb1237	Matbat	Austronesian	Papunesia	154	47	42	89.36
lote1237	Lote	Austronesian	Papunesia	178	51	45	88.24
amar1272	Amara	Austronesian	Papunesia	148	42	37	88.1
tido1248	Tidore	North Halmahera	Papunesia	96	33	29	87.88
bera1262	Berau Malay	Austronesian	Papunesia	11	8	7	87.5
tugu1245	Tugun	Austronesian	Papunesia	168	48	42	87.5
leti1246	Leti (Indonesia)	Austronesian	Papunesia	172	47	41	87.23
lamo1244	Lamogai	Austronesian	Papunesia	135	38	33	86.84
monn1252	Mon	Austroasiatic	Eurasia	91	30	26	86.67
guma1254	Gumawana	Austronesian	Papunesia	176	51	44	86.27
apol1242	Apolista	Arawakan	South America	14	7	6	85.71
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	6	85.71
mmen1238	Mmen	Atlantic-Congo	Africa	10	7	6	85.71
suru1261	Suruí Do Pará	Tupian	South America	68	21	18	85.71
waur1244	Waurá	Arawakan	South America	86	28	24	85.71
mang1403	Mangseng	Austronesian	Papunesia	165	48	41	85.42
bilb1241	Bilibil	Austronesian	Papunesia	141	41	35	85.37
nort2864	Wemale	Austronesian	Papunesia	76	27	23	85.19
sout2895	South Nuaulu	Austronesian	Papunesia	158	47	40	85.11
ramo1244	Ramoaaina	Austronesian	Papunesia	52	20	17	85
waro1242	Waropen	Austronesian	Papunesia	137	40	34	85
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	26	22	84.62
lusi1240	Lusi	Austronesian	Papunesia	144	39	33	84.62
bari1286	Bariai	Austronesian	Papunesia	176	50	42	84
cari1276	Caribbean Javanese	Austronesian	South America	97	43	36	83.72
adon1237	Adonara	Austronesian	Papunesia	165	48	40	83.33
mota1237	Mota	Austronesian	Papunesia	107	24	20	83.33
omii1238	Omi	Central Sudanic	Africa	18	6	5	83.33
tali1259	Talise	Austronesian	Papunesia	142	42	35	83.33
lama1277	Lamaholot	Austronesian	Papunesia	182	53	44	83.02
woii1237	Woi	Austronesian	Papunesia	191	53	44	83.02
kove1237	Kove	Austronesian	Papunesia	180	52	43	82.69
arop1243	Arop-Lokep	Austronesian	Papunesia	161	46	38	82.61
baga1272	Baga Sitemu	Atlantic-Congo	Africa	140	46	38	82.61
mans1260	Mansim	Hatam-Mansim	Papunesia	71	23	19	82.61
umot1240	Umotína	Bororoan	South America	73	23	19	82.61
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	40	33	82.5
sata1237	Satawalese	Austronesian	Papunesia	140	40	33	82.5
buru1303	Buru (Indonesia)	Austronesian	Papunesia	102	34	28	82.35
maku1277	Maku'a	Austronesian	Papunesia	29	17	14	82.35
sioo1240	Sio	Austronesian	Papunesia	175	51	42	82.35
