Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
suru1262	Suruí	Tupian	South America	18	18	16	88.89
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	11	84.62
nyun1247	Nyunga	Pama-Nyungan	Australia	26	26	22	84.62
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	101	85	84.16
kunz1244	Kunza		South America	72	72	60	83.33
omii1238	Omi	Central Sudanic	Africa	18	18	15	83.33
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	160	132	82.5
pait1244	Paite Chin	Sino-Tibetan	Eurasia	152	149	122	81.88
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	13	81.25
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	96	78	81.25
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	130	105	80.77
suru1261	Suruí Do Pará	Tupian	South America	68	67	54	80.6
guan1266	Khroskyabs	Sino-Tibetan	Eurasia	191	180	145	80.56
cent2126	Central Okinawan	Japonic	Eurasia	153	145	116	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
gale1259	Galela	North Halmahera	Papunesia	143	137	109	79.56
drun1238	Drung	Sino-Tibetan	Eurasia	182	173	137	79.19
sumi1235	Sumi Naga	Sino-Tibetan	Eurasia	185	175	138	78.86
bang1369	Bangru	Sino-Tibetan	Eurasia	151	146	115	78.77
west2417	Western Muya	Sino-Tibetan	Eurasia	112	111	87	78.38
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	106	83	78.3
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	169	132	78.11
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	140	109	77.86
kaik1246	Kaike	Sino-Tibetan	Eurasia	184	176	137	77.84
