Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	70	58	82.86
woiw1237	Woiwurrung-Thagungwurrung	Pama-Nyungan	Australia	99	54	44	81.48
kunj1245	Kunjen	Pama-Nyungan	Australia	163	89	72	80.9
ugar1238	Ugaritic	Afro-Asiatic	Eurasia	168	87	70	80.46
waja1257	Wajarri	Pama-Nyungan	Australia	65	40	32	80
rita1239	Ritarungo	Pama-Nyungan	Australia	93	93	74	79.57
sius1254	Siuslaw		North America	165	83	66	79.52
djam1256	Djambarrpuyngu	Pama-Nyungan	Australia	91	91	72	79.12
kuku1280	Kuku-Uwanh	Pama-Nyungan	Australia	155	91	72	79.12
jaru1254	Jaru	Pama-Nyungan	Australia	61	38	30	78.95
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	14	11	78.57
gana1278	Ganai	Pama-Nyungan	Australia	53	32	25	78.12
bobo1255	Bobongko	Austronesian	Papunesia	73	45	35	77.78
shas1239	Shasta	Shastan	North America	144	81	63	77.78
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	9	7	77.78
nort2980	North Junín Quechua	Quechuan	South America	175	94	73	77.66
wikm1247	Wik-Mungkan	Pama-Nyungan	Australia	134	80	62	77.5
kaya1319	Kayardild	Tangkic	Australia	96	96	74	77.08
cent2140	Central Sierra Miwok	Miwok-Costanoan	North America	167	91	70	76.92
poya1241	Poyanáwa	Pano-Tacanan	South America	50	26	20	76.92
warl1256	Warluwara	Pama-Nyungan	Australia	95	95	73	76.84
gang1267	Ganggalida	Tangkic	Australia	94	94	72	76.6
bert1248	Berta		Africa	119	64	49	76.56
narr1259	Narrinyeri	Pama-Nyungan	Australia	72	72	55	76.39
thur1254	Thurawal	Pama-Nyungan	Australia	86	42	32	76.19
yayg1236	Yaygir	Pama-Nyungan	Australia	154	88	67	76.14
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	50	38	76
marg1253	Margany	Pama-Nyungan	Australia	144	83	63	75.9
atam1239	Atampaya	Pama-Nyungan	Australia	87	87	66	75.86
yulp1239	Yulparija	Pama-Nyungan	Australia	156	86	65	75.58
muth1236	Muthuvan	Dravidian	Eurasia	143	69	52	75.36
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	69	52	75.36
koka1244	Kokata	Pama-Nyungan	Australia	143	81	61	75.31
warl1254	Warlpiri	Pama-Nyungan	Australia	98	97	73	75.26
aghu1254	Aghu Tharnggalu	Pama-Nyungan	Australia	69	40	30	75
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	80	60	75
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	44	33	75
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	52	39	75
walm1241	Walmajarri	Pama-Nyungan	Australia	57	28	21	75
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	91	68	74.73
taro1264	Seediq	Austronesian	Papunesia	75	75	56	74.67
gara1269	Garrwa	Garrwan	Australia	94	94	70	74.47
jaqa1244	Jaqaru	Aymaran	South America	150	86	64	74.42
west2441	Western Arrarnta	Pama-Nyungan	Australia	159	86	64	74.42
teng1272	Tengger	Austronesian	Papunesia	121	74	55	74.32
waga1260	Wagaya	Pama-Nyungan	Australia	134	70	52	74.29
west2594	Western Dani	Nuclear Trans New Guinea	Papunesia	188	93	69	74.19
nhan1238	Nhanda	Pama-Nyungan	Australia	163	85	63	74.12
asur1254	Asuri	Austroasiatic	Eurasia	149	81	60	74.07
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	77	57	74.03
gamb1251	Gambera	Worrorran	Australia	129	77	57	74.03
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	50	37	74
pitt1247	Pitta Pitta	Pama-Nyungan	Australia	160	92	68	73.91
rata1244	Ratahan	Austronesian	Papunesia	166	88	65	73.86
warr1255	Warrgamay	Pama-Nyungan	Australia	80	42	31	73.81
wamb1258	Wambayan	Mirndi	Australia	103	99	73	73.74
guny1241	Gunya	Pama-Nyungan	Australia	177	95	70	73.68
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	38	28	73.68
kova1243	Kovai	Nuclear Trans New Guinea	Papunesia	88	49	36	73.47
obok1239	Obokuitai	Lakes Plain	Papunesia	157	79	58	73.42
warr1258	Warrwa	Nyulnyulan	Australia	137	79	58	73.42
kamo1255	Kamoro	Nuclear Trans New Guinea	Papunesia	94	94	69	73.4
sout2985	Southern Sierra Miwok	Miwok-Costanoan	North America	166	90	66	73.33
umes1235	Ume Saami	Uralic	Eurasia	183	90	66	73.33
uruu1244	Uru	Uru-Chipaya	South America	170	90	66	73.33
wath1238	Wathawurrung	Pama-Nyungan	Australia	55	30	22	73.33
fefe1239	Fe'fe'	Atlantic-Congo	Africa	142	67	49	73.13
umbu1235	Umbugarla		Australia	126	67	49	73.13
lala1268	Lala	Austronesian	Papunesia	187	93	68	73.12
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	89	65	73.03
kara1476	Karadjeri	Pama-Nyungan	Australia	67	37	27	72.97
waru1264	Warrongo	Pama-Nyungan	Australia	72	48	35	72.92
yoku1256	Northern Yokuts	Yokutsan	North America	173	96	70	72.92
kwin1241	Kwini	Worrorran	Australia	160	81	59	72.84
lule1238	Lule		South America	146	81	59	72.84
raji1240	Raji	Sino-Tibetan	Eurasia	153	81	59	72.84
take1257	Takelma		North America	173	95	69	72.63
sant1410	Santali	Austroasiatic	Eurasia	155	84	61	72.62
loup1243	Loup A	Algic	North America	132	73	53	72.6
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	73	53	72.6
oroh1237	Oroha	Austronesian	Papunesia	118	62	45	72.58
qima1242	Qimant	Afro-Asiatic	Africa	166	91	66	72.53
