Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
dara1250	Darai	Indo-European	Eurasia	178	164	140	85.37
wayu1241	Wayu	Sino-Tibetan	Eurasia	183	169	143	84.62
sunw1242	Sunwar	Sino-Tibetan	Eurasia	174	167	141	84.43
than1259	Thangmi	Sino-Tibetan	Eurasia	177	167	141	84.43
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	141	119	84.4
caml1239	Camling	Sino-Tibetan	Eurasia	170	159	134	84.28
khal1275	Khaling	Sino-Tibetan	Eurasia	168	149	125	83.89
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	128	107	83.59
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	109	91	83.49
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	151	126	83.44
athp1241	Athpariya	Sino-Tibetan	Eurasia	182	167	139	83.23
raut1239	Raute	Sino-Tibetan	Eurasia	133	119	99	83.19
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	112	93	83.04
bant1281	Bantawa	Sino-Tibetan	Eurasia	181	170	141	82.94
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	123	101	82.11
dura1244	Dura	Sino-Tibetan	Eurasia	171	152	124	81.58
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	70	57	81.43
muth1236	Muthuvan	Dravidian	Eurasia	143	128	104	81.25
suru1262	Suruí	Tupian	South America	18	16	13	81.25
bahi1252	Bahing	Sino-Tibetan	Eurasia	161	142	115	80.99
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	141	114	80.85
kulu1253	Kulung (Nepal)	Sino-Tibetan	Eurasia	168	150	121	80.67
esee1247	Ese	Koiarian	Papunesia	75	72	58	80.56
toda1252	Toda	Dravidian	Eurasia	139	123	99	80.49
pare1266	Gorum-Parenga	Austroasiatic	Eurasia	146	128	103	80.47
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	121	97	80.17
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	121	97	80.17
goro1270	Gorowa	Afro-Asiatic	Africa	13	10	8	80
kusu1250	Kusunda		Eurasia	173	155	124	80
pano1255	Panobo	Pano-Tacanan	South America	163	145	116	80
puma1239	Puma	Sino-Tibetan	Eurasia	172	155	124	80
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	100	80	80
cald1236	Calderón Highland Quichua	Quechuan	South America	155	139	111	79.86
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	54	43	79.63
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	132	105	79.55
east2773	Eastern Newari	Sino-Tibetan	Eurasia	190	171	136	79.53
kaik1246	Kaike	Sino-Tibetan	Eurasia	184	166	132	79.52
koya1251	Koya	Dravidian	Eurasia	137	131	104	79.39
peng1244	Pengo	Dravidian	Eurasia	171	159	126	79.25
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	86	68	79.07
limb1266	Limbu	Sino-Tibetan	Eurasia	140	123	97	78.86
kama1370	Kamano	Nuclear Trans New Guinea	Papunesia	116	99	78	78.79
kuvi1243	Kuvi	Dravidian	Eurasia	103	99	78	78.79
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	131	103	78.63
fore1265	Forest Enets	Uralic	Eurasia	193	173	136	78.61
nyig1240	Nyigina	Nyulnyulan	Australia	128	112	88	78.57
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	144	113	78.47
dhim1246	Dhimal	Sino-Tibetan	Eurasia	185	167	131	78.44
even1260	Even	Tungusic	Eurasia	141	125	98	78.4
raji1240	Raji	Sino-Tibetan	Eurasia	153	137	107	78.1
chep1245	Chepang	Sino-Tibetan	Eurasia	163	146	114	78.08
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	146	114	78.08
skol1241	Skolt Saami	Uralic	Eurasia	192	173	135	78.03
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	141	110	78.01
walm1241	Walmajarri	Pama-Nyungan	Australia	57	50	39	78
kinn1249	Kinnauri	Sino-Tibetan	Eurasia	188	168	131	77.98
capa1241	Capanahua	Pano-Tacanan	South America	171	154	120	77.92
chen1255	Chenchu	Dravidian	Eurasia	180	162	126	77.78
kaki1249	Kaki Ae		Papunesia	138	126	98	77.78
maga1260	Magahi	Indo-European	Eurasia	136	135	105	77.78
maru1252	Marúbo	Pano-Tacanan	South America	126	117	91	77.78
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	144	112	77.78
tami1289	Tamil	Dravidian	Eurasia	195	175	136	77.71
awac1239	Awa-Cuaiquer	Barbacoan	South America	157	139	108	77.7
kota1263	Kota (India)	Dravidian	Eurasia	158	148	115	77.7
puqu1242	Puquina		South America	118	112	87	77.68
bujh1238	Bujhyal	Sino-Tibetan	Eurasia	179	161	125	77.64
amah1246	Amahuaca	Pano-Tacanan	South America	153	138	107	77.54
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	89	69	77.53
poya1241	Poyanáwa	Pano-Tacanan	South America	50	40	31	77.5
toto1302	Toto	Sino-Tibetan	Eurasia	155	142	110	77.46
akaj1239	Akajeru	Great Andamanese	Eurasia	99	93	72	77.42
guru1261	Gurung	Sino-Tibetan	Eurasia	174	155	120	77.42
tuvi1240	Tuvinian	Turkic	Eurasia	154	137	106	77.37
gana1278	Ganai	Pama-Nyungan	Australia	53	53	41	77.36
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	150	116	77.33
drun1238	Drung	Sino-Tibetan	Eurasia	182	163	126	77.3
mala1463	Malavedan	Dravidian	Eurasia	163	145	112	77.24
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	158	122	77.22
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	158	122	77.22
kork1243	Korku	Austroasiatic	Eurasia	133	118	91	77.12
west2417	Western Muya	Sino-Tibetan	Eurasia	112	96	74	77.08
bada1257	Badaga	Dravidian	Eurasia	127	122	94	77.05
kona1242	Konai	East Strickland	Papunesia	188	169	130	76.92
yawa1260	Yawanawa	Pano-Tacanan	South America	148	130	100	76.92
kenu1236	Kenuzi-Dongola	Nubian	Africa	193	173	133	76.88
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	173	133	76.88
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	69	53	76.81
orok1265	Orok	Tungusic	Eurasia	151	138	106	76.81
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	56	43	76.79
nort2952	Northeast Maidu	Maiduan	North America	161	142	109	76.76
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	73	56	76.71
tulu1258	Tulu	Dravidian	Eurasia	163	146	112	76.71
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	133	102	76.69
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	150	115	76.67
gata1239	Gata'	Austroasiatic	Eurasia	156	137	105	76.64
kosa1249	Kosarek Yale	Nuclear Trans New Guinea	Papunesia	169	154	118	76.62
shol1240	Sholaga	Dravidian	Eurasia	172	154	118	76.62
yora1241	Yora	Pano-Tacanan	South America	129	124	95	76.61
amar1274	Amarakaeri	Harakmbut	South America	154	141	108	76.6
even1259	Evenki	Tungusic	Eurasia	158	141	108	76.6
yong1270	Narua	Sino-Tibetan	Eurasia	160	141	108	76.6
yuki1243	Northern Yukian	Yuki-Wappo	North America	175	158	121	76.58
nana1257	Nanai	Tungusic	Eurasia	195	175	134	76.57
aona1235	Ao Naga	Sino-Tibetan	Eurasia	185	166	127	76.51
