Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
nati1243	Natioro	Atlantic-Congo	Africa	51	50	43	86
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	35	30	85.71
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	51	43	84.31
mund1326	Mündü	Atlantic-Congo	Africa	120	114	96	84.21
yako1252	Yakoma	Atlantic-Congo	Africa	143	132	111	84.09
gaaa1245	Gaa	Atlantic-Congo	Africa	79	79	66	83.54
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
bolg1251	Bolgo	Atlantic-Congo	Africa	78	77	64	83.12
geru1240	Geruma	Afro-Asiatic	Africa	66	65	54	83.08
mans1260	Mansim	Hatam-Mansim	Papunesia	71	65	54	83.08
tera1251	Tera	Afro-Asiatic	Africa	152	141	117	82.98
fonn1241	Fon	Atlantic-Congo	Africa	189	173	143	82.66
mban1263	Mbandja	Atlantic-Congo	Africa	162	151	124	82.12
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	134	110	82.09
siam1242	Siamou		Africa	134	127	104	81.89
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	176	144	81.82
bang1369	Bangru	Sino-Tibetan	Eurasia	151	141	115	81.56
mokl1243	Moklen	Austronesian	Eurasia	181	168	137	81.55
adze1240	Adzera	Austronesian	Papunesia	158	144	117	81.25
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	52	81.25
berb1259	Berbice Creole Dutch	Indo-European	South America	170	154	125	81.17
kimm1246	Kim	Atlantic-Congo	Africa	129	122	99	81.15
dyul1238	Dyula	Mande	Africa	157	143	116	81.12
guru1271	Guruntum-Mbaaru	Afro-Asiatic	Africa	181	163	132	80.98
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	152	123	80.92
sici1249	Sìcìté Sénoufo	Atlantic-Congo	Africa	143	131	106	80.92
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	26	21	80.77
phai1238	Prai	Austroasiatic	Eurasia	186	170	137	80.59
jiba1237	Jiba	Atlantic-Congo	Africa	120	113	91	80.53
mend1266	Mende (Sierra Leone)	Mande	Africa	80	77	62	80.52
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	128	103	80.47
miju1243	Kman	Sino-Tibetan	Eurasia	192	174	140	80.46
bagi1246	Bagirmi	Central Sudanic	Africa	167	153	123	80.39
nucl1240	Mumuye	Atlantic-Congo	Africa	170	158	127	80.38
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	168	135	80.36
gaaa1244	Ga	Atlantic-Congo	Africa	133	127	102	80.31
sout2782	South Fali	Atlantic-Congo	Africa	177	162	130	80.25
abun1252	Abun		Papunesia	195	177	142	80.23
nort2994	Northern Roglai	Austronesian	Eurasia	90	86	69	80.23
buhu1237	Buhutu	Austronesian	Papunesia	134	121	97	80.17
gebe1237	Gebe	Austronesian	Papunesia	129	121	97	80.17
cent1989	Central Khmer	Austroasiatic	Eurasia	177	166	133	80.12
aheu1239	Thavung	Austroasiatic	Eurasia	192	175	140	80
kaur1267	Kaurna	Pama-Nyungan	Australia	48	45	36	80
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	120	96	80
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	159	127	79.87
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	154	123	79.87
amar1272	Amara	Austronesian	Papunesia	148	134	107	79.85
pate1247	Patep	Austronesian	Papunesia	142	129	103	79.84
moke1242	Moken	Austronesian	Eurasia	171	158	126	79.75
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	148	118	79.73
nara1262	Nara		Africa	132	123	98	79.67
dagb1246	Dagbani	Atlantic-Congo	Africa	177	162	129	79.63
huuu1240	Hu	Austroasiatic	Eurasia	175	162	129	79.63
bekw1242	Bekwil	Atlantic-Congo	Africa	100	98	78	79.59
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	44	35	79.55
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	171	136	79.53
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	83	66	79.52
leme1238	Lemerig	Austronesian	Papunesia	164	151	120	79.47
ndog1248	Ndogo	Atlantic-Congo	Africa	177	165	131	79.39
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	97	77	79.38
dard1243	Dar Daju Daju	Dajuic	Africa	93	92	73	79.35
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	150	119	79.33
qawa1238	Qawasqar	Kawesqar	South America	164	150	119	79.33
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	53	42	79.25
huaa1248	East Taa	Tuu	Africa	164	154	122	79.22
chak1271	Chakali	Atlantic-Congo	Africa	191	173	137	79.19
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	168	133	79.17
oldm1242	Old Mon	Austroasiatic	Eurasia	171	158	125	79.11
keme1240	Kemezung	Atlantic-Congo	Africa	135	124	98	79.03
boun1243	Bouna Kulango	Atlantic-Congo	Africa	179	162	128	79.01
sooo1254	Sô	Austroasiatic	Eurasia	176	162	128	79.01
mono1270	Mono (Democratic Republic of Congo)	Atlantic-Congo	Africa	149	138	109	78.99
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	171	135	78.95
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	76	60	78.95
lolo1259	Lolopo	Sino-Tibetan	Eurasia	186	170	134	78.82
anuf1239	Anufo	Atlantic-Congo	Africa	162	151	119	78.81
dana1252	Danau	Austroasiatic	Eurasia	179	165	130	78.79
gese1240	Geser-Gorom	Austronesian	Papunesia	69	66	52	78.79
nawu1242	Nawuri	Atlantic-Congo	Africa	182	165	130	78.79
emae1237	Emae	Austronesian	Papunesia	156	146	115	78.77
band1344	Banda-Bambari	Atlantic-Congo	Africa	176	160	126	78.75
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	174	137	78.74
koro1298	Koromfé	Atlantic-Congo	Africa	191	174	137	78.74
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	174	137	78.74
uuuu1243	U	Austroasiatic	Eurasia	139	131	103	78.63
kuyy1240	Kuy	Austroasiatic	Eurasia	174	159	125	78.62
aoua1234	A'ou	Tai-Kadai	Eurasia	187	173	136	78.61
adon1237	Adonara	Austronesian	Papunesia	165	154	121	78.57
gbay1278	Gbayi	Atlantic-Congo	Africa	58	56	44	78.57
homa1239	Homa	Atlantic-Congo	Africa	14	14	11	78.57
west2650	Western Cham	Austronesian	Eurasia	151	140	110	78.57
hakk1236	Hakka Chinese	Sino-Tibetan	Eurasia	143	135	106	78.52
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	107	84	78.5
west2396	Western Lawa	Austroasiatic	Eurasia	190	172	135	78.49
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	139	109	78.42
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	176	138	78.41
tibe1274	Tibea	Atlantic-Congo	Africa	95	88	69	78.41
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	111	87	78.38
abee1242	Abé	Atlantic-Congo	Africa	142	134	105	78.36
matb1237	Matbat	Austronesian	Papunesia	154	143	112	78.32
enuu1235	Enu	Sino-Tibetan	Eurasia	193	175	137	78.29
avok1242	Avokaya	Central Sudanic	Africa	122	115	90	78.26
muso1238	Musom	Austronesian	Papunesia	150	138	108	78.26
khmu1256	Khmu	Austroasiatic	Eurasia	167	156	122	78.21
