Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
tain1254	Taino	Arawakan	North America	4	4	4	100
mbol1247	Mbole	Atlantic-Congo	Africa	89	68	66	97.06
makw1236	Makwe	Atlantic-Congo	Africa	86	66	64	96.97
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	92	88	95.65
liki1240	Balobo	Atlantic-Congo	Africa	99	85	80	94.12
loba1239	Lobala	Atlantic-Congo	Africa	98	84	78	92.86
lund1266	Lunda	Atlantic-Congo	Africa	150	101	93	92.08
belu1239	Belueli	Atlantic-Congo	Africa	73	63	58	92.06
bank1256	Bankon	Atlantic-Congo	Africa	78	72	66	91.67
tswa1253	Tswana	Atlantic-Congo	Africa	178	120	110	91.67
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	107	98	91.59
nden1248	Ndengereko	Atlantic-Congo	Africa	88	70	64	91.43
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	114	104	91.23
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	125	114	91.2
tswa1255	Tswa	Atlantic-Congo	Africa	162	112	102	91.07
ndob1238	Ndobo	Atlantic-Congo	Africa	85	67	61	91.04
yaoo1241	Yao	Atlantic-Congo	Africa	137	111	101	90.99
thar1283	Tharaka	Atlantic-Congo	Africa	101	77	70	90.91
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	98	89	90.82
orok1266	Oroko	Atlantic-Congo	Africa	139	108	98	90.74
temb1272	Motembo-Kunda	Atlantic-Congo	Africa	105	86	78	90.7
zinz1238	Zinza	Atlantic-Congo	Africa	106	86	78	90.7
ilaa1246	Ila	Atlantic-Congo	Africa	124	94	85	90.43
hehe1240	Hehe	Atlantic-Congo	Africa	144	112	101	90.18
gwen1239	Gweno	Atlantic-Congo	Africa	135	101	91	90.1
luya1241	Luyi	Atlantic-Congo	Africa	172	120	108	90
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	110	99	90
bomb1262	Bomboma	Atlantic-Congo	Africa	119	99	89	89.9
soli1239	Soli	Atlantic-Congo	Africa	101	79	71	89.87
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	116	104	89.66
lumb1249	Lumbu	Atlantic-Congo	Africa	146	106	95	89.62
kala1384	Kalanga	Atlantic-Congo	Africa	164	115	103	89.57
bamw1238	Bamwe	Atlantic-Congo	Africa	102	86	77	89.53
here1253	Herero	Atlantic-Congo	Africa	187	123	110	89.43
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	113	101	89.38
beng1282	Benga	Atlantic-Congo	Africa	132	94	84	89.36
dual1243	Duala	Atlantic-Congo	Africa	138	93	83	89.25
bang1354	Bobangi	Atlantic-Congo	Africa	151	101	90	89.11
bush1247	Bushoong	Atlantic-Congo	Africa	184	119	106	89.08
zulu1248	Zulu	Atlantic-Congo	Africa	42	36	32	88.89
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	116	103	88.79
konz1239	Konzo	Atlantic-Congo	Africa	133	107	95	88.79
nyan1307	Nyankole	Atlantic-Congo	Africa	185	124	110	88.71
suba1238	Suba	Atlantic-Congo	Africa	111	96	85	88.54
kaon1241	Kaonde	Atlantic-Congo	Africa	120	87	77	88.51
haaa1252	Ha	Atlantic-Congo	Africa	187	120	106	88.33
toor1238	Tooro	Atlantic-Congo	Africa	184	120	106	88.33
kele1255	Kele-Foma	Atlantic-Congo	Africa	128	94	83	88.3
pang1287	Pangwa	Atlantic-Congo	Africa	167	119	105	88.24
mong1338	Mongo	Atlantic-Congo	Africa	124	93	82	88.17
beem1239	Beembe	Atlantic-Congo	Africa	144	107	94	87.85
bila1255	Bila	Atlantic-Congo	Africa	134	107	94	87.85
maka1304	Makaa	Atlantic-Congo	Africa	159	115	101	87.83
lito1235	Litoka	Atlantic-Congo	Africa	97	82	72	87.8
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	98	86	87.76
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	49	43	87.76
swah1253	Swahili	Atlantic-Congo	Africa	178	114	100	87.72
osam1235	Osamayi	Atlantic-Congo	Africa	105	88	77	87.5
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	79	69	87.34
budz1238	Budza	Atlantic-Congo	Africa	166	118	103	87.29
lega1249	Lega-Shabunda	Atlantic-Congo	Africa	153	118	103	87.29
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	118	103	87.29
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	94	82	87.23
safw1238	Safwa	Atlantic-Congo	Africa	48	39	34	87.18
zamb1245	Zamba	Atlantic-Congo	Africa	152	117	102	87.18
jita1239	Jita	Atlantic-Congo	Africa	75	62	54	87.1
kagu1239	Kagulu	Atlantic-Congo	Africa	186	123	107	86.99
pagi1243	Pagibete	Atlantic-Congo	Africa	170	123	107	86.99
libi1244	Libinza	Atlantic-Congo	Africa	134	99	86	86.87
saam1283	Saamia	Atlantic-Congo	Africa	134	99	86	86.87
elip1238	Elip	Atlantic-Congo	Africa	111	91	79	86.81
gusi1247	Gusii	Atlantic-Congo	Africa	173	121	105	86.78
saga1262	Sagalla	Atlantic-Congo	Africa	152	112	97	86.61
vunj1238	Vunjo	Atlantic-Congo	Africa	165	118	102	86.44
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	125	108	86.4
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	95	82	86.32
